City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Los Angeles,Sonesta Los Angeles Airport Lax,"5985 West Century Boulevard, Los Angeles, CA 90045",8.0,"(5,943)",£412total,Booking.com
Los Angeles,Hyatt Regency Los Angeles International Airport,"6225 West Century Boulevard, Los Angeles, CA 90045",8.5,"(4,738)",£556total,Booking.com
Los Angeles,Sheraton Gateway Los Angeles Hotel,"6101 West Century Boulevard, Los Angeles, CA 90045",8.0,"(4,427)",£524total,Booking.com
Los Angeles,Fully Furnished Loft In Dtla Fashion District,Downtown Los Angeles,9.5,(12),£553total,Booking.com
Los Angeles,Mr. C Beverly Hills,"1224 Beverwil Drive, Los Angeles, CA 90035",8.0,(366),£909total,Hotels.com
Los Angeles,Hotel Indigo Los Angeles Downtown,"899 Francisco Street, Los Angeles, CA 90015",8.5,"(2,434)",£596total,Booking.com
Los Angeles,"Luxury, Hollywood Walk of Fame",Hollywood,7.8,(559),£588total,Booking.com
Los Angeles,Hilton Los Angeles Airport,"5711 West Century Boulevard, Los Angeles, CA 90045",7.5,"(5,527)",£487total,Booking.com
Los Angeles,The Hollywood Roosevelt,"7000 Hollywood Boulevard, Los Angeles, CA 90028",8.4,"(2,007)",£600total,Tripadvisor
Los Angeles,Beverly Hills Celebrity Home,Westside,9.2,(110),£840total,Booking.com
