City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Murcia,Fiat 500,4,Airport terminal,Enjoy Travel,56,14,4.2
Murcia,Fiat 500,4,Airport terminal,HolidayCars.com,59,15,7.0
Murcia,Fiat 500,4,Airport terminal,Rentalcars,65,17,5.8
Murcia,Fiat 500,4,Airport terminal,Booking.com,65,17,5.8
Murcia,Fiat 500,4,Airport terminal,KAYAK,65,17,5.8
Murcia,Fiat 500,4,Airport terminal,Opodo,86,22,8.0
Murcia,Fiat 500,4,Airport terminal,Argus Car Hire,88,22,8.0
Murcia,Fiat 500,4,Airport terminal,Holiday Autos,141,36,8.0
Murcia,Fiat 500,4,Airport terminal,easyCar,141,36,6.0
Murcia,Opel Corsa,5,Airport terminal,Enjoy Travel,60,15,4.2
Murcia,Opel Corsa,5,Airport terminal,HolidayCars.com,63,16,7.0
Murcia,Opel Corsa,5,Airport terminal,Rentalcars,69,18,5.8
Murcia,Opel Corsa,5,Airport terminal,Booking.com,69,18,5.8
Murcia,Opel Corsa,5,Airport terminal,KAYAK,69,18,5.8
Murcia,Opel Corsa,5,Airport terminal,Argus Car Hire,92,23,8.0
Murcia,Opel Corsa,5,Airport terminal,Opodo,93,24,8.0
Murcia,Opel Corsa,5,Airport terminal,Holiday Autos,152,38,8.0
Murcia,Opel Corsa,5,Airport terminal,easyCar,152,38,6.0
Murcia,Smart Forfour,4,Airport terminal,Enjoy Travel,72,18,5.8
Murcia,Smart Forfour,4,Airport terminal,HolidayCars.com,76,19,8.0
Murcia,Smart Forfour,4,Airport terminal,Rentalcars,111,28,7.8
Murcia,Smart Forfour,4,Airport terminal,Booking.com,111,28,7.8
Murcia,Smart Forfour,4,Airport terminal,KAYAK,111,28,7.8
Murcia,Smart Forfour,4,Airport terminal,Argus Car Hire,115,29,10.0
Murcia,Smart Forfour,4,Airport terminal,Opodo,123,31,10.0
Murcia,Smart Forfour,4,Airport terminal,Holiday Autos,208,52,10.0
Murcia,Smart Forfour,4,Airport terminal,easyCar,208,52,8.0
Murcia,Volkswagen Polo,5,Airport terminal,Enjoy Travel,75,19,5.8
Murcia,Volkswagen Polo,5,Airport terminal,HolidayCars.com,78,20,8.0
Murcia,Volkswagen Polo,5,Airport terminal,Rentalcars,115,29,7.8
Murcia,Volkswagen Polo,5,Airport terminal,Booking.com,115,29,7.8
Murcia,Volkswagen Polo,5,Airport terminal,KAYAK,115,29,7.8
Murcia,Volkswagen Polo,5,Airport terminal,Argus Car Hire,120,30,10.0
Murcia,Volkswagen Polo,5,Airport terminal,Opodo,129,33,10.0
Murcia,Volkswagen Polo,5,Airport terminal,Holiday Autos,217,55,10.0
Murcia,Volkswagen Polo,5,Airport terminal,easyCar,217,55,8.0
Murcia,Ford Focus,5,Airport terminal,Enjoy Travel,83,21,5.8
Murcia,Ford Focus,5,Airport terminal,HolidayCars.com,86,22,8.0
Murcia,Ford Focus,5,Airport terminal,Rentalcars,127,32,7.8
Murcia,Ford Focus,5,Airport terminal,Booking.com,127,32,7.8
Murcia,Ford Focus,5,Airport terminal,KAYAK,127,32,7.8
Murcia,Ford Focus,5,Airport terminal,Argus Car Hire,132,33,10.0
Murcia,Ford Focus,5,Airport terminal,Opodo,142,36,10.0
Murcia,Ford Focus,5,Airport terminal,Holiday Autos,240,60,10.0
Murcia,Ford Focus,5,Airport terminal,easyCar,240,60,8.0
Murcia,Fiat 500,4,Shuttle,Argus Car Hire,98,25,8.2
Murcia,Fiat 500,4,Shuttle,Opodo,104,26,8.2
Murcia,Fiat 500,4,Shuttle,Holiday Autos,171,43,8.2
Murcia,Fiat 500,4,Shuttle,easyCar,171,43,6.2
Murcia,Seat Leon,5,Airport terminal,Enjoy Travel,71,18,4.2
