City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Alicante,Ford Ka,4,Airport terminal,QEEQ.COM,49.0,13.0,9.8
Alicante,Ford Ka,4,Airport terminal,Rentalcars,54.0,14.0,8.2
Alicante,Ford Ka,4,Airport terminal,KAYAK,54.0,14.0,8.2
Alicante,Ford Ka,4,Airport terminal,Booking.com,56.0,14.0,8.2
Alicante,Ford Ka,4,Airport terminal,Opodo,81.0,21.0,9.5
Alicante,Ford Ka,4,Airport terminal,Argus Car Hire,102.0,26.0,9.5
Alicante,Ford Ka,4,Airport terminal,Holiday Autos,150.0,38.0,9.5
Alicante,Ford Ka,4,Airport terminal,easyCar,150.0,38.0,8.0
Alicante,Nissan Micra,5,Airport terminal,QEEQ.COM,50.0,13.0,9.8
Alicante,Nissan Micra,5,Airport terminal,Rentalcars,55.0,14.0,8.2
Alicante,Nissan Micra,5,Airport terminal,KAYAK,55.0,14.0,8.2
Alicante,Nissan Micra,5,Airport terminal,Booking.com,57.0,15.0,8.2
Alicante,Nissan Micra,5,Airport terminal,Opodo,83.0,21.0,9.5
Alicante,Nissan Micra,5,Airport terminal,Argus Car Hire,103.0,26.0,9.5
Alicante,Nissan Micra,5,Airport terminal,Holiday Autos,152.0,38.0,9.5
Alicante,Nissan Micra,5,Airport terminal,easyCar,152.0,38.0,8.0
Alicante,Ford Ka,4,Airport terminal,QEEQ.COM,65.0,17.0,8.2
Alicante,Ford Ka,4,Airport terminal,Opodo,110.0,28.0,8.0
Alicante,Ford Ka,4,Airport terminal,Argus Car Hire,120.0,30.0,8.0
Alicante,Ford Ka,4,Airport terminal,Holiday Autos,198.0,50.0,8.0
Alicante,Ford Ka,4,Airport terminal,easyCar,198.0,50.0,6.5
Alicante,Ford Focus,5,Airport terminal,QEEQ.COM,67.0,17.0,9.8
Alicante,Ford Focus,5,Airport terminal,Rentalcars,76.0,19.0,8.2
Alicante,Ford Focus,5,Airport terminal,KAYAK,76.0,19.0,8.2
Alicante,Ford Focus,5,Airport terminal,Booking.com,78.0,20.0,8.2
Alicante,Ford Focus,5,Airport terminal,Opodo,114.0,29.0,9.5
Alicante,Ford Focus,5,Airport terminal,Argus Car Hire,123.0,31.0,9.5
Alicante,Ford Focus,5,Airport terminal,Holiday Autos,203.0,51.0,9.5
Alicante,Ford Focus,5,Airport terminal,easyCar,203.0,51.0,8.0
Alicante,Ford Ka,4,Airport terminal,QEEQ.COM,66.0,17.0,8.2
Alicante,Nissan Juke,5,Airport terminal,QEEQ.COM,68.0,17.0,9.8
Alicante,Nissan Juke,5,Airport terminal,Rentalcars,76.0,19.0,8.2
