City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",VIP Cars,143.0,36.0,9.8
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Rentalcars,164.0,41.0,6.2
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Booking.com,164.0,41.0,6.2
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",KAYAK,164.0,41.0,6.2
Amsterdam,Kia Picanto,4,"Amsterdam Centraal Station, Amsterdam",VIP Cars,156.0,39.0,9.5
Amsterdam,Kia Picanto,4,"Amsterdam Centraal Station, Amsterdam",Discover Cars,156.0,39.0,9.0
Amsterdam,Kia Picanto,4,"Amsterdam Centraal Station, Amsterdam",Wisecars,161.0,41.0,9.5
Amsterdam,Kia Picanto,4,"Amsterdam Centraal Station, Amsterdam",Rentalcars,179.0,45.0,6.2
Amsterdam,Kia Picanto,4,"Amsterdam Centraal Station, Amsterdam",Booking.com,179.0,45.0,6.2
Amsterdam,Kia Picanto,4,"Amsterdam Centraal Station, Amsterdam",KAYAK,179.0,45.0,6.2
Amsterdam,Kia Venga,5,"Amsterdam Centraal Station, Amsterdam",VIP Cars,150.0,38.0,9.8
Amsterdam,Kia Venga,5,"Amsterdam Centraal Station, Amsterdam",Discover Cars,151.0,38.0,9.0
Amsterdam,Kia Venga,5,"Amsterdam Centraal Station, Amsterdam",Wisecars,156.0,39.0,9.8
Amsterdam,Kia Venga,5,"Amsterdam Centraal Station, Amsterdam",Rentalcars,173.0,44.0,6.2
Amsterdam,Kia Venga,5,"Amsterdam Centraal Station, Amsterdam",Booking.com,173.0,44.0,6.2
Amsterdam,Kia Venga,5,"Amsterdam Centraal Station, Amsterdam",KAYAK,173.0,44.0,6.2
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",VIP Cars,167.0,42.0,9.8
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Discover Cars,168.0,42.0,9.0
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Wisecars,173.0,44.0,9.8
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Rentalcars,192.0,48.0,6.2
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Booking.com,192.0,48.0,6.2
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",KAYAK,192.0,48.0,6.2
Amsterdam,Mazda Mazda3,5,"Amsterdam Centraal Station, Amsterdam",VIP Cars,180.0,45.0,9.8
Amsterdam,Mazda Mazda3,5,"Amsterdam Centraal Station, Amsterdam",Discover Cars,181.0,46.0,9.0
Amsterdam,Mazda Mazda3,5,"Amsterdam Centraal Station, Amsterdam",Wisecars,187.0,47.0,9.8
Amsterdam,Mazda Mazda3,5,"Amsterdam Centraal Station, Amsterdam",Rentalcars,207.0,52.0,6.2
Amsterdam,Mazda Mazda3,5,"Amsterdam Centraal Station, Amsterdam",Booking.com,207.0,52.0,6.2
Amsterdam,Mazda Mazda3,5,"Amsterdam Centraal Station, Amsterdam",KAYAK,207.0,52.0,6.2
Amsterdam,Opel Corsa,4,"Aaron Coplandstraat 6, Amsterdam",VIP Cars,180.0,45.0,9.8
Amsterdam,Peugeot 2008,5,"Amsterdam Centraal Station, Amsterdam",VIP Cars,182.0,46.0,9.8
Amsterdam,Peugeot 2008,5,"Amsterdam Centraal Station, Amsterdam",Discover Cars,182.0,46.0,9.0
Amsterdam,Peugeot 2008,5,"Amsterdam Centraal Station, Amsterdam",Wisecars,188.0,47.0,9.8
Amsterdam,Peugeot 2008,5,"Amsterdam Centraal Station, Amsterdam",Rentalcars,209.0,53.0,6.2
Amsterdam,Peugeot 2008,5,"Amsterdam Centraal Station, Amsterdam",Booking.com,209.0,53.0,6.2
Amsterdam,Peugeot 2008,5,"Amsterdam Centraal Station, Amsterdam",KAYAK,209.0,53.0,6.2
Amsterdam,Kia Cee'd SW,5,"Amsterdam Centraal Station, Amsterdam",VIP Cars,180.0,45.0,9.8
Amsterdam,Kia Cee'd SW,5,"Amsterdam Centraal Station, Amsterdam",Discover Cars,181.0,46.0,9.0
Amsterdam,Kia Cee'd SW,5,"Amsterdam Centraal Station, Amsterdam",Wisecars,187.0,47.0,9.8
Amsterdam,Kia Cee'd SW,5,"Amsterdam Centraal Station, Amsterdam",Rentalcars,207.0,52.0,6.2
Amsterdam,Kia Cee'd SW,5,"Amsterdam Centraal Station, Amsterdam",Booking.com,207.0,52.0,6.2
Amsterdam,Kia Cee'd SW,5,"Amsterdam Centraal Station, Amsterdam",KAYAK,207.0,52.0,6.2
Amsterdam,Fiat Panda,4,"Aaron Coplandstraat 6, Amsterdam",VIP Cars,196.0,49.0,9.5
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Opodo,180.0,45.0,9.0
Amsterdam,Suzuki Vitara/Escudo,5,"Aaron Coplandstraat 6, Amsterdam",VIP Cars,190.0,48.0,9.8
Amsterdam,Fiat Panda,4,"Amsterdam Central Station, Amsterdam",VIP Cars,213.0,54.0,9.5
Amsterdam,Fiat Panda,4,"Amsterdam Central Station, Amsterdam",Discover Cars,214.0,54.0,9.0
Amsterdam,Fiat Panda,4,"Amsterdam Central Station, Amsterdam",Wisecars,221.0,56.0,9.5
Amsterdam,Fiat Panda,4,"Amsterdam Central Station, Amsterdam",Rentalcars,245.0,62.0,6.2
Amsterdam,Fiat Panda,4,"Amsterdam Central Station, Amsterdam",Booking.com,245.0,62.0,6.2
Amsterdam,Fiat Panda,4,"Amsterdam Central Station, Amsterdam",KAYAK,245.0,62.0,6.2
