City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Bali,Passenger van car,5,DPS,KAYAK,192.0,48.0,9.8
Bali,Passenger van car,5,DPS,QEEQ.COM,192.0,48.0,9.8
Bali,Passenger van car,5,DPS,Rentalcars,198.0,50.0,8.2
Bali,Passenger van car,5,DPS,Booking.com,198.0,50.0,8.2
Bali,Toyota Innova,7,Airport terminal,KAYAK,245.0,62.0,9.8
Bali,Toyota Innova,7,Airport terminal,QEEQ.COM,245.0,62.0,9.8
Bali,Toyota Avanza,5,Shuttle,QEEQ.COM,115.0,29.0,9.8
Bali,Toyota Avanza,5,Shuttle,Argus Car Hire,185.0,47.0,9.0
Bali,Toyota Avanza,5,Shuttle,Opodo,198.0,50.0,9.0
Bali,Toyota Avanza,5,Shuttle,Holiday Autos,325.0,82.0,9.0
Bali,Toyota Avanza,5,Shuttle,easyCar,325.0,82.0,7.5
Bali,Toyota Avanza,5,Shuttle,QEEQ.COM,115.0,29.0,9.8
Bali,Toyota Avanza,5,Shuttle,Argus Car Hire,185.0,47.0,9.0
Bali,Toyota Avanza,5,Shuttle,Opodo,198.0,50.0,9.0
Bali,Toyota Avanza,5,Shuttle,Holiday Autos,325.0,82.0,9.0
Bali,Toyota Avanza,5,Shuttle,easyCar,325.0,82.0,7.5
