City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Bangkok,Toyota Yaris,5,DMK,KAYAK,70.0,18.0,9.0
Bangkok,Toyota Yaris,5,DMK,QEEQ.COM,70.0,18.0,9.0
Bangkok,Toyota Yaris,5,DMK,Rentalcars,90.0,23.0,7.8
Bangkok,Toyota Yaris,5,DMK,Booking.com,90.0,23.0,7.8
Bangkok,Nissan Almera,5,DMK,KAYAK,70.0,18.0,9.0
Bangkok,Nissan Almera,5,DMK,QEEQ.COM,70.0,18.0,9.0
Bangkok,Nissan Almera,5,DMK,Rentalcars,83.0,21.0,7.8
Bangkok,Nissan Almera,5,DMK,Booking.com,83.0,21.0,7.8
Bangkok,Honda Brio,4,DMK,KAYAK,70.0,18.0,9.0
Bangkok,Honda Brio,4,DMK,QEEQ.COM,70.0,18.0,9.0
Bangkok,Toyota Yaris,4,BKK,Booking.com,74.0,19.0,7.8
Bangkok,Toyota Yaris,4,BKK,Rentalcars,75.0,19.0,7.8
Bangkok,Toyota Yaris,4,BKK,KAYAK,75.0,19.0,7.8
Bangkok,Mini car,5,DMK,KAYAK,78.0,20.0,9.5
Bangkok,Mini car,5,DMK,QEEQ.COM,78.0,20.0,9.5
Bangkok,Mini car,5,DMK,Europcar,81.0,21.0,7.8
Bangkok,Toyota Yaris,5,BKK,QEEQ.COM,86.0,22.0,9.5
Bangkok,Toyota Yaris,5,"No.46 North Sathorn Rd, Bangkok",VIP Cars,74.0,19.0,7.8
Bangkok,Nissan Almera,4,BKK,QEEQ.COM,86.0,22.0,9.5
Bangkok,Toyota Yaris,5,Airport terminal,QEEQ.COM,101.0,26.0,9.0
Bangkok,Toyota Yaris,5,Airport terminal,Discover Cars,110.0,28.0,8.8
Bangkok,Toyota Yaris,5,Airport terminal,Wisecars,116.0,29.0,8.8
Bangkok,Toyota Yaris,5,Airport terminal,Argus Car Hire,169.0,43.0,9.0
Bangkok,Toyota Yaris,5,Airport terminal,Opodo,181.0,46.0,9.0
Bangkok,Toyota Yaris,5,Airport terminal,Holiday Autos,296.0,74.0,9.0
Bangkok,Toyota Yaris,5,Airport terminal,easyCar,296.0,74.0,7.5
Bangkok,Toyota Yaris,4,"Rama 4 Rd., Khlong Toey 2929/9, Bangkok",Booking.com,79.0,20.0,7.8
Bangkok,Toyota Yaris,4,"Rama 4 Rd., Khlong Toey 2929/9, Bangkok",KAYAK,79.0,20.0,7.8
Bangkok,Toyota Yaris,4,"Rama 4 Rd., Khlong Toey 2929/9, Bangkok",VIP Cars,92.0,23.0,9.2
Bangkok,Toyota Yaris,4,"Rama 4 Rd., Khlong Toey 2929/9, Bangkok",Sixt,95.0,24.0,8.0
Bangkok,Toyota Yaris,4,"Rama 4 Rd., Khlong Toey 2929/9, Bangkok",Opodo,141.0,36.0,9.2
Bangkok,Mitsubishi Mirage,5,"189 Sukhumvit Road Soi 13-15, Bangkok",Rentalcars,81.0,21.0,6.5
Bangkok,Mitsubishi Mirage,5,"189 Sukhumvit Road Soi 13-15, Bangkok",Booking.com,81.0,21.0,6.5
Bangkok,Mitsubishi Mirage,5,"189 Sukhumvit Road Soi 13-15, Bangkok",Opodo,81.0,21.0,8.8
Bangkok,Mitsubishi Mirage,5,"189 Sukhumvit Road Soi 13-15, Bangkok",KAYAK,81.0,21.0,6.5
Bangkok,Mitsubishi Mirage,5,"189 Sukhumvit Road Soi 13-15, Bangkok",Europcar,82.0,21.0,7.8
Bangkok,Mitsubishi Mirage,5,"189 Sukhumvit Road Soi 13-15, Bangkok",VIP Cars,86.0,22.0,8.8
Bangkok,Mitsubishi Mirage,5,"Tc-green Condominium Phase 2 Build, Rama 9 Road Huaykwang District, Bangkok",VIP Cars,75.0,19.0,8.8
Bangkok,Mitsubishi Mirage,5,"Tc-green Condominium Phase 2 Build, Rama 9 Road Huaykwang District, Bangkok",Rentalcars,89.0,23.0,7.8
Bangkok,Mitsubishi Mirage,5,"Tc-green Condominium Phase 2 Build, Rama 9 Road Huaykwang District, Bangkok",Booking.com,89.0,23.0,7.8
Bangkok,Mitsubishi Mirage,5,"Tc-green Condominium Phase 2 Build, Rama 9 Road Huaykwang District, Bangkok",KAYAK,89.0,23.0,7.8
Bangkok,Honda City,5,BKK,KAYAK,100.0,25.0,9.5
Bangkok,Honda City,5,BKK,QEEQ.COM,100.0,25.0,9.5
Bangkok,Honda City,5,BKK,Argus Car Hire,159.0,40.0,9.0
Bangkok,Honda City,5,BKK,Opodo,171.0,43.0,9.0
Bangkok,Honda City,5,BKK,Holiday Autos,280.0,70.0,9.0
Bangkok,Honda City,5,BKK,easyCar,280.0,70.0,7.5
Bangkok,Honda City,5,"Rama 4 Rd., Khlong Toey 2929/9, Bangkok",Booking.com,90.0,23.0,7.8
Bangkok,Honda City,5,"Rama 4 Rd., Khlong Toey 2929/9, Bangkok",KAYAK,90.0,23.0,7.8
Bangkok,Honda City,5,"Rama 4 Rd., Khlong Toey 2929/9, Bangkok",VIP Cars,104.0,26.0,9.2
Bangkok,Honda City,5,"Rama 4 Rd., Khlong Toey 2929/9, Bangkok",Sixt,107.0,27.0,8.0
Bangkok,Honda City,5,"Rama 4 Rd., Khlong Toey 2929/9, Bangkok",Opodo,159.0,40.0,9.2
Bangkok,Nissan Almera,5,DMK,KAYAK,94.0,24.0,9.5
Bangkok,Nissan Almera,5,DMK,QEEQ.COM,94.0,24.0,9.5
