City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Barcelona,Smart Forfour,4,BCN,Discover Cars,40.0,10.0,9.5
Barcelona,Smart Forfour,4,BCN,HolidayCars.com,42.0,11.0,6.2
Barcelona,Smart Forfour,4,BCN,Booking.com,45.0,12.0,7.0
Barcelona,Smart Forfour,4,BCN,Rentalcars,46.0,12.0,7.0
Barcelona,Smart Forfour,4,BCN,KAYAK,46.0,12.0,7.0
Barcelona,Smart Forfour,4,BCN,Opodo,72.0,18.0,7.8
Barcelona,Smart Forfour,4,BCN,Argus Car Hire,83.0,21.0,7.8
Barcelona,Smart Forfour,4,BCN,Holiday Autos,109.0,28.0,7.8
Barcelona,Smart Forfour,4,BCN,easyCar,109.0,28.0,6.5
Barcelona,Ford Fiesta,5,BCN,Enjoy Travel,48.0,12.0,6.2
Barcelona,Ford Fiesta,5,BCN,Booking.com,51.0,13.0,8.8
Barcelona,Ford Fiesta,5,BCN,Rentalcars,52.0,13.0,8.8
Barcelona,Ford Fiesta,5,BCN,HolidayCars.com,52.0,13.0,8.2
Barcelona,Ford Fiesta,5,BCN,KAYAK,52.0,13.0,8.8
Barcelona,Ford Fiesta,5,BCN,Opodo,69.0,18.0,9.5
Barcelona,Ford Fiesta,5,BCN,Wisecars,94.0,24.0,8.8
Barcelona,Ford Fiesta,5,BCN,Discover Cars,97.0,25.0,10.0
Barcelona,Ford Fiesta,5,BCN,Holiday Autos,109.0,28.0,9.5
Barcelona,Ford Fiesta,5,BCN,easyCar,109.0,28.0,8.2
Barcelona,Fiat 500,4,BCN,VIP Cars,42.0,11.0,9.5
Barcelona,Fiat 500,4,BCN,Enjoy Travel,46.0,12.0,6.2
Barcelona,Fiat 500,4,BCN,Booking.com,49.0,13.0,8.8
Barcelona,Fiat 500,4,BCN,Rentalcars,50.0,13.0,8.8
Barcelona,Fiat 500,4,BCN,KAYAK,50.0,13.0,8.8
Barcelona,Fiat 500,4,BCN,Discover Cars,51.0,13.0,9.5
Barcelona,Fiat 500,4,BCN,HolidayCars.com,51.0,13.0,8.2
Barcelona,Fiat 500,4,BCN,Opodo,67.0,17.0,9.5
Barcelona,Fiat 500,4,BCN,Wisecars,92.0,23.0,8.8
Barcelona,Fiat 500,4,BCN,Holiday Autos,105.0,27.0,9.5
Barcelona,Fiat 500,4,BCN,easyCar,105.0,27.0,8.2
Barcelona,Smart Forfour,4,Airport terminal,VIP Cars,41.0,11.0,7.8
Barcelona,Smart Forfour,4,Airport terminal,Enjoy Travel,42.0,11.0,6.2
Barcelona,Smart Forfour,4,Airport terminal,HolidayCars.com,48.0,12.0,6.2
Barcelona,Smart Forfour,4,Airport terminal,Booking.com,51.0,13.0,7.0
Barcelona,Smart Forfour,4,Airport terminal,Rentalcars,53.0,14.0,7.0
Barcelona,Smart Forfour,4,Airport terminal,KAYAK,53.0,14.0,7.0
Barcelona,Smart Forfour,4,Airport terminal,Opodo,75.0,19.0,7.8
Barcelona,Smart Forfour,4,Airport terminal,Argus Car Hire,86.0,22.0,7.8
Barcelona,Smart Forfour,4,Airport terminal,Holiday Autos,120.0,30.0,7.8
Barcelona,Smart Forfour,4,Airport terminal,easyCar,120.0,30.0,6.5
Barcelona,Opel Corsa,5,Shuttle,Discover Cars,47.0,12.0,7.8
Barcelona,Opel Corsa,5,Shuttle,Opodo,65.0,17.0,7.8
Barcelona,Opel Corsa,5,Shuttle,Argus Car Hire,74.0,19.0,7.8
Barcelona,Opel Corsa,5,Shuttle,Holiday Autos,97.0,25.0,7.8
Barcelona,Opel Corsa,5,Shuttle,easyCar,97.0,25.0,6.5
Barcelona,Fiat 500,4,Shuttle,Discover Cars,44.0,11.0,7.8
Barcelona,Fiat 500,4,Shuttle,Opodo,63.0,16.0,7.8
Barcelona,Fiat 500,4,Shuttle,Argus Car Hire,72.0,18.0,7.8
Barcelona,Fiat 500,4,Shuttle,Holiday Autos,91.0,23.0,7.8
Barcelona,Fiat 500,4,Shuttle,easyCar,91.0,23.0,6.5
Barcelona,Skoda Fabia,5,BCN,Discover Cars,53.0,14.0,9.5
Barcelona,Skoda Fabia,5,BCN,Opodo,77.0,20.0,9.5
Barcelona,Skoda Fabia,5,BCN,Booking.com,116.0,29.0,8.8
Barcelona,Skoda Fabia,5,BCN,Rentalcars,120.0,30.0,8.8
Barcelona,Skoda Fabia,5,BCN,KAYAK,120.0,30.0,8.8
Barcelona,Skoda Fabia,5,BCN,Holiday Autos,126.0,32.0,9.5
Barcelona,Skoda Fabia,5,BCN,easyCar,126.0,32.0,8.2
Barcelona,Fiat 500C,4,Shuttle,VIP Cars,50.0,13.0,9.5
Barcelona,Fiat 500C,4,Shuttle,Enjoy Travel,54.0,14.0,6.2
Barcelona,Fiat 500C,4,Shuttle,HolidayCars.com,58.0,15.0,8.2
Barcelona,Fiat 500C,4,Shuttle,Wisecars,101.0,26.0,8.8
Barcelona,Fiat 500,4,Shuttle,Booking.com,51.0,13.0,7.0
Barcelona,Fiat 500,4,Shuttle,Rentalcars,53.0,14.0,7.0
Barcelona,Fiat 500,4,Shuttle,KAYAK,53.0,14.0,7.0
Barcelona,Fiat 500,4,Shuttle,Discover Cars,57.0,15.0,7.8
Barcelona,Fiat 500,4,Shuttle,Opodo,76.0,19.0,7.8
Barcelona,Fiat 500,4,Shuttle,Argus Car Hire,83.0,21.0,7.8
Barcelona,Fiat 500,4,Shuttle,Holiday Autos,124.0,31.0,7.8
Barcelona,Fiat 500,4,Shuttle,easyCar,124.0,31.0,6.5
Barcelona,Compact car,5,BCN,VIP Cars,57.0,15.0,9.5
Barcelona,Compact car,5,BCN,Enjoy Travel,63.0,16.0,6.2
Barcelona,Compact car,5,BCN,HolidayCars.com,66.0,17.0,8.2
Barcelona,Compact car,5,BCN,Wisecars,109.0,28.0,8.8
Barcelona,Seat Ibiza,5,BCN,Booking.com,56.0,14.0,7.0
Barcelona,Seat Ibiza,5,BCN,Rentalcars,57.0,15.0,7.0
Barcelona,Seat Ibiza,5,BCN,KAYAK,57.0,15.0,7.0
Barcelona,Seat Ibiza,5,BCN,Opodo,83.0,21.0,7.8
Barcelona,Seat Ibiza,5,BCN,Argus Car Hire,86.0,22.0,7.8
Barcelona,Seat Ibiza,5,BCN,Holiday Autos,135.0,34.0,7.8
Barcelona,Seat Ibiza,5,BCN,easyCar,135.0,34.0,6.5
Barcelona,Volkswagen Polo,5,BCN,Discover Cars,50.0,13.0,9.5
Barcelona,Volkswagen Polo,5,BCN,HolidayCars.com,53.0,14.0,6.2
Barcelona,Volkswagen Polo,5,BCN,Booking.com,59.0,15.0,7.0
Barcelona,Volkswagen Polo,5,BCN,Rentalcars,61.0,16.0,7.0
Barcelona,Volkswagen Polo,5,BCN,KAYAK,61.0,16.0,7.0
Barcelona,Volkswagen Polo,5,BCN,Opodo,88.0,22.0,7.8
Barcelona,Volkswagen Polo,5,BCN,Argus Car Hire,94.0,24.0,7.8
Barcelona,Volkswagen Polo,5,BCN,Holiday Autos,147.0,37.0,7.8
Barcelona,Volkswagen Polo,5,BCN,easyCar,147.0,37.0,6.5
Barcelona,Compact car,5,BCN,VIP Cars,60.0,15.0,9.5
Barcelona,Compact car,5,BCN,Enjoy Travel,66.0,17.0,6.2
Barcelona,Compact car,5,BCN,Booking.com,69.0,18.0,8.8
Barcelona,Compact car,5,BCN,HolidayCars.com,69.0,18.0,8.2
Barcelona,Compact car,5,BCN,Rentalcars,72.0,18.0,8.8
Barcelona,Compact car,5,BCN,KAYAK,72.0,18.0,8.8
Barcelona,Compact car,5,BCN,Wisecars,113.0,29.0,8.8
Barcelona,Seat Leon ST,5,Shuttle,VIP Cars,56.0,14.0,9.5
Barcelona,Seat Leon ST,5,Shuttle,Enjoy Travel,62.0,16.0,6.2
Barcelona,Seat Leon ST,5,Shuttle,Discover Cars,65.0,17.0,9.5
Barcelona,Seat Leon ST,5,Shuttle,Booking.com,65.0,17.0,8.8
Barcelona,Seat Leon ST,5,Shuttle,HolidayCars.com,65.0,17.0,8.2
Barcelona,Seat Leon ST,5,Shuttle,Rentalcars,67.0,17.0,8.8
Barcelona,Seat Leon ST,5,Shuttle,KAYAK,67.0,17.0,8.8
Barcelona,Seat Leon ST,5,Shuttle,Wisecars,108.0,27.0,8.8
Barcelona,Volkswagen Polo,5,Airport terminal,VIP Cars,54.0,14.0,7.8
Barcelona,Volkswagen Polo,5,Airport terminal,Enjoy Travel,57.0,15.0,6.2
Barcelona,Volkswagen Polo,5,Airport terminal,HolidayCars.com,61.0,16.0,6.2
Barcelona,Volkswagen Polo,5,Airport terminal,Booking.com,68.0,17.0,7.0
Barcelona,Volkswagen Polo,5,Airport terminal,Rentalcars,70.0,18.0,7.0
Barcelona,Volkswagen Polo,5,Airport terminal,KAYAK,70.0,18.0,7.0
Barcelona,Volkswagen Polo,5,Airport terminal,Opodo,96.0,24.0,7.8
Barcelona,Volkswagen Polo,5,Airport terminal,Argus Car Hire,98.0,25.0,7.8
Barcelona,Volkswagen Polo,5,Airport terminal,Holiday Autos,162.0,41.0,7.8
Barcelona,Volkswagen Polo,5,Airport terminal,easyCar,162.0,41.0,6.5
