City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Belfast,Toyota Aygo,4,BFS,VIP Cars,93.0,24.0,9.8
Belfast,Toyota Aygo,4,BFS,QEEQ.COM,93.0,24.0,9.8
Belfast,Toyota Aygo,4,BFS,EconomyBookings,98.0,25.0,6.8
Belfast,Toyota Aygo,4,BFS,Sixt,102.0,26.0,8.5
Belfast,Toyota Aygo,4,BFS,Booking.com,105.0,27.0,8.0
Belfast,Toyota Aygo,4,BFS,Rentalcars,108.0,27.0,8.0
Belfast,Toyota Aygo,4,BFS,KAYAK,108.0,27.0,8.0
Belfast,Toyota Aygo,4,BFS,Opodo,123.0,31.0,9.8
Belfast,Toyota Aygo,4,BFS,Argus Car Hire,152.0,38.0,9.8
Belfast,Toyota Aygo,4,BFS,Holiday Autos,267.0,67.0,9.8
Belfast,Toyota Aygo,4,BFS,easyCar,267.0,67.0,8.5
Belfast,Kia Picanto,4,BFS,VIP Cars,97.0,25.0,9.8
Belfast,Kia Picanto,4,BFS,QEEQ.COM,97.0,25.0,9.8
Belfast,Kia Picanto,4,BFS,EconomyBookings,103.0,26.0,6.8
Belfast,Kia Picanto,4,BFS,Sixt,106.0,27.0,8.5
Belfast,Kia Picanto,4,BFS,Booking.com,109.0,28.0,8.0
Belfast,Kia Picanto,4,BFS,Rentalcars,112.0,28.0,8.0
Belfast,Kia Picanto,4,BFS,KAYAK,112.0,28.0,8.0
Belfast,Kia Picanto,4,BFS,Opodo,123.0,31.0,9.8
Belfast,Kia Picanto,4,BFS,Argus Car Hire,159.0,40.0,9.8
Belfast,Kia Picanto,4,BFS,Holiday Autos,279.0,70.0,9.8
Belfast,Kia Picanto,4,BFS,easyCar,279.0,70.0,8.5
Belfast,Kia Rio,5,BFS,VIP Cars,109.0,28.0,9.8
Belfast,Kia Rio,5,BFS,QEEQ.COM,109.0,28.0,9.8
Belfast,Kia Rio,5,BFS,EconomyBookings,116.0,29.0,6.8
Belfast,Kia Rio,5,BFS,Sixt,120.0,30.0,8.5
Belfast,Kia Rio,5,BFS,Booking.com,122.0,31.0,8.0
Belfast,Kia Rio,5,BFS,Rentalcars,125.0,32.0,8.0
Belfast,Kia Rio,5,BFS,KAYAK,125.0,32.0,8.0
Belfast,Kia Rio,5,BFS,Opodo,128.0,32.0,9.8
Belfast,Kia Rio,5,BFS,Argus Car Hire,179.0,45.0,9.8
Belfast,Kia Rio,5,BFS,Holiday Autos,315.0,79.0,9.8
Belfast,Kia Rio,5,BFS,easyCar,315.0,79.0,8.5
Belfast,Ford Ka,4,BHD,QEEQ.COM,124.0,31.0,9.8
Belfast,Ford Ka,4,BHD,easyCar,124.0,31.0,8.2
Belfast,Ford Ka,4,BHD,Rentalcars,126.0,32.0,8.0
Belfast,Ford Ka,4,BHD,KAYAK,126.0,32.0,8.0
Belfast,Ford Ka,4,BHD,Bsp Auto,169.0,43.0,9.5
Belfast,Kia Picanto,4,BHD,QEEQ.COM,122.0,31.0,9.8
Belfast,Kia Picanto,4,BHD,Opodo,123.0,31.0,9.5
Belfast,Kia Picanto,4,BHD,easyCar,123.0,31.0,8.2
Belfast,Kia Picanto,4,BHD,Rentalcars,124.0,31.0,8.0
Belfast,Kia Picanto,4,BHD,VIP Cars,124.0,31.0,8.2
Belfast,Kia Picanto,4,BHD,Booking.com,124.0,31.0,8.0
Belfast,Kia Picanto,4,BHD,EconomyBookings,124.0,31.0,8.2
Belfast,Kia Picanto,4,BHD,Hertz,124.0,31.0,6.0
Belfast,Kia Picanto,4,BHD,KAYAK,124.0,31.0,8.0
Belfast,Volkswagen Golf,5,BFS,VIP Cars,121.0,31.0,9.8
Belfast,Volkswagen Golf,5,BFS,QEEQ.COM,121.0,31.0,9.8
Belfast,Volkswagen Golf,5,BFS,EconomyBookings,129.0,33.0,6.8
Belfast,Volkswagen Golf,5,BFS,Sixt,133.0,34.0,8.5
Belfast,Volkswagen Golf,5,BFS,Booking.com,134.0,34.0,8.0
Belfast,Volkswagen Golf,5,BFS,Rentalcars,138.0,35.0,8.0
Belfast,Volkswagen Golf,5,BFS,KAYAK,138.0,35.0,8.0
Belfast,Volkswagen Golf,5,BFS,Opodo,141.0,36.0,9.8
Belfast,Volkswagen Golf,5,BFS,Argus Car Hire,199.0,50.0,9.8
Belfast,Volkswagen Golf,5,BFS,Holiday Autos,350.0,88.0,9.8
Belfast,Volkswagen Golf,5,BFS,easyCar,350.0,88.0,8.5
