City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Berlin,Volkswagen Polo,5,Exact address revealed after booking,Getaround,81.0,21.0,6.8
Berlin,Hyundai i20,4,"Rudower Chaussee 25, Berlin",VIP Cars,109.0,28.0,7.5
Berlin,Hyundai i20,4,"Rudower Chaussee 25, Berlin",Wisecars,117.0,30.0,5.5
Berlin,Volkswagen Polo,5,"Karl-marx-str. 260- Ecke Delbrueckstr., Berlin",VIP Cars,114.0,29.0,7.5
Berlin,Volkswagen Polo,5,"Karl-marx-str. 260- Ecke Delbrueckstr., Berlin",Wisecars,121.0,31.0,7.5
Berlin,Volkswagen Polo,5,"Karl-marx-str. 260- Ecke Delbrueckstr., Berlin",Enjoy Travel,122.0,31.0,5.8
Berlin,Volkswagen Polo,5,"Karl-marx-str. 260- Ecke Delbrueckstr., Berlin",Bsp Auto,125.0,32.0,7.5
Berlin,Volkswagen Polo,4,"Grunerstr. 5+7, Berlin",Opodo,142.0,36.0,9.8
Berlin,Volkswagen Polo,4,"Grunerstr. 5+7, Berlin",Sixt,155.0,39.0,7.5
Berlin,Citroen DS3,4,"Budapester Strasse 43, Berlin",Bsp Auto,144.0,36.0,9.2
Berlin,Opel Corsa,5,"Kaiserdamm 25A, Berlin",VIP Cars,144.0,36.0,9.2
Berlin,Fiat 500,4,"Rudower Chaussee 25, Berlin",VIP Cars,108.0,27.0,7.5
Berlin,Fiat 500,4,"Rudower Chaussee 25, Berlin",Wisecars,116.0,29.0,5.5
Berlin,Volkswagen Polo,4,"Budapester Strasse 43, Berlin",Bsp Auto,146.0,37.0,9.2
Berlin,Volkswagen Polo,4,"Budapester Strasse 43, Berlin",Rentalcars,157.0,40.0,8.2
Berlin,Volkswagen Polo,4,"Budapester Strasse 43, Berlin",Avis,157.0,40.0,8.5
Berlin,Volkswagen Polo,4,"Budapester Strasse 43, Berlin",KAYAK,157.0,40.0,8.2
Berlin,Volkswagen Polo,4,"Budapester Strasse 43, Berlin",Enjoy Travel,158.0,40.0,4.8
Berlin,Volkswagen Polo,5,"Alexanderplatz 8, Berlin",Opodo,155.0,39.0,8.2
Berlin,Volkswagen Polo,5,"Alexanderplatz 8, Berlin",Enjoy Travel,157.0,40.0,5.8
Berlin,Volkswagen Polo,5,"Alexanderplatz 8, Berlin",Rentalcars,160.0,40.0,6.0
Berlin,Volkswagen Polo,5,"Alexanderplatz 8, Berlin",KAYAK,160.0,40.0,6.0
Berlin,Volkswagen Polo,5,"Alexanderplatz 8, Berlin",Discover Cars,162.0,41.0,8.2
Berlin,Volkswagen Polo,5,"Alexanderplatz 8, Berlin",VIP Cars,168.0,42.0,8.2
Berlin,Ford Fiesta,5,"Budapester Str. 45, Berlin",VIP Cars,171.0,43.0,9.8
Berlin,Fiat 500,4,"Karl-marx-str. 260- Ecke Delbrueckstr., Berlin",VIP Cars,112.0,28.0,7.5
Berlin,Fiat 500,4,"Karl-marx-str. 260- Ecke Delbrueckstr., Berlin",Wisecars,118.0,30.0,7.5
Berlin,Fiat 500,4,"Karl-marx-str. 260- Ecke Delbrueckstr., Berlin",Enjoy Travel,120.0,30.0,5.8
Berlin,Fiat 500,4,"Karl-marx-str. 260- Ecke Delbrueckstr., Berlin",Bsp Auto,122.0,31.0,7.5
Berlin,Hyundai i20,4,"Karl-marx-str. 260 Ecke, Delbrückstraße, Berlin",VIP Cars,130.0,33.0,7.5
Berlin,Hyundai i20,4,"Karl-marx-str. 260 Ecke, Delbrückstraße, Berlin",Wisecars,130.0,33.0,5.5
Berlin,Opel Corsa,5,"Budapester Strasse 39, Berlin",Bsp Auto,156.0,39.0,9.2
Berlin,Opel Astra,5,"Rudower Chaussee 25, Berlin",VIP Cars,121.0,31.0,7.5
Berlin,Opel Astra,5,"Rudower Chaussee 25, Berlin",Wisecars,130.0,33.0,5.5
Berlin,Opel Corsa,5,"Kaiserdamm 25A, Berlin",VIP Cars,157.0,40.0,9.2
Berlin,Opel Corsa,5,"Kaiserdamm 25A, Berlin",Wisecars,163.0,41.0,8.2
