City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Budapest,Toyota Aygo,4,Airport terminal,Enjoy Travel,53.0,14.0,5.8
Budapest,Toyota Aygo,4,Airport terminal,KAYAK,55.0,14.0,9.8
Budapest,Toyota Aygo,4,Airport terminal,QEEQ.COM,55.0,14.0,9.8
Budapest,Toyota Aygo,4,Airport terminal,HolidayCars.com,58.0,15.0,8.0
Budapest,Toyota Aygo,4,Airport terminal,Discover Cars,60.0,15.0,9.2
Budapest,Toyota Aygo,4,Airport terminal,Rentalcars,73.0,19.0,8.0
Budapest,Toyota Aygo,4,Airport terminal,Booking.com,73.0,19.0,8.0
Budapest,Toyota Aygo,4,Airport terminal,Argus Car Hire,91.0,23.0,9.5
Budapest,Toyota Aygo,4,Airport terminal,Opodo,92.0,23.0,9.5
Budapest,Toyota Aygo,4,Airport terminal,Holiday Autos,150.0,38.0,9.5
Budapest,Toyota Aygo,4,Airport terminal,easyCar,150.0,38.0,8.0
Budapest,Fiat Panda,4,BUD,QEEQ.COM,61.0,16.0,9.8
Budapest,Fiat Panda,4,BUD,Rentalcars,74.0,19.0,8.0
Budapest,Fiat Panda,4,BUD,KAYAK,74.0,19.0,8.0
Budapest,Fiat Panda,4,BUD,Booking.com,78.0,20.0,8.0
Budapest,Toyota Aygo,4,Shuttle,QEEQ.COM,65.0,17.0,9.8
Budapest,Volkswagen Polo,5,Airport terminal,Enjoy Travel,60.0,15.0,5.8
Budapest,Volkswagen Polo,5,Airport terminal,KAYAK,61.0,16.0,9.8
Budapest,Volkswagen Polo,5,Airport terminal,QEEQ.COM,61.0,16.0,9.8
Budapest,Volkswagen Polo,5,Airport terminal,HolidayCars.com,64.0,16.0,8.0
Budapest,Volkswagen Polo,5,Airport terminal,Discover Cars,67.0,17.0,9.2
Budapest,Volkswagen Polo,5,Airport terminal,Rentalcars,81.0,21.0,8.0
Budapest,Volkswagen Polo,5,Airport terminal,Booking.com,83.0,21.0,8.0
Budapest,Volkswagen Polo,5,Airport terminal,Argus Car Hire,98.0,25.0,9.5
Budapest,Volkswagen Polo,5,Airport terminal,Opodo,104.0,26.0,9.5
Budapest,Volkswagen Polo,5,Airport terminal,Holiday Autos,170.0,43.0,9.5
Budapest,Volkswagen Polo,5,Airport terminal,easyCar,170.0,43.0,8.0
Budapest,Ford Focus,5,Airport terminal,KAYAK,74.0,19.0,9.8
Budapest,Ford Focus,5,Airport terminal,QEEQ.COM,74.0,19.0,9.8
Budapest,Ford Focus,5,Airport terminal,HolidayCars.com,77.0,20.0,8.0
Budapest,Ford Focus,5,Airport terminal,Discover Cars,79.0,20.0,9.2
Budapest,Ford Focus,5,Airport terminal,Rentalcars,98.0,25.0,8.0
Budapest,Ford Focus,5,Airport terminal,Booking.com,101.0,26.0,8.0
Budapest,Ford Focus,5,Airport terminal,Argus Car Hire,119.0,30.0,9.5
Budapest,Ford Focus,5,Airport terminal,Opodo,127.0,32.0,9.5
Budapest,Ford Focus,5,Airport terminal,Holiday Autos,209.0,53.0,9.5
Budapest,Ford Focus,5,Airport terminal,easyCar,209.0,53.0,8.0
Budapest,Volkswagen Golf,5,Airport terminal,KAYAK,81.0,21.0,9.8
Budapest,Volkswagen Golf,5,Airport terminal,QEEQ.COM,81.0,21.0,9.8
Budapest,Volkswagen Golf,5,Airport terminal,HolidayCars.com,84.0,21.0,8.0
Budapest,Volkswagen Golf,5,Airport terminal,Discover Cars,86.0,22.0,9.2
Budapest,Volkswagen Golf,5,Airport terminal,Rentalcars,108.0,27.0,8.0
Budapest,Volkswagen Golf,5,Airport terminal,Booking.com,111.0,28.0,8.0
Budapest,Volkswagen Golf,5,Airport terminal,Argus Car Hire,131.0,33.0,9.5
Budapest,Volkswagen Golf,5,Airport terminal,Opodo,140.0,35.0,9.5
Budapest,Volkswagen Golf,5,Airport terminal,Holiday Autos,230.0,58.0,9.5
Budapest,Volkswagen Golf,5,Airport terminal,easyCar,230.0,58.0,8.0
Budapest,Volkswagen Polo,5,Airport terminal,KAYAK,98.0,25.0,9.8
Budapest,Volkswagen Polo,5,Airport terminal,QEEQ.COM,98.0,25.0,9.8
Budapest,Volkswagen Polo,5,Airport terminal,HolidayCars.com,100.0,25.0,8.0
Budapest,Volkswagen Polo,5,Airport terminal,Rentalcars,132.0,33.0,8.0
Budapest,Volkswagen Polo,5,Airport terminal,Booking.com,136.0,34.0,8.0
Budapest,Volkswagen Polo,5,Airport terminal,Argus Car Hire,160.0,40.0,9.5
Budapest,Volkswagen Polo,5,Airport terminal,Opodo,168.0,42.0,9.5
Budapest,Volkswagen Polo,5,Airport terminal,Holiday Autos,282.0,71.0,9.5
Budapest,Volkswagen Polo,5,Airport terminal,easyCar,282.0,71.0,8.0
Budapest,Suzuki Swift,5,BUD,KAYAK,77.0,20.0,8.0
Budapest,Suzuki Swift,5,BUD,Booking.com,82.0,21.0,8.0
Budapest,Suzuki Swift,5,BUD,QEEQ.COM,89.0,23.0,9.8
Budapest,Citroen C3,5,"Szent István Tér 1, Budapest",Discover Cars,85.0,22.0,9.2
Budapest,Volkswagen up!,4,BUD,Rentalcars,79.0,20.0,8.0
Budapest,Volkswagen up!,4,BUD,KAYAK,79.0,20.0,8.0
Budapest,Volkswagen up!,4,BUD,Booking.com,83.0,21.0,8.0
Budapest,Ford Fiesta,5,Airport terminal,Discover Cars,93.0,24.0,9.2
