City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Dalaman,Peugeot 208,5,Shuttle,Enjoy Travel,41.0,11.0,5.8
Dalaman,Peugeot 208,5,Shuttle,Wisecars,45.0,12.0,6.8
Dalaman,Peugeot 208,5,Shuttle,Opodo,71.0,18.0,9.8
Dalaman,Peugeot 208,5,Shuttle,Argus Car Hire,80.0,20.0,9.8
Dalaman,Peugeot 208,5,Shuttle,Holiday Autos,116.0,29.0,9.8
Dalaman,Peugeot 208,5,Shuttle,easyCar,116.0,29.0,8.0
Dalaman,Kia Rio,5,Shuttle,Enjoy Travel,50.0,13.0,5.8
Dalaman,Kia Rio,5,Shuttle,Wisecars,56.0,14.0,6.8
Dalaman,Kia Rio,5,Shuttle,Opodo,87.0,22.0,9.8
Dalaman,Kia Rio,5,Shuttle,Argus Car Hire,89.0,23.0,9.8
Dalaman,Kia Rio,5,Shuttle,Holiday Autos,142.0,36.0,9.8
Dalaman,Kia Rio,5,Shuttle,easyCar,142.0,36.0,8.0
Dalaman,Hyundai i20,5,call for pick-up,VIP Cars,52.0,13.0,9.2
Dalaman,Intermediate car,5,Shuttle,Enjoy Travel,47.0,12.0,5.8
Dalaman,Intermediate car,5,Shuttle,QEEQ.COM,49.0,13.0,10.0
Dalaman,Intermediate car,5,Shuttle,Wisecars,52.0,13.0,6.8
Dalaman,Intermediate car,5,Shuttle,Opodo,81.0,21.0,9.8
Dalaman,Intermediate car,5,Shuttle,Argus Car Hire,85.0,22.0,9.8
Dalaman,Intermediate car,5,Shuttle,Holiday Autos,133.0,34.0,9.8
Dalaman,Intermediate car,5,Shuttle,easyCar,133.0,34.0,8.0
Dalaman,Hyundai i20,5,Airport terminal,VIP Cars,55.0,14.0,9.2
Dalaman,Hyundai i20,5,Airport terminal,Wisecars,61.0,16.0,9.2
Dalaman,Hyundai i20,5,Airport terminal,Rentalcars,67.0,17.0,7.2
Dalaman,Hyundai i20,5,Airport terminal,KAYAK,67.0,17.0,7.2
Dalaman,Hyundai i20,5,Airport terminal,Booking.com,69.0,18.0,7.2
Dalaman,Kia Picanto,4,Shuttle,Enjoy Travel,48.0,12.0,5.8
Dalaman,Kia Picanto,4,Shuttle,Wisecars,53.0,14.0,6.8
Dalaman,Kia Picanto,4,Shuttle,Opodo,83.0,21.0,9.8
Dalaman,Kia Picanto,4,Shuttle,Argus Car Hire,86.0,22.0,9.8
Dalaman,Kia Picanto,4,Shuttle,Holiday Autos,136.0,34.0,9.8
Dalaman,Kia Picanto,4,Shuttle,easyCar,136.0,34.0,8.0
Dalaman,Fiat Linea,5,Airport terminal,VIP Cars,51.0,13.0,9.2
Dalaman,Fiat Linea,5,Airport terminal,Wisecars,57.0,15.0,9.2
Dalaman,Fiat Linea,5,Airport terminal,Discover Cars,59.0,15.0,9.2
Dalaman,Fiat Linea,5,Airport terminal,Rentalcars,63.0,16.0,7.2
Dalaman,Fiat Linea,5,Airport terminal,KAYAK,63.0,16.0,7.2
Dalaman,Fiat Linea,5,Airport terminal,Booking.com,65.0,17.0,7.2
Dalaman,Opel Corsa,5,Airport terminal,VIP Cars,62.0,16.0,9.2
Dalaman,Opel Corsa,5,Airport terminal,Discover Cars,69.0,18.0,9.2
Dalaman,Opel Corsa,5,Airport terminal,Wisecars,69.0,18.0,9.2
Dalaman,Opel Corsa,5,Airport terminal,Rentalcars,79.0,20.0,7.2
Dalaman,Opel Corsa,5,Airport terminal,KAYAK,79.0,20.0,7.2
Dalaman,Opel Corsa,5,Airport terminal,Booking.com,80.0,20.0,7.2
Dalaman,Peugeot 301,5,call for pick-up,VIP Cars,54.0,14.0,9.2
Dalaman,Renault Symbol,5,call for pick-up,VIP Cars,44.0,11.0,9.2
Dalaman,Renault Symbol,5,call for pick-up,Enjoy Travel,44.0,11.0,5.8
Dalaman,Renault Symbol,5,call for pick-up,Discover Cars,52.0,13.0,9.2
Dalaman,Hyundai i10,4,call for pick-up,VIP Cars,44.0,11.0,9.2
Dalaman,Hyundai i10,4,call for pick-up,Enjoy Travel,44.0,11.0,5.8
Dalaman,Hyundai i10,4,call for pick-up,Discover Cars,52.0,13.0,9.2
Dalaman,Renault Clio,5,Airport terminal,VIP Cars,61.0,16.0,7.2
Dalaman,Renault Clio,5,Airport terminal,Rentalcars,62.0,16.0,5.2
Dalaman,Renault Clio,5,Airport terminal,KAYAK,62.0,16.0,5.2
Dalaman,Renault Clio,5,Airport terminal,Booking.com,65.0,17.0,5.2
Dalaman,Citroen C-Elysée,5,DLM,QEEQ.COM,58.0,15.0,10.0
Dalaman,Citroen C-Elysée,5,DLM,Discover Cars,69.0,18.0,9.2
Dalaman,Citroen C-Elysée,5,DLM,Opodo,96.0,24.0,9.8
Dalaman,Citroen C-Elysée,5,DLM,Holiday Autos,155.0,39.0,9.8
Dalaman,Citroen C-Elysée,5,DLM,easyCar,155.0,39.0,8.0
Dalaman,Intermediate car,5,call for pick-up,VIP Cars,56.0,14.0,9.2
Dalaman,Hyundai i20,5,Shuttle,Rentalcars,53.0,14.0,5.8
Dalaman,Hyundai i20,5,Shuttle,Booking.com,53.0,14.0,5.8
Dalaman,Hyundai i20,5,Shuttle,KAYAK,53.0,14.0,5.8
