City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Dublin,Ford Ka,4,DUB,VIP Cars,76.0,19.0,9.5
Dublin,Ford Ka,4,DUB,QEEQ.COM,78.0,20.0,9.5
Dublin,Ford Ka,4,DUB,Bsp Auto,82.0,21.0,9.0
Dublin,Ford Ka,4,DUB,Discover Cars,82.0,21.0,9.0
Dublin,Ford Ka,4,DUB,Sixt,84.0,21.0,8.2
Dublin,Ford Ka,4,DUB,Rentalcars,98.0,25.0,7.8
Dublin,Ford Ka,4,DUB,Booking.com,98.0,25.0,7.8
Dublin,Ford Ka,4,DUB,KAYAK,98.0,25.0,7.8
Dublin,Ford Ka,4,DUB,Opodo,116.0,29.0,9.5
Dublin,Ford Ka,4,DUB,Argus Car Hire,125.0,32.0,9.5
Dublin,Ford Ka,4,DUB,Holiday Autos,219.0,55.0,9.5
Dublin,Ford Ka,4,DUB,easyCar,219.0,55.0,8.2
Dublin,Volkswagen Polo,5,DUB,VIP Cars,81.0,21.0,9.5
Dublin,Volkswagen Polo,5,DUB,QEEQ.COM,83.0,21.0,9.5
Dublin,Volkswagen Polo,5,DUB,Bsp Auto,86.0,22.0,9.0
Dublin,Volkswagen Polo,5,DUB,Discover Cars,87.0,22.0,9.0
Dublin,Volkswagen Polo,5,DUB,Sixt,89.0,23.0,8.2
Dublin,Volkswagen Polo,5,DUB,Rentalcars,104.0,26.0,7.8
Dublin,Volkswagen Polo,5,DUB,Booking.com,104.0,26.0,7.8
Dublin,Volkswagen Polo,5,DUB,KAYAK,104.0,26.0,7.8
Dublin,Volkswagen Polo,5,DUB,Opodo,119.0,30.0,9.5
Dublin,Volkswagen Polo,5,DUB,Argus Car Hire,133.0,34.0,9.5
Dublin,Volkswagen Polo,5,DUB,Holiday Autos,233.0,59.0,9.5
Dublin,Volkswagen Polo,5,DUB,easyCar,233.0,59.0,8.2
Dublin,Ford Fiesta,5,Airport terminal,QEEQ.COM,87.0,22.0,9.5
Dublin,Ford Fiesta,5,Airport terminal,Opodo,119.0,30.0,9.2
Dublin,Ford Fiesta,5,Airport terminal,Argus Car Hire,139.0,35.0,9.2
Dublin,Ford Fiesta,5,Airport terminal,Holiday Autos,244.0,61.0,9.2
Dublin,Ford Fiesta,5,Airport terminal,easyCar,244.0,61.0,7.8
Dublin,Ford Fiesta,5,Airport terminal,QEEQ.COM,87.0,22.0,9.5
Dublin,Ford Fiesta,5,Airport terminal,Bsp Auto,94.0,24.0,9.0
Dublin,Ford Fiesta,5,Airport terminal,Discover Cars,101.0,26.0,9.0
Dublin,Ford Fiesta,5,Airport terminal,Rentalcars,108.0,27.0,7.8
Dublin,Ford Fiesta,5,Airport terminal,Booking.com,108.0,27.0,7.8
Dublin,Ford Fiesta,5,Airport terminal,KAYAK,108.0,27.0,7.8
Dublin,Ford Fiesta,5,Airport terminal,Opodo,119.0,30.0,9.2
Dublin,Ford Fiesta,5,Airport terminal,Argus Car Hire,139.0,35.0,9.2
Dublin,Ford Fiesta,5,Airport terminal,Holiday Autos,244.0,61.0,9.2
Dublin,Ford Fiesta,5,Airport terminal,easyCar,244.0,61.0,7.8
Dublin,Ford Ka,4,Airport terminal,QEEQ.COM,82.0,21.0,9.5
Dublin,Ford Ka,4,Airport terminal,Bsp Auto,88.0,22.0,9.0
Dublin,Ford Ka,4,Airport terminal,Discover Cars,95.0,24.0,9.0
Dublin,Ford Ka,4,Airport terminal,Rentalcars,102.0,26.0,7.8
Dublin,Ford Ka,4,Airport terminal,Booking.com,102.0,26.0,7.8
Dublin,Ford Ka,4,Airport terminal,KAYAK,102.0,26.0,7.8
Dublin,Ford Ka,4,Airport terminal,Opodo,116.0,29.0,9.2
Dublin,Ford Ka,4,Airport terminal,Argus Car Hire,131.0,33.0,9.2
Dublin,Ford Ka,4,Airport terminal,Holiday Autos,229.0,58.0,9.2
Dublin,Ford Ka,4,Airport terminal,easyCar,229.0,58.0,7.8
Dublin,Opel Astra,5,DUB,VIP Cars,87.0,22.0,9.5
Dublin,Opel Astra,5,DUB,QEEQ.COM,89.0,23.0,9.5
Dublin,Opel Astra,5,DUB,Bsp Auto,92.0,23.0,9.0
Dublin,Opel Astra,5,DUB,Discover Cars,93.0,24.0,9.0
Dublin,Opel Astra,5,DUB,Sixt,96.0,24.0,8.2
Dublin,Opel Astra,5,DUB,Rentalcars,111.0,28.0,7.8
Dublin,Opel Astra,5,DUB,Booking.com,111.0,28.0,7.8
