City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Edinburgh,Fiat 500,4,Shuttle,Enjoy Travel,75.0,19.0,5.8
Edinburgh,Fiat 500,4,Shuttle,Rentalcars,77.0,20.0,6.2
Edinburgh,Fiat 500,4,Shuttle,Booking.com,77.0,20.0,6.2
Edinburgh,Fiat 500,4,Shuttle,QEEQ.COM,77.0,20.0,7.5
Edinburgh,Fiat 500,4,Shuttle,EconomyBookings,78.0,20.0,5.8
Edinburgh,Fiat 500,4,Shuttle,HolidayCars.com,86.0,22.0,5.8
Edinburgh,Fiat 500,4,Shuttle,Discover Cars,111.0,28.0,6.2
Edinburgh,Fiat 500,4,Shuttle,Argus Car Hire,121.0,31.0,7.2
Edinburgh,Fiat 500,4,Shuttle,Opodo,129.0,33.0,7.2
Edinburgh,Fiat 500,4,Shuttle,Bsp Auto,165.0,42.0,7.0
Edinburgh,Fiat 500,4,Shuttle,Holiday Autos,212.0,53.0,7.2
Edinburgh,Fiat 500,4,Shuttle,easyCar,212.0,53.0,6.0
Edinburgh,Peugeot 208,5,EDI,Enjoy Travel,80.0,20.0,5.8
Edinburgh,Peugeot 208,5,EDI,QEEQ.COM,81.0,21.0,7.5
Edinburgh,Peugeot 208,5,EDI,Rentalcars,82.0,21.0,6.2
Edinburgh,Peugeot 208,5,EDI,Booking.com,82.0,21.0,6.2
Edinburgh,Peugeot 208,5,EDI,HolidayCars.com,90.0,23.0,5.8
Edinburgh,Peugeot 208,5,EDI,Discover Cars,115.0,29.0,6.2
Edinburgh,Peugeot 208,5,EDI,Argus Car Hire,129.0,33.0,7.2
Edinburgh,Peugeot 208,5,EDI,Opodo,138.0,35.0,7.2
Edinburgh,Peugeot 208,5,EDI,Bsp Auto,176.0,44.0,7.0
Edinburgh,Peugeot 208,5,EDI,Holiday Autos,226.0,57.0,7.2
Edinburgh,Peugeot 208,5,EDI,easyCar,226.0,57.0,6.0
Edinburgh,Peugeot 208,5,EDI,Enjoy Travel,88.0,22.0,5.8
Edinburgh,Peugeot 208,5,EDI,QEEQ.COM,89.0,23.0,7.5
Edinburgh,Peugeot 208,5,EDI,Rentalcars,90.0,23.0,6.2
Edinburgh,Peugeot 208,5,EDI,Booking.com,90.0,23.0,6.2
Edinburgh,Peugeot 208,5,EDI,HolidayCars.com,98.0,25.0,5.8
Edinburgh,Peugeot 208,5,EDI,Argus Car Hire,142.0,36.0,7.2
Edinburgh,Peugeot 208,5,EDI,Opodo,152.0,38.0,7.2
Edinburgh,Peugeot 208,5,EDI,Bsp Auto,194.0,49.0,7.0
Edinburgh,Peugeot 208,5,EDI,Holiday Autos,250.0,63.0,7.2
Edinburgh,Peugeot 208,5,EDI,easyCar,250.0,63.0,6.0
Edinburgh,Seat Leon,5,EDI,Enjoy Travel,92.0,23.0,5.8
Edinburgh,Seat Leon,5,EDI,Rentalcars,93.0,24.0,6.2
Edinburgh,Seat Leon,5,EDI,Booking.com,93.0,24.0,6.2
Edinburgh,Seat Leon,5,EDI,QEEQ.COM,100.0,25.0,7.5
Edinburgh,Seat Leon,5,EDI,HolidayCars.com,101.0,26.0,5.8
Edinburgh,Seat Leon,5,EDI,Discover Cars,126.0,32.0,6.2
Edinburgh,Seat Leon,5,EDI,Opodo,158.0,40.0,7.2
Edinburgh,Seat Leon,5,EDI,Argus Car Hire,161.0,41.0,7.2
Edinburgh,Seat Leon,5,EDI,Holiday Autos,283.0,71.0,7.2
Edinburgh,Seat Leon,5,EDI,easyCar,283.0,71.0,6.0
Edinburgh,Volkswagen Golf,5,EDI,QEEQ.COM,93.0,24.0,7.5
Edinburgh,Volkswagen Golf,5,EDI,EconomyBookings,96.0,24.0,5.8
Edinburgh,Volkswagen Golf,5,EDI,Argus Car Hire,148.0,37.0,7.2
Edinburgh,Volkswagen Golf,5,EDI,Opodo,158.0,40.0,7.2
Edinburgh,Volkswagen Golf,5,EDI,Bsp Auto,201.0,51.0,7.0
Edinburgh,Volkswagen Golf,5,EDI,Holiday Autos,259.0,65.0,7.2
Edinburgh,Volkswagen Golf,5,EDI,easyCar,259.0,65.0,6.0
Edinburgh,Opel Crossland X,5,EDI,QEEQ.COM,101.0,26.0,7.5
Edinburgh,Opel Crossland X,5,EDI,Argus Car Hire,161.0,41.0,7.2
Edinburgh,Opel Crossland X,5,EDI,Opodo,163.0,41.0,7.2
Edinburgh,Opel Crossland X,5,EDI,Holiday Autos,283.0,71.0,7.2
Edinburgh,Opel Crossland X,5,EDI,easyCar,283.0,71.0,6.0
Edinburgh,Seat Leon,5,EDI,Enjoy Travel,100.0,25.0,5.8
