City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Faro,Volkswagen up!,5,Shuttle,Enjoy Travel,32.0,8.0,5.8
Faro,Fiat Panda,5,Shuttle,Enjoy Travel,35.0,9.0,5.8
Faro,Fiat Panda,5,Shuttle,KAYAK,38.0,10.0,9.5
Faro,Fiat Panda,5,Shuttle,QEEQ.COM,38.0,10.0,9.5
Faro,Fiat Panda,5,Shuttle,Discover Cars,43.0,11.0,9.0
Faro,Volkswagen Polo,5,Shuttle,Enjoy Travel,36.0,9.0,5.8
Faro,Volkswagen Polo,5,Shuttle,KAYAK,38.0,10.0,9.5
Faro,Volkswagen Polo,5,Shuttle,QEEQ.COM,38.0,10.0,9.5
Faro,Volkswagen Polo,5,Shuttle,Discover Cars,44.0,11.0,9.0
Faro,Ford Ka,4,Airport terminal,Rentalcars,92.0,23.0,7.2
Faro,Ford Ka,4,Airport terminal,Opodo,92.0,23.0,9.2
Faro,Ford Ka,4,Airport terminal,Booking.com,92.0,23.0,7.2
Faro,Ford Ka,4,Airport terminal,KAYAK,92.0,23.0,9.5
Faro,Ford Ka,4,Airport terminal,QEEQ.COM,92.0,23.0,9.5
Faro,Ford Ka,4,Airport terminal,easyCar,92.0,23.0,8.0
Faro,Ford Ka,4,Airport terminal,HolidayCars.com,92.0,23.0,9.0
Faro,Fiat Punto,5,Shuttle,Enjoy Travel,33.0,9.0,5.8
Faro,Volkswagen up!,4,Shuttle,HolidayCars.com,39.0,10.0,8.0
Faro,Volkswagen up!,4,Shuttle,Discover Cars,42.0,11.0,9.0
Faro,Fiat Panda,5,Shuttle,KAYAK,36.0,9.0,9.8
Faro,Fiat Panda,5,Shuttle,QEEQ.COM,36.0,9.0,9.8
Faro,Fiat Panda,5,Shuttle,Wisecars,38.0,10.0,7.2
Faro,Fiat Panda,5,Shuttle,HolidayCars.com,40.0,10.0,8.0
Faro,Fiat Panda,5,Shuttle,Discover Cars,42.0,11.0,9.0
Faro,Fiat Panda,5,Shuttle,Rentalcars,44.0,11.0,7.2
Faro,Fiat Panda,5,Shuttle,Booking.com,44.0,11.0,7.2
Faro,Fiat Panda,5,Shuttle,Opodo,65.0,17.0,9.2
Faro,Fiat Panda,5,Shuttle,Argus Car Hire,74.0,19.0,9.2
Faro,Fiat Panda,5,Shuttle,Holiday Autos,98.0,25.0,9.2
Faro,Fiat Panda,5,Shuttle,easyCar,98.0,25.0,8.0
Faro,Seat Ibiza,5,Shuttle,HolidayCars.com,41.0,11.0,8.0
Faro,Seat Ibiza,5,Shuttle,Discover Cars,44.0,11.0,9.0
Faro,Opel Corsa,5,Airport terminal,Rentalcars,98.0,25.0,7.2
Faro,Opel Corsa,5,Airport terminal,Opodo,98.0,25.0,9.2
Faro,Opel Corsa,5,Airport terminal,Booking.com,98.0,25.0,7.2
Faro,Opel Corsa,5,Airport terminal,KAYAK,98.0,25.0,9.5
Faro,Opel Corsa,5,Airport terminal,QEEQ.COM,98.0,25.0,9.5
Faro,Opel Corsa,5,Airport terminal,easyCar,98.0,25.0,8.0
Faro,Opel Corsa,5,Airport terminal,HolidayCars.com,98.0,25.0,9.0
Faro,Opel Corsa,5,Airport terminal,Holiday Autos,165.0,42.0,9.2
Faro,Opel Corsa,5,Airport terminal,Argus Car Hire,165.0,42.0,9.2
Faro,Ford Ka,4,Airport terminal,HolidayCars.com,43.0,11.0,8.0
Faro,Ford Fiesta,5,Airport terminal,HolidayCars.com,45.0,12.0,8.0
Faro,Ford Fiesta,5,Airport terminal,Zest Car Rental,57.0,15.0,9.2
Faro,Nissan Micra,5,Shuttle,KAYAK,42.0,11.0,9.8
Faro,Nissan Micra,5,Shuttle,QEEQ.COM,42.0,11.0,9.8
Faro,Nissan Micra,5,Shuttle,Wisecars,44.0,11.0,7.2
Faro,Nissan Micra,5,Shuttle,HolidayCars.com,46.0,12.0,8.0
Faro,Nissan Micra,5,Shuttle,Discover Cars,47.0,12.0,9.0
Faro,Nissan Micra,5,Shuttle,Rentalcars,49.0,13.0,7.2
Faro,Nissan Micra,5,Shuttle,Booking.com,49.0,13.0,7.2
Faro,Nissan Micra,5,Shuttle,Opodo,70.0,18.0,9.2
Faro,Nissan Micra,5,Shuttle,Argus Car Hire,79.0,20.0,9.2
Faro,Nissan Micra,5,Shuttle,Holiday Autos,113.0,29.0,9.2
Faro,Nissan Micra,5,Shuttle,easyCar,113.0,29.0,8.0
Faro,Fiat 500,4,Shuttle,Enjoy Travel,39.0,10.0,5.8
Faro,Fiat 500,4,Shuttle,QEEQ.COM,42.0,11.0,7.2
Faro,Fiat 500,4,Shuttle,Enjoy Travel,44.0,11.0,4.0
Faro,Fiat 500,4,Shuttle,KAYAK,45.0,12.0,7.2
Faro,Fiat 500,4,Shuttle,HolidayCars.com,45.0,12.0,5.8
Faro,Fiat 500,4,Shuttle,Rentalcars,48.0,12.0,7.2
Faro,Fiat 500,4,Shuttle,Booking.com,48.0,12.0,7.2
Faro,Fiat 500,4,Shuttle,Discover Cars,52.0,13.0,6.8
Faro,Fiat 500,4,Shuttle,Opodo,69.0,18.0,7.0
Faro,Fiat 500,4,Shuttle,Argus Car Hire,79.0,20.0,7.0
Faro,Fiat 500,4,Shuttle,Holiday Autos,112.0,28.0,7.0
Faro,Fiat 500,4,Shuttle,easyCar,112.0,28.0,5.8
Faro,Fiat Panda,4,Airport terminal,HolidayCars.com,45.0,12.0,8.0
Faro,Fiat Panda,4,Airport terminal,Zest Car Rental,57.0,15.0,9.2
Faro,Peugeot 108,4,Airport terminal,Discover Cars,50.0,13.0,9.0
Faro,Peugeot 108,4,Airport terminal,Zest Car Rental,56.0,14.0,9.2
