City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Florida,Kia Rio,4,Exact address revealed after booking,Turo,63.0,16.0,4.0
Florida,Nissan Versa,5,Shuttle,HolidayCars.com,197.0,50.0,7.8
Florida,Toyota Yaris,5,Shuttle,KAYAK,223.0,56.0,10.0
Florida,Toyota Yaris,5,Shuttle,QEEQ.COM,223.0,56.0,10.0
Florida,Nissan Sentra,5,Shuttle,KAYAK,240.0,60.0,10.0
Florida,Nissan Sentra,5,Shuttle,QEEQ.COM,240.0,60.0,10.0
Florida,Toyota Yaris,4,Shuttle,HolidayCars.com,239.0,60.0,7.8
Florida,Chevrolet Spark,4,Shuttle,KAYAK,420.0,105.0,10.0
Florida,Chevrolet Spark,4,Shuttle,QEEQ.COM,420.0,105.0,10.0
Florida,Kia Rio,4,Shuttle,KAYAK,423.0,106.0,10.0
Florida,Kia Rio,4,Shuttle,QEEQ.COM,423.0,106.0,10.0
Florida,Nissan Versa Note,4,Shuttle,KAYAK,451.0,113.0,10.0
Florida,Nissan Versa Note,4,Shuttle,QEEQ.COM,451.0,113.0,10.0
Florida,Ford Focus,4,Shuttle,KAYAK,455.0,114.0,10.0
Florida,Ford Focus,4,Shuttle,QEEQ.COM,455.0,114.0,10.0
Florida,Nissan Versa,5,Shuttle,HolidayCars.com,255.0,64.0,7.8
Florida,Ford Fiesta,5,"30260 South Dixie Highway, Homestead",Booking.com,463.0,116.0,4.0
Florida,Ford Fiesta,5,"30260 South Dixie Highway, Homestead",Rentalcars,478.0,120.0,4.0
Florida,Ford Fiesta,5,"30260 South Dixie Highway, Homestead",Opodo,496.0,124.0,9.0
Florida,Kia Soul,5,MIA,KAYAK,525.0,132.0,10.0
Florida,Kia Soul,5,MIA,QEEQ.COM,525.0,132.0,10.0
Florida,Nissan Versa,5,Shuttle,KAYAK,420.0,105.0,9.2
Florida,Nissan Versa,5,Shuttle,QEEQ.COM,420.0,105.0,9.2
Florida,Nissan Versa,5,Shuttle,Opodo,467.0,117.0,9.0
Florida,Nissan Versa,5,Shuttle,Argus Car Hire,674.0,169.0,9.0
Florida,Nissan Versa,5,Shuttle,easyCar,1181.0,296.0,7.8
Florida,Nissan Versa,5,Shuttle,Holiday Autos,1185.0,297.0,9.0
Florida,Kia Rio,4,MIA,KAYAK,520.0,130.0,10.0
Florida,Kia Rio,4,MIA,QEEQ.COM,520.0,130.0,10.0
Florida,Ford Focus,5,"30260 South Dixie Highway, Homestead",Booking.com,542.0,136.0,6.5
Florida,Ford Focus,5,"30260 South Dixie Highway, Homestead",Opodo,556.0,139.0,9.0
Florida,Ford Focus,5,"30260 South Dixie Highway, Homestead",Rentalcars,559.0,140.0,6.5
Florida,Ford Focus,5,"30260 South Dixie Highway, Homestead",KAYAK,559.0,140.0,6.5
