City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
London,Toyota Aygo,4,LGW,VIP Cars,57.0,15.0,7.0
London,Toyota Aygo,4,LGW,EconomyBookings,60.0,15.0,5.5
London,Toyota Aygo,4,LGW,Rentalcars,61.0,16.0,6.0
London,Toyota Aygo,4,LGW,Booking.com,61.0,16.0,6.0
London,Toyota Aygo,4,LGW,QEEQ.COM,61.0,16.0,7.2
London,Toyota Aygo,4,LGW,KAYAK,61.0,16.0,6.0
London,Toyota Aygo,4,LGW,HolidayCars.com,62.0,16.0,6.8
London,Toyota Aygo,4,LGW,Wisecars,63.0,16.0,7.0
London,Toyota Aygo,4,LGW,Argus Car Hire,91.0,23.0,7.0
London,Toyota Aygo,4,LGW,Opodo,92.0,23.0,7.0
London,Toyota Aygo,4,LGW,Discover Cars,95.0,24.0,7.0
London,Toyota Aygo,4,LGW,Bsp Auto,125.0,32.0,7.0
London,Toyota Aygo,4,LGW,Holiday Autos,150.0,38.0,7.0
London,Ford Focus,5,LGW,VIP Cars,58.0,15.0,8.2
London,Ford Focus,5,LGW,Enjoy Travel,61.0,16.0,6.2
London,Ford Focus,5,LGW,QEEQ.COM,63.0,16.0,7.8
London,Ford Focus,5,LGW,HolidayCars.com,73.0,19.0,5.5
London,Ford Focus,5,LGW,Discover Cars,96.0,24.0,7.5
London,Ford Focus,5,LGW,Wisecars,165.0,42.0,8.2
London,Ford Fiesta,5,LGW,VIP Cars,61.0,16.0,7.0
London,Ford Fiesta,5,LGW,EconomyBookings,64.0,16.0,5.5
London,Ford Fiesta,5,LGW,Rentalcars,65.0,17.0,6.0
London,Ford Fiesta,5,LGW,Booking.com,65.0,17.0,6.0
London,Ford Fiesta,5,LGW,QEEQ.COM,65.0,17.0,5.2
London,Ford Fiesta,5,LGW,HolidayCars.com,65.0,17.0,6.8
London,Ford Fiesta,5,LGW,KAYAK,65.0,17.0,6.0
London,Ford Fiesta,5,LGW,Wisecars,68.0,17.0,7.0
London,Ford Fiesta,5,LGW,Argus Car Hire,95.0,24.0,7.0
London,Ford Fiesta,5,LGW,Opodo,98.0,25.0,7.0
London,Ford Fiesta,5,LGW,Discover Cars,99.0,25.0,7.0
London,Ford Fiesta,5,LGW,Bsp Auto,134.0,34.0,7.0
London,Ford Fiesta,5,LGW,Holiday Autos,161.0,41.0,7.0
London,Ford Focus,5,LGW,VIP Cars,72.0,18.0,7.0
London,Ford Focus,5,LGW,HolidayCars.com,73.0,19.0,6.8
London,Ford Focus,5,LGW,EconomyBookings,75.0,19.0,5.5
London,Ford Focus,5,LGW,QEEQ.COM,77.0,20.0,7.2
London,Ford Focus,5,LGW,Wisecars,79.0,20.0,7.0
London,Ford Focus,5,LGW,Argus Car Hire,107.0,27.0,7.0
London,Ford Focus,5,LGW,Discover Cars,108.0,27.0,7.0
London,Ford Focus,5,LGW,Opodo,115.0,29.0,7.0
London,Ford Focus,5,LGW,Bsp Auto,156.0,39.0,7.0
London,Ford Focus,5,LGW,Holiday Autos,188.0,47.0,7.0
London,Volkswagen Golf,5,LHR,QEEQ.COM,72.0,18.0,7.2
London,Volkswagen Golf,5,LHR,EconomyBookings,78.0,20.0,5.5
London,Volkswagen Golf,5,LHR,Opodo,108.0,27.0,7.0
London,Volkswagen Golf,5,LHR,Argus Car Hire,108.0,27.0,7.0
London,Volkswagen Golf,5,LHR,Bsp Auto,164.0,41.0,6.8
London,Volkswagen Golf,5,LHR,Holiday Autos,190.0,48.0,7.0
London,Volkswagen Golf,5,LHR,easyCar,190.0,48.0,5.8
London,Fiat 500,4,LHR,QEEQ.COM,65.0,17.0,7.2
London,Fiat 500,4,LHR,VIP Cars,66.0,17.0,7.0
London,Fiat 500,4,LHR,Enjoy Travel,67.0,17.0,5.5
London,Fiat 500,4,LHR,Rentalcars,70.0,18.0,6.0
London,Fiat 500,4,LHR,Booking.com,70.0,18.0,6.0
London,Fiat 500,4,LHR,EconomyBookings,70.0,18.0,5.5
London,Fiat 500,4,LHR,Wisecars,74.0,19.0,7.0
London,Fiat 500,4,LHR,Argus Car Hire,98.0,25.0,7.0
London,Fiat 500,4,LHR,Opodo,101.0,26.0,7.0
London,Fiat 500,4,LHR,Discover Cars,104.0,26.0,6.0
London,Fiat 500,4,LHR,Bsp Auto,147.0,37.0,6.8
London,Fiat 500,4,LHR,Holiday Autos,171.0,43.0,7.0
London,Fiat 500,4,LHR,easyCar,171.0,43.0,5.8
London,Volkswagen Polo,5,LHR,QEEQ.COM,67.0,17.0,7.2
London,Volkswagen Polo,5,LHR,VIP Cars,68.0,17.0,7.0
London,Volkswagen Polo,5,LHR,Enjoy Travel,69.0,18.0,5.5
London,Volkswagen Polo,5,LHR,Rentalcars,71.0,18.0,6.0
London,Volkswagen Polo,5,LHR,Booking.com,71.0,18.0,6.0
London,Volkswagen Polo,5,LHR,Wisecars,76.0,19.0,7.0
London,Volkswagen Polo,5,LHR,Argus Car Hire,100.0,25.0,7.0
London,Volkswagen Polo,5,LHR,Opodo,103.0,26.0,7.0
London,Volkswagen Polo,5,LHR,Discover Cars,106.0,27.0,6.0
London,Volkswagen Polo,5,LHR,Bsp Auto,152.0,38.0,6.8
London,Volkswagen Polo,5,LHR,Holiday Autos,176.0,44.0,7.0
London,Volkswagen Polo,5,LHR,easyCar,176.0,44.0,5.8
London,Seat Leon,5,LHR,Enjoy Travel,74.0,19.0,5.5
London,Seat Leon,5,LHR,QEEQ.COM,74.0,19.0,7.2
London,Seat Leon,5,LHR,Rentalcars,77.0,20.0,6.0
London,Seat Leon,5,LHR,Booking.com,77.0,20.0,6.0
London,Seat Leon,5,LHR,Wisecars,82.0,21.0,7.0
London,Seat Leon,5,LHR,Discover Cars,111.0,28.0,6.0
London,Seat Leon,5,LHR,Argus Car Hire,112.0,28.0,7.0
London,Seat Leon,5,LHR,Opodo,120.0,30.0,7.0
London,Seat Leon,5,LHR,Holiday Autos,196.0,49.0,7.0
London,Seat Leon,5,LHR,easyCar,196.0,49.0,5.8
London,Ford Fiesta,5,LGW,VIP Cars,71.0,18.0,8.2
London,Ford Fiesta,5,LGW,Enjoy Travel,75.0,19.0,6.2
London,Ford Fiesta,5,LGW,QEEQ.COM,77.0,20.0,7.8
London,Ford Fiesta,5,LGW,Wisecars,84.0,21.0,8.2
London,Ford Fiesta,5,LGW,HolidayCars.com,86.0,22.0,5.5
London,Ford Fiesta,5,LGW,Discover Cars,108.0,27.0,7.5
London,Volkswagen Polo,5,LHR,QEEQ.COM,79.0,20.0,7.2
London,Volkswagen Polo,5,LHR,VIP Cars,82.0,21.0,7.0
London,Volkswagen Polo,5,LHR,Enjoy Travel,83.0,21.0,5.5
London,Volkswagen Polo,5,LHR,Rentalcars,85.0,22.0,6.0
London,Volkswagen Polo,5,LHR,Booking.com,85.0,22.0,6.0
London,Volkswagen Polo,5,LHR,Wisecars,92.0,23.0,7.0
London,Volkswagen Polo,5,LHR,Argus Car Hire,121.0,31.0,7.0
London,Volkswagen Polo,5,LHR,Opodo,130.0,33.0,7.0
London,Volkswagen Polo,5,LHR,Bsp Auto,183.0,46.0,6.8
London,Volkswagen Polo,5,LHR,Holiday Autos,212.0,53.0,7.0
London,Volkswagen Polo,5,LHR,easyCar,212.0,53.0,5.8
London,Citroen C3 Aircross,5,LHR,Bsp Auto,104.0,26.0,9.0
London,Vauxhall Crossland,5,LHR,QEEQ.COM,108.0,27.0,9.2
London,Vauxhall Crossland,5,LHR,Enjoy Travel,113.0,29.0,4.5
London,Ford Focus,5,STN,VIP Cars,89.0,23.0,7.0
London,Ford Focus,5,STN,Wisecars,98.0,25.0,7.0
London,Ford Focus,5,STN,Discover Cars,124.0,31.0,7.0
London,Ford Focus,5,STN,Bsp Auto,194.0,49.0,7.0
London,Peugeot 2008,5,LHR,QEEQ.COM,93.0,24.0,7.2
London,Peugeot 2008,5,LHR,VIP Cars,94.0,24.0,7.0
London,Peugeot 2008,5,LHR,Enjoy Travel,95.0,24.0,5.5
London,Peugeot 2008,5,LHR,Rentalcars,98.0,25.0,6.0
London,Peugeot 2008,5,LHR,Booking.com,98.0,25.0,6.0
London,Peugeot 2008,5,LHR,Wisecars,106.0,27.0,7.0
London,Peugeot 2008,5,LHR,Discover Cars,132.0,33.0,6.0
London,Peugeot 2008,5,LHR,Argus Car Hire,144.0,36.0,7.0
London,Peugeot 2008,5,LHR,Opodo,154.0,39.0,7.0
London,Peugeot 2008,5,LHR,Holiday Autos,253.0,64.0,7.0
London,Peugeot 2008,5,LHR,easyCar,253.0,64.0,5.8
London,Peugeot 2008,5,LHR,Rentalcars,113.0,29.0,8.0
London,Peugeot 2008,5,LHR,Booking.com,113.0,29.0,8.0
London,Peugeot 2008,5,LHR,Opodo,113.0,29.0,9.0
London,Peugeot 2008,5,LHR,QEEQ.COM,113.0,29.0,9.2
London,Peugeot 2008,5,LHR,easyCar,113.0,29.0,7.8
London,Peugeot 2008,5,LHR,Avis,113.0,29.0,8.0
London,Peugeot 2008,5,LHR,KAYAK,113.0,29.0,8.0
London,Peugeot 2008,5,LHR,Enjoy Travel,136.0,34.0,4.5
