City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Los Angeles,Chevrolet Spark,4,Exact address revealed after booking,Turo,64.0,16.0,5.0
Los Angeles,Chevrolet Spark,4,"6728 Reseda Blvd, Los Angeles",VIP Cars,129.0,33.0,9.2
Los Angeles,Chevrolet Spark,4,"6728 Reseda Blvd, Los Angeles",Enjoy Travel,130.0,33.0,4.0
Los Angeles,Toyota Yaris,5,BUR,KAYAK,190.0,48.0,9.8
Los Angeles,Toyota Yaris,5,BUR,QEEQ.COM,190.0,48.0,9.8
Los Angeles,Toyota Yaris,5,BUR,Wisecars,203.0,51.0,9.2
Los Angeles,Nissan Versa,5,"6728 Reseda Blvd, Los Angeles",Rentalcars,132.0,33.0,8.0
Los Angeles,Nissan Versa,5,"6728 Reseda Blvd, Los Angeles",Booking.com,132.0,33.0,8.0
Los Angeles,Nissan Versa,5,"6728 Reseda Blvd, Los Angeles",KAYAK,132.0,33.0,8.0
Los Angeles,Hyundai Veloster,4,"6728 Reseda Blvd, Los Angeles",Rentalcars,129.0,33.0,8.0
Los Angeles,Hyundai Veloster,4,"6728 Reseda Blvd, Los Angeles",Booking.com,129.0,33.0,8.0
Los Angeles,Hyundai Veloster,4,"6728 Reseda Blvd, Los Angeles",KAYAK,129.0,33.0,8.0
Los Angeles,Kia Rio,4,"1755 N Highland Ave, Los Angeles",Wisecars,154.0,39.0,8.0
Los Angeles,Kia Rio,4,"1755 N Highland Ave, Los Angeles",Avis,154.0,39.0,7.2
Los Angeles,Volkswagen Jetta,5,"6728 Reseda Blvd, Los Angeles",Booking.com,150.0,38.0,8.0
Los Angeles,Volkswagen Jetta,5,"6728 Reseda Blvd, Los Angeles",VIP Cars,150.0,38.0,9.2
Los Angeles,Volkswagen Jetta,5,"6728 Reseda Blvd, Los Angeles",KAYAK,150.0,38.0,8.0
Los Angeles,Volkswagen Jetta,5,"6728 Reseda Blvd, Los Angeles",Enjoy Travel,151.0,38.0,4.0
Los Angeles,Buick Verano,5,"6728 Reseda Blvd, Los Angeles",Rentalcars,151.0,38.0,8.0
Los Angeles,Buick Verano,5,"6728 Reseda Blvd, Los Angeles",Booking.com,151.0,38.0,8.0
Los Angeles,Buick Verano,5,"6728 Reseda Blvd, Los Angeles",KAYAK,151.0,38.0,8.0
Los Angeles,Jeep Wrangler,4,BUR,QEEQ.COM,188.0,47.0,9.8
Los Angeles,Jeep Wrangler,4,BUR,KAYAK,225.0,57.0,9.8
Los Angeles,Nissan Versa,5,BUR,KAYAK,201.0,51.0,9.8
Los Angeles,Nissan Versa,5,BUR,QEEQ.COM,201.0,51.0,9.8
Los Angeles,Nissan Versa,5,BUR,Wisecars,215.0,54.0,9.2
Los Angeles,Toyota Camry,5,BUR,KAYAK,218.0,55.0,9.8
Los Angeles,Toyota Camry,5,BUR,QEEQ.COM,218.0,55.0,9.8
Los Angeles,Toyota Camry,5,BUR,Wisecars,234.0,59.0,9.2
Los Angeles,Ford Fusion,5,BUR,KAYAK,221.0,56.0,9.8
Los Angeles,Ford Fusion,5,BUR,QEEQ.COM,221.0,56.0,9.8
Los Angeles,Ford Fusion,5,BUR,Wisecars,237.0,60.0,9.2
Los Angeles,Nissan Rogue,5,"6728 Reseda Blvd, Los Angeles",Booking.com,156.0,39.0,8.0
Los Angeles,Nissan Rogue,5,"6728 Reseda Blvd, Los Angeles",VIP Cars,156.0,39.0,9.2
Los Angeles,Nissan Rogue,5,"6728 Reseda Blvd, Los Angeles",Enjoy Travel,156.0,39.0,4.0
Los Angeles,Nissan Rogue,5,"6728 Reseda Blvd, Los Angeles",Hertz,156.0,39.0,6.0
Los Angeles,Nissan Rogue,5,"6728 Reseda Blvd, Los Angeles",KAYAK,156.0,39.0,8.0
Los Angeles,Kia Sportage,5,BUR,KAYAK,224.0,56.0,9.8
Los Angeles,Kia Sportage,5,BUR,QEEQ.COM,224.0,56.0,9.8
Los Angeles,Kia Sportage,5,BUR,Wisecars,240.0,60.0,9.2
Los Angeles,Ford Focus,5,"6728 Reseda Blvd, Los Angeles",VIP Cars,132.0,33.0,9.2
Los Angeles,Ford Focus,5,"6728 Reseda Blvd, Los Angeles",Hertz,132.0,33.0,6.0
Los Angeles,Ford Focus,5,"6728 Reseda Blvd, Los Angeles",Enjoy Travel,133.0,34.0,4.0
