City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Malta,Volkswagen Polo,5,call for pick-up,KAYAK,43.0,11.0,9.8
Malta,Volkswagen Polo,5,call for pick-up,QEEQ.COM,43.0,11.0,9.8
Malta,Volkswagen Polo,5,call for pick-up,Discover Cars,46.0,12.0,9.0
Malta,Volkswagen Polo,5,call for pick-up,Booking.com,46.0,12.0,7.5
Malta,Volkswagen Polo,5,call for pick-up,Rentalcars,48.0,12.0,7.5
Malta,Volkswagen Polo,5,call for pick-up,Opodo,69.0,18.0,9.2
Malta,Volkswagen Polo,5,call for pick-up,Argus Car Hire,78.0,20.0,9.2
Malta,Volkswagen Polo,5,call for pick-up,Holiday Autos,110.0,28.0,9.2
Malta,Volkswagen Polo,5,call for pick-up,easyCar,110.0,28.0,8.0
Malta,Volkswagen up!,4,call for pick-up,KAYAK,37.0,10.0,9.8
Malta,Volkswagen up!,4,call for pick-up,QEEQ.COM,37.0,10.0,9.8
Malta,Volkswagen up!,4,call for pick-up,Discover Cars,41.0,11.0,9.0
Malta,Volkswagen up!,4,call for pick-up,Booking.com,42.0,11.0,7.5
Malta,Volkswagen up!,4,call for pick-up,Rentalcars,43.0,11.0,7.5
Malta,Volkswagen up!,4,call for pick-up,Opodo,64.0,16.0,9.2
Malta,Volkswagen up!,4,call for pick-up,Argus Car Hire,73.0,19.0,9.2
Malta,Volkswagen up!,4,call for pick-up,Holiday Autos,95.0,24.0,9.2
Malta,Volkswagen up!,4,call for pick-up,easyCar,95.0,24.0,8.0
Malta,Nissan Micra,5,Shuttle,KAYAK,42.0,11.0,9.8
Malta,Nissan Micra,5,Shuttle,QEEQ.COM,42.0,11.0,9.8
Malta,Nissan Micra,5,Shuttle,Wisecars,45.0,12.0,7.5
Malta,Nissan Micra,5,Shuttle,HolidayCars.com,46.0,12.0,8.0
Malta,Nissan Micra,5,Shuttle,Discover Cars,47.0,12.0,9.0
Malta,Nissan Micra,5,Shuttle,Booking.com,47.0,12.0,7.5
Malta,Nissan Micra,5,Shuttle,Zest Car Rental,47.0,12.0,9.2
Malta,Nissan Micra,5,Shuttle,Rentalcars,49.0,13.0,7.5
Malta,Nissan Micra,5,Shuttle,Opodo,70.0,18.0,9.2
Malta,Nissan Micra,5,Shuttle,Argus Car Hire,80.0,20.0,9.2
Malta,Nissan Micra,5,Shuttle,Holiday Autos,114.0,29.0,9.2
Malta,Nissan Micra,5,Shuttle,easyCar,114.0,29.0,8.0
Malta,Volkswagen Polo,5,Shuttle,Discover Cars,48.0,12.0,7.5
Malta,Renault Clio,5,Shuttle,Zest Car Rental,56.0,14.0,9.2
Malta,Renault Clio,5,Shuttle,Enjoy Travel,61.0,16.0,5.8
Malta,Renault Clio,5,Shuttle,KAYAK,64.0,16.0,7.5
Malta,Renault Clio,5,Shuttle,QEEQ.COM,64.0,16.0,7.5
Malta,Renault Clio,5,Shuttle,HolidayCars.com,66.0,17.0,5.8
Malta,Renault Clio,5,Shuttle,Enjoy Travel,69.0,18.0,4.2
Malta,Renault Clio,5,Shuttle,Discover Cars,75.0,19.0,6.8
Malta,Renault Clio,5,Shuttle,Booking.com,76.0,19.0,7.5
Malta,Renault Clio,5,Shuttle,Rentalcars,79.0,20.0,7.5
Malta,Renault Clio,5,Shuttle,Opodo,83.0,21.0,7.0
Malta,Renault Clio,5,Shuttle,Argus Car Hire,100.0,25.0,7.0
Malta,Renault Clio,5,Shuttle,Holiday Autos,175.0,44.0,7.0
Malta,Renault Clio,5,Shuttle,easyCar,175.0,44.0,5.8
Malta,Chevrolet Spark,5,Shuttle,Discover Cars,43.0,11.0,7.5
Malta,Opel Adam,4,Shuttle,Zest Car Rental,51.0,13.0,9.2
Malta,Opel Adam,4,Shuttle,Enjoy Travel,55.0,14.0,5.8
Malta,Opel Adam,4,Shuttle,KAYAK,59.0,15.0,7.5
Malta,Opel Adam,4,Shuttle,QEEQ.COM,59.0,15.0,7.5
Malta,Opel Adam,4,Shuttle,HolidayCars.com,60.0,15.0,5.8
Malta,Opel Adam,4,Shuttle,Enjoy Travel,62.0,16.0,4.2
Malta,Opel Adam,4,Shuttle,Discover Cars,69.0,18.0,6.8
Malta,Opel Adam,4,Shuttle,Booking.com,72.0,18.0,7.5
Malta,Opel Adam,4,Shuttle,Rentalcars,74.0,19.0,7.5
Malta,Opel Adam,4,Shuttle,Opodo,79.0,20.0,7.0
Malta,Opel Adam,4,Shuttle,Argus Car Hire,94.0,24.0,7.0
Malta,Opel Adam,4,Shuttle,Holiday Autos,158.0,40.0,7.0
Malta,Opel Adam,4,Shuttle,easyCar,158.0,40.0,5.8
Malta,Volkswagen Polo,5,Shuttle,VIP Cars,50.0,13.0,9.0
Malta,Volkswagen Polo,5,Shuttle,KAYAK,53.0,14.0,9.8
Malta,Volkswagen Polo,5,Shuttle,QEEQ.COM,53.0,14.0,9.8
Malta,Volkswagen Polo,5,Shuttle,Discover Cars,61.0,16.0,7.5
Malta,Volkswagen Polo,5,Shuttle,Opodo,82.0,21.0,9.2
Malta,Volkswagen Polo,5,Shuttle,Argus Car Hire,89.0,23.0,9.2
Malta,Volkswagen Polo,5,Shuttle,Holiday Autos,142.0,36.0,9.2
Malta,Volkswagen Polo,5,Shuttle,easyCar,142.0,36.0,8.0
Malta,Renault Mégane,5,call for pick-up,KAYAK,55.0,14.0,9.8
Malta,Renault Mégane,5,call for pick-up,QEEQ.COM,55.0,14.0,9.8
Malta,Renault Mégane,5,call for pick-up,Booking.com,59.0,15.0,7.5
Malta,Renault Mégane,5,call for pick-up,Rentalcars,61.0,16.0,7.5
Malta,Renault Mégane,5,call for pick-up,Opodo,90.0,23.0,9.2
Malta,Renault Mégane,5,call for pick-up,Argus Car Hire,90.0,23.0,9.2
Malta,Renault Mégane,5,call for pick-up,Discover Cars,92.0,23.0,9.0
Malta,Renault Mégane,5,call for pick-up,Holiday Autos,147.0,37.0,9.2
Malta,Renault Mégane,5,call for pick-up,easyCar,147.0,37.0,8.0
Malta,Fiat 500,4,Shuttle,QEEQ.COM,46.0,12.0,7.5
Malta,Fiat 500,4,Shuttle,Enjoy Travel,47.0,12.0,4.2
Malta,Fiat 500,4,Shuttle,HolidayCars.com,48.0,12.0,5.8
Malta,Fiat 500,4,Shuttle,Booking.com,49.0,13.0,7.5
Malta,Fiat 500,4,Shuttle,KAYAK,49.0,13.0,7.5
Malta,Fiat 500,4,Shuttle,Rentalcars,50.0,13.0,7.5
Malta,Fiat 500,4,Shuttle,Discover Cars,55.0,14.0,6.8
Malta,Fiat 500,4,Shuttle,Opodo,73.0,19.0,7.0
Malta,Fiat 500,4,Shuttle,Argus Car Hire,81.0,21.0,7.0
Malta,Fiat 500,4,Shuttle,Holiday Autos,119.0,30.0,7.0
Malta,Fiat 500,4,Shuttle,easyCar,119.0,30.0,5.8
Malta,Ford Fiesta,5,Shuttle,KAYAK,71.0,18.0,9.8
Malta,Ford Fiesta,5,Shuttle,QEEQ.COM,71.0,18.0,9.8
Malta,Ford Fiesta,5,Shuttle,Enjoy Travel,72.0,18.0,5.8
Malta,Ford Fiesta,5,Shuttle,Booking.com,75.0,19.0,7.5
Malta,Ford Fiesta,5,Shuttle,HolidayCars.com,76.0,19.0,8.0
Malta,Ford Fiesta,5,Shuttle,Rentalcars,77.0,20.0,7.5
Malta,Ford Fiesta,5,Shuttle,Opodo,86.0,22.0,9.2
Malta,Ford Fiesta,5,Shuttle,Argus Car Hire,117.0,30.0,9.2
Malta,Ford Fiesta,5,Shuttle,Holiday Autos,214.0,54.0,9.2
Malta,Ford Fiesta,5,Shuttle,easyCar,214.0,54.0,8.0
Malta,Seat Ibiza,4,Airport terminal,KAYAK,73.0,19.0,9.8
Malta,Seat Ibiza,4,Airport terminal,QEEQ.COM,73.0,19.0,9.8
Malta,Fiat Panda,4,Shuttle,VIP Cars,45.0,12.0,9.0
Malta,Fiat Panda,4,Shuttle,Discover Cars,52.0,13.0,7.5
Malta,Ford Ka,4,Shuttle,Opodo,78.0,20.0,9.2
Malta,Ford Ka,4,Shuttle,Argus Car Hire,86.0,22.0,9.2
Malta,Ford Ka,4,Shuttle,Holiday Autos,134.0,34.0,9.2
Malta,Ford Ka,4,Shuttle,easyCar,134.0,34.0,8.0
Malta,Opel Adam,4,Shuttle,KAYAK,60.0,15.0,9.8
Malta,Opel Adam,4,Shuttle,Enjoy Travel,60.0,15.0,5.8
Malta,Opel Adam,4,Shuttle,QEEQ.COM,60.0,15.0,9.8
Malta,Opel Adam,4,Shuttle,Booking.com,62.0,16.0,7.5
Malta,Opel Adam,4,Shuttle,Rentalcars,64.0,16.0,7.5
Malta,Opel Adam,4,Shuttle,HolidayCars.com,64.0,16.0,8.0
Malta,Opel Adam,4,Shuttle,Opodo,83.0,21.0,9.2
Malta,Opel Adam,4,Shuttle,Argus Car Hire,102.0,26.0,9.2
Malta,Opel Adam,4,Shuttle,Holiday Autos,177.0,45.0,9.2
Malta,Opel Adam,4,Shuttle,easyCar,177.0,45.0,8.0
