City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Murcia,Fiat 500,4,Airport terminal,Enjoy Travel,59.0,15.0,4.2
Murcia,Fiat 500,4,Airport terminal,Bsp Auto,60.0,15.0,7.5
Murcia,Fiat 500,4,Airport terminal,HolidayCars.com,62.0,16.0,7.2
Murcia,Fiat 500,4,Airport terminal,Rentalcars,70.0,18.0,6.0
Murcia,Fiat 500,4,Airport terminal,Booking.com,70.0,18.0,6.0
Murcia,Fiat 500,4,Airport terminal,KAYAK,70.0,18.0,6.0
Murcia,Fiat 500,4,Airport terminal,Argus Car Hire,91.0,23.0,8.0
Murcia,Fiat 500,4,Airport terminal,Opodo,92.0,23.0,8.0
Murcia,Fiat 500,4,Airport terminal,Holiday Autos,151.0,38.0,8.0
Murcia,Fiat 500,4,Airport terminal,easyCar,151.0,38.0,6.0
Murcia,Opel Corsa,5,Airport terminal,Bsp Auto,61.0,16.0,7.5
Murcia,Opel Corsa,5,Airport terminal,Enjoy Travel,61.0,16.0,4.2
Murcia,Opel Corsa,5,Airport terminal,HolidayCars.com,64.0,16.0,7.2
Murcia,Opel Corsa,5,Airport terminal,Rentalcars,71.0,18.0,6.0
Murcia,Opel Corsa,5,Airport terminal,Booking.com,71.0,18.0,6.0
Murcia,Opel Corsa,5,Airport terminal,KAYAK,71.0,18.0,6.0
Murcia,Opel Corsa,5,Airport terminal,Argus Car Hire,93.0,24.0,8.0
Murcia,Opel Corsa,5,Airport terminal,Opodo,95.0,24.0,8.0
Murcia,Opel Corsa,5,Airport terminal,Holiday Autos,155.0,39.0,8.0
Murcia,Opel Corsa,5,Airport terminal,easyCar,155.0,39.0,6.0
Murcia,Smart Forfour,4,Airport terminal,Enjoy Travel,72.0,18.0,5.8
Murcia,Smart Forfour,4,Airport terminal,HolidayCars.com,75.0,19.0,8.0
Murcia,Smart Forfour,4,Airport terminal,Rentalcars,110.0,28.0,8.0
Murcia,Smart Forfour,4,Airport terminal,Booking.com,110.0,28.0,8.0
Murcia,Smart Forfour,4,Airport terminal,KAYAK,110.0,28.0,8.0
Murcia,Smart Forfour,4,Airport terminal,Argus Car Hire,114.0,29.0,10.0
Murcia,Smart Forfour,4,Airport terminal,Opodo,123.0,31.0,10.0
Murcia,Smart Forfour,4,Airport terminal,Holiday Autos,206.0,52.0,10.0
Murcia,Smart Forfour,4,Airport terminal,easyCar,206.0,52.0,8.0
Murcia,Volkswagen Polo,5,Airport terminal,Enjoy Travel,75.0,19.0,5.8
Murcia,Volkswagen Polo,5,Airport terminal,HolidayCars.com,77.0,20.0,8.0
Murcia,Volkswagen Polo,5,Airport terminal,Rentalcars,114.0,29.0,8.0
Murcia,Volkswagen Polo,5,Airport terminal,Booking.com,114.0,29.0,8.0
Murcia,Volkswagen Polo,5,Airport terminal,KAYAK,114.0,29.0,8.0
Murcia,Volkswagen Polo,5,Airport terminal,Argus Car Hire,119.0,30.0,10.0
Murcia,Volkswagen Polo,5,Airport terminal,Opodo,128.0,32.0,10.0
Murcia,Volkswagen Polo,5,Airport terminal,Holiday Autos,215.0,54.0,10.0
Murcia,Volkswagen Polo,5,Airport terminal,easyCar,215.0,54.0,8.0
Murcia,Fiat 500,4,Shuttle,Argus Car Hire,97.0,25.0,8.2
