City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Murcia,Fiat 500,4,Airport terminal,Enjoy Travel,56.0,14.0,4.2
Murcia,Fiat 500,4,Airport terminal,HolidayCars.com,59.0,15.0,7.0
Murcia,Fiat 500,4,Airport terminal,Rentalcars,65.0,17.0,5.8
Murcia,Fiat 500,4,Airport terminal,Booking.com,65.0,17.0,5.8
Murcia,Fiat 500,4,Airport terminal,KAYAK,65.0,17.0,5.8
Murcia,Fiat 500,4,Airport terminal,Opodo,86.0,22.0,8.0
Murcia,Fiat 500,4,Airport terminal,Argus Car Hire,88.0,22.0,8.0
Murcia,Fiat 500,4,Airport terminal,Holiday Autos,141.0,36.0,8.0
Murcia,Fiat 500,4,Airport terminal,easyCar,141.0,36.0,6.0
Murcia,Opel Corsa,5,Airport terminal,Enjoy Travel,60.0,15.0,4.2
Murcia,Opel Corsa,5,Airport terminal,HolidayCars.com,63.0,16.0,7.0
Murcia,Opel Corsa,5,Airport terminal,Rentalcars,69.0,18.0,5.8
Murcia,Opel Corsa,5,Airport terminal,Booking.com,69.0,18.0,5.8
Murcia,Opel Corsa,5,Airport terminal,KAYAK,69.0,18.0,5.8
Murcia,Opel Corsa,5,Airport terminal,Argus Car Hire,92.0,23.0,8.0
Murcia,Opel Corsa,5,Airport terminal,Opodo,93.0,24.0,8.0
Murcia,Opel Corsa,5,Airport terminal,Holiday Autos,152.0,38.0,8.0
Murcia,Opel Corsa,5,Airport terminal,easyCar,152.0,38.0,6.0
Murcia,Smart Forfour,4,Airport terminal,Enjoy Travel,72.0,18.0,5.8
Murcia,Smart Forfour,4,Airport terminal,HolidayCars.com,76.0,19.0,8.0
Murcia,Smart Forfour,4,Airport terminal,Rentalcars,111.0,28.0,7.8
Murcia,Smart Forfour,4,Airport terminal,Booking.com,111.0,28.0,7.8
Murcia,Smart Forfour,4,Airport terminal,KAYAK,111.0,28.0,7.8
Murcia,Smart Forfour,4,Airport terminal,Argus Car Hire,115.0,29.0,10.0
Murcia,Smart Forfour,4,Airport terminal,Opodo,123.0,31.0,10.0
Murcia,Smart Forfour,4,Airport terminal,Holiday Autos,208.0,52.0,10.0
Murcia,Smart Forfour,4,Airport terminal,easyCar,208.0,52.0,8.0
Murcia,Volkswagen Polo,5,Airport terminal,Enjoy Travel,75.0,19.0,5.8
Murcia,Volkswagen Polo,5,Airport terminal,HolidayCars.com,78.0,20.0,8.0
Murcia,Volkswagen Polo,5,Airport terminal,Rentalcars,115.0,29.0,7.8
Murcia,Volkswagen Polo,5,Airport terminal,Booking.com,115.0,29.0,7.8
Murcia,Volkswagen Polo,5,Airport terminal,KAYAK,115.0,29.0,7.8
Murcia,Volkswagen Polo,5,Airport terminal,Argus Car Hire,120.0,30.0,10.0
Murcia,Volkswagen Polo,5,Airport terminal,Opodo,129.0,33.0,10.0
Murcia,Volkswagen Polo,5,Airport terminal,Holiday Autos,217.0,55.0,10.0
Murcia,Volkswagen Polo,5,Airport terminal,easyCar,217.0,55.0,8.0
Murcia,Ford Focus,5,Airport terminal,Enjoy Travel,83.0,21.0,5.8
Murcia,Ford Focus,5,Airport terminal,HolidayCars.com,86.0,22.0,8.0
Murcia,Ford Focus,5,Airport terminal,Rentalcars,127.0,32.0,7.8
Murcia,Ford Focus,5,Airport terminal,Booking.com,127.0,32.0,7.8
Murcia,Ford Focus,5,Airport terminal,KAYAK,127.0,32.0,7.8
Murcia,Ford Focus,5,Airport terminal,Argus Car Hire,132.0,33.0,10.0
Murcia,Ford Focus,5,Airport terminal,Opodo,142.0,36.0,10.0
Murcia,Ford Focus,5,Airport terminal,Holiday Autos,240.0,60.0,10.0
Murcia,Ford Focus,5,Airport terminal,easyCar,240.0,60.0,8.0
Murcia,Fiat 500,4,Shuttle,Argus Car Hire,98.0,25.0,8.2
Murcia,Fiat 500,4,Shuttle,Opodo,104.0,26.0,8.2
Murcia,Fiat 500,4,Shuttle,Holiday Autos,171.0,43.0,8.2
Murcia,Fiat 500,4,Shuttle,easyCar,171.0,43.0,6.2
Murcia,Seat Leon,5,Airport terminal,Enjoy Travel,71.0,18.0,4.2
Murcia,Seat Leon,5,Airport terminal,HolidayCars.com,73.0,19.0,7.0
Murcia,Seat Leon,5,Airport terminal,Rentalcars,83.0,21.0,5.8
Murcia,Seat Leon,5,Airport terminal,Booking.com,83.0,21.0,5.8
Murcia,Seat Leon,5,Airport terminal,KAYAK,83.0,21.0,5.8
Murcia,Seat Leon,5,Airport terminal,Argus Car Hire,103.0,26.0,8.0
Murcia,Seat Leon,5,Airport terminal,Opodo,111.0,28.0,8.0
Murcia,Seat Leon,5,Airport terminal,Holiday Autos,181.0,46.0,8.0
Murcia,Seat Leon,5,Airport terminal,easyCar,181.0,46.0,6.0
Murcia,Ford Focus,5,Shuttle,Enjoy Travel,85.0,22.0,5.8
Murcia,Ford Focus,5,Shuttle,VIP Cars,86.0,22.0,9.2
Murcia,Ford Focus,5,Shuttle,HolidayCars.com,87.0,22.0,8.0
