City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Prague,Volkswagen up!,4,PRG,VIP Cars,58.0,15.0,9.2
Prague,Volkswagen up!,4,PRG,KAYAK,62.0,16.0,8.2
Prague,Volkswagen up!,4,PRG,QEEQ.COM,62.0,16.0,8.2
Prague,Volkswagen up!,4,PRG,Discover Cars,63.0,16.0,9.2
Prague,Volkswagen up!,4,PRG,Booking.com,63.0,16.0,7.8
Prague,Volkswagen up!,4,PRG,Rentalcars,64.0,16.0,7.8
Prague,Volkswagen Polo,4,PRG,VIP Cars,62.0,16.0,9.2
Prague,Volkswagen Polo,4,PRG,KAYAK,65.0,17.0,8.2
Prague,Volkswagen Polo,4,PRG,QEEQ.COM,65.0,17.0,8.2
Prague,Volkswagen Polo,4,PRG,Discover Cars,66.0,17.0,9.2
Prague,Volkswagen Polo,4,PRG,Booking.com,66.0,17.0,7.8
Prague,Volkswagen Polo,4,PRG,Rentalcars,68.0,17.0,7.8
Prague,Volkswagen up!,4,PRG,QEEQ.COM,65.0,17.0,8.2
Prague,Volkswagen up!,4,PRG,Booking.com,67.0,17.0,7.8
Prague,Volkswagen up!,4,PRG,Rentalcars,69.0,18.0,7.8
Prague,Volkswagen up!,4,PRG,VIP Cars,70.0,18.0,9.2
Prague,Volkswagen Polo,5,Airport terminal,KAYAK,71.0,18.0,9.8
Prague,Volkswagen Polo,5,Airport terminal,QEEQ.COM,71.0,18.0,9.8
Prague,Volkswagen Golf,5,PRG,VIP Cars,70.0,18.0,9.2
Prague,Volkswagen Golf,5,PRG,Discover Cars,73.0,19.0,9.2
Prague,Volkswagen Golf,5,PRG,KAYAK,83.0,21.0,8.2
Prague,Volkswagen Golf,5,PRG,QEEQ.COM,83.0,21.0,8.2
Prague,Volkswagen Golf,5,PRG,Booking.com,85.0,22.0,7.8
Prague,Volkswagen Golf,5,PRG,Rentalcars,87.0,22.0,7.8
Prague,Skoda Rapid,5,Airport terminal,KAYAK,74.0,19.0,9.8
Prague,Skoda Rapid,5,Airport terminal,QEEQ.COM,74.0,19.0,9.8
Prague,Skoda Rapid,5,Airport terminal,Enjoy Travel,87.0,22.0,5.5
Prague,Skoda Rapid,5,Airport terminal,HolidayCars.com,89.0,23.0,7.8
Prague,Skoda Rapid,5,Airport terminal,Discover Cars,91.0,23.0,9.2
Prague,Skoda Rapid,5,Airport terminal,Opodo,112.0,28.0,9.2
Prague,Skoda Rapid,5,Airport terminal,Argus Car Hire,116.0,29.0,9.2
Prague,Skoda Rapid,5,Airport terminal,Holiday Autos,204.0,51.0,9.2
Prague,Skoda Rapid,5,Airport terminal,easyCar,204.0,51.0,7.8
Prague,Volkswagen Polo,4,PRG,VIP Cars,82.0,21.0,9.2
Prague,Volkswagen Polo,4,PRG,KAYAK,84.0,21.0,8.2
Prague,Volkswagen Polo,4,PRG,QEEQ.COM,84.0,21.0,8.2
Prague,Volkswagen Polo,4,PRG,Booking.com,87.0,22.0,7.8
Prague,Volkswagen Polo,4,PRG,Rentalcars,90.0,23.0,7.8
Prague,Volkswagen Golf,5,Airport terminal,KAYAK,78.0,20.0,9.8
Prague,Volkswagen Golf,5,Airport terminal,QEEQ.COM,78.0,20.0,9.8
Prague,Skoda Citigo,4,Airport terminal,KAYAK,85.0,22.0,9.8
Prague,Skoda Citigo,4,Airport terminal,QEEQ.COM,85.0,22.0,9.8
Prague,Skoda Citigo,4,Airport terminal,Opodo,89.0,23.0,9.2
Prague,Skoda Citigo,4,Airport terminal,easyCar,89.0,23.0,7.8
Prague,Volkswagen Polo,5,Airport terminal,KAYAK,85.0,22.0,9.8
Prague,Volkswagen Polo,5,Airport terminal,QEEQ.COM,85.0,22.0,9.8
Prague,Volkswagen Polo,5,Airport terminal,Opodo,89.0,23.0,9.2
Prague,Volkswagen Polo,5,Airport terminal,easyCar,89.0,23.0,7.8
Prague,Skoda Rapid,5,PRG,VIP Cars,78.0,20.0,9.2
Prague,Skoda Rapid,5,PRG,Discover Cars,80.0,20.0,9.2
Prague,Skoda Rapid,5,PRG,KAYAK,99.0,25.0,8.2
Prague,Skoda Rapid,5,PRG,QEEQ.COM,99.0,25.0,8.2
Prague,Skoda Rapid,5,PRG,Booking.com,102.0,26.0,7.8
Prague,Skoda Rapid,5,PRG,Rentalcars,106.0,27.0,7.8
Prague,Skoda Fabia Combi,5,PRG,VIP Cars,78.0,20.0,9.2
Prague,Skoda Fabia Combi,5,PRG,Discover Cars,80.0,20.0,9.2
Prague,Skoda Fabia Combi,5,PRG,KAYAK,83.0,21.0,8.2
Prague,Skoda Fabia Combi,5,PRG,QEEQ.COM,83.0,21.0,8.2
Prague,Skoda Fabia Combi,5,PRG,Booking.com,85.0,22.0,7.8
Prague,Skoda Fabia Combi,5,PRG,Rentalcars,87.0,22.0,7.8
Prague,Skoda Fabia,5,Airport terminal,KAYAK,67.0,17.0,9.8
Prague,Skoda Fabia,5,Airport terminal,QEEQ.COM,67.0,17.0,9.8
Prague,Skoda Fabia,5,Airport terminal,HolidayCars.com,69.0,18.0,7.8
Prague,Skoda Fabia,5,Airport terminal,Discover Cars,72.0,18.0,9.2
Prague,Skoda Fabia,5,Airport terminal,Opodo,89.0,23.0,9.2
Prague,Skoda Fabia,5,Airport terminal,Argus Car Hire,105.0,27.0,9.2
Prague,Skoda Fabia,5,Airport terminal,Holiday Autos,184.0,46.0,9.2
Prague,Skoda Fabia,5,Airport terminal,easyCar,184.0,46.0,7.8
Prague,Mini car,4,Airport terminal,KAYAK,90.0,23.0,8.2
Prague,Volkswagen Golf,5,Airport terminal,KAYAK,94.0,24.0,9.8
Prague,Volkswagen Golf,5,Airport terminal,QEEQ.COM,94.0,24.0,9.8
