City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Rome,Fiat Panda,4,Airport terminal,QEEQ.COM,31.0,8.0,9.8
Rome,Fiat Panda,4,Airport terminal,Rentalcars,39.0,10.0,8.5
Rome,Fiat Panda,4,Airport terminal,Booking.com,39.0,10.0,8.5
Rome,Fiat Panda,4,Airport terminal,KAYAK,39.0,10.0,8.5
Rome,Fiat Panda,4,Airport terminal,Opodo,57.0,15.0,9.5
Rome,Fiat Panda,4,Airport terminal,Argus Car Hire,67.0,17.0,9.5
Rome,Fiat Panda,4,Airport terminal,Holiday Autos,74.0,19.0,9.5
Rome,Fiat Panda,4,Airport terminal,easyCar,74.0,19.0,7.8
Rome,Fiat 500,4,FCO,Enjoy Travel,31.0,8.0,5.5
Rome,Fiat 500,4,FCO,QEEQ.COM,31.0,8.0,9.8
Rome,Fiat 500,4,FCO,Discover Cars,38.0,10.0,9.5
Rome,Fiat 500,4,FCO,Rentalcars,41.0,11.0,8.5
Rome,Fiat 500,4,FCO,Booking.com,41.0,11.0,8.5
Rome,Fiat 500,4,FCO,KAYAK,41.0,11.0,8.5
Rome,Fiat 500,4,FCO,HolidayCars.com,46.0,12.0,7.8
Rome,Fiat 500,4,FCO,Argus Car Hire,69.0,18.0,9.5
Rome,Fiat 500,4,FCO,Opodo,75.0,19.0,9.5
Rome,Fiat 500,4,FCO,Holiday Autos,82.0,21.0,9.5
Rome,Fiat 500,4,FCO,easyCar,82.0,21.0,7.8
Rome,Ford Fiesta,5,FCO,Enjoy Travel,34.0,9.0,5.5
Rome,Ford Fiesta,5,FCO,QEEQ.COM,34.0,9.0,9.8
Rome,Ford Fiesta,5,FCO,Discover Cars,41.0,11.0,9.5
Rome,Ford Fiesta,5,FCO,Rentalcars,44.0,11.0,8.5
Rome,Ford Fiesta,5,FCO,Booking.com,44.0,11.0,8.5
Rome,Ford Fiesta,5,FCO,KAYAK,44.0,11.0,8.5
Rome,Ford Fiesta,5,FCO,HolidayCars.com,49.0,13.0,7.8
Rome,Ford Fiesta,5,FCO,Argus Car Hire,72.0,18.0,9.5
Rome,Ford Fiesta,5,FCO,Opodo,78.0,20.0,9.5
Rome,Ford Fiesta,5,FCO,Holiday Autos,90.0,23.0,9.5
Rome,Ford Fiesta,5,FCO,easyCar,90.0,23.0,7.8
Rome,Citroen C3,4,Airport terminal,QEEQ.COM,34.0,9.0,9.8
Rome,Citroen C3,4,Airport terminal,Rentalcars,42.0,11.0,8.5
Rome,Citroen C3,4,Airport terminal,Booking.com,42.0,11.0,8.5
Rome,Citroen C3,4,Airport terminal,KAYAK,42.0,11.0,8.5
Rome,Citroen C3,4,Airport terminal,Opodo,61.0,16.0,9.5
Rome,Citroen C3,4,Airport terminal,Argus Car Hire,70.0,18.0,9.5
Rome,Citroen C3,4,Airport terminal,Holiday Autos,84.0,21.0,9.5
Rome,Citroen C3,4,Airport terminal,easyCar,84.0,21.0,7.8
Rome,Fiat 500,4,FCO,QEEQ.COM,35.0,9.0,7.5
Rome,Fiat 500,4,FCO,Discover Cars,43.0,11.0,9.5
Rome,Citroen C1,4,Airport terminal,QEEQ.COM,47.0,12.0,9.8
Rome,Citroen C1,4,Airport terminal,Rentalcars,55.0,14.0,8.5
Rome,Citroen C1,4,Airport terminal,Booking.com,55.0,14.0,8.5
Rome,Citroen C1,4,Airport terminal,KAYAK,55.0,14.0,8.5
Rome,Citroen C1,4,Airport terminal,HolidayCars.com,60.0,15.0,7.8
Rome,Citroen C1,4,Airport terminal,Opodo,81.0,21.0,9.5
Rome,Citroen C1,4,Airport terminal,Argus Car Hire,90.0,23.0,9.5
Rome,Citroen C1,4,Airport terminal,Holiday Autos,138.0,35.0,9.5
Rome,Citroen C1,4,Airport terminal,easyCar,138.0,35.0,7.8
Rome,Toyota Aygo,4,FCO,Enjoy Travel,35.0,9.0,5.5
Rome,Toyota Aygo,4,FCO,QEEQ.COM,36.0,9.0,9.8
Rome,Toyota Aygo,4,FCO,Discover Cars,47.0,12.0,9.5
Rome,Toyota Aygo,4,FCO,HolidayCars.com,50.0,13.0,7.8
Rome,Toyota Aygo,4,FCO,Opodo,65.0,17.0,9.5
Rome,Toyota Aygo,4,FCO,Argus Car Hire,75.0,19.0,9.5
