City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Bangkok,Royal Orchid Sheraton Hotel & Towers,"2 Charoen Krung Soi 30, Siphya, Bangkok 10500",8.6,"2,123",177,Expedia
Bangkok,Millennium Hilton Bangkok,"123 Charoennakorn Road, Bangkok 10600",8.5,"3,113",215,Expedia
Bangkok,Avani Atrium Bangkok,"1880 New Petchburi Road, Bangkok 10310",8.4,"1,813",134,Expedia
Bangkok,"Sathorn Vista, Bangkok - Marriott Executive Apartments",Sathon,8.9,171,243,Marriott Executive Apartments
Bangkok,Renaissance Bangkok Ratchaprasong Hotel,"518/8 Ploenchit Road, Bangkok 10330",8.9,552,216,Expedia
Bangkok,Le Méridien Bangkok,"40/5 Surawong Road, Bangkok 10500",8.9,475,269,Expedia
Bangkok,Bangkok Two Bedroom Apartment,Sathon,8.0,92,193,Expedia
Bangkok,W Bangkok,"106 North Sathorn Road, Silom, Bangrak, Bangkok 10500",9.2,664,319,W Hotels
Bangkok,Bangkok Marriott Hotel Sukhumvit,"2 Sukhumvit Soi 57, Bangkok 10110",8.8,"1,690",257,Expedia
Bangkok,Mövenpick Residences Ekkamai Bangkok,Watthana,8.1,147,184,Hotels.com
Bangkok,So/ Bangkok,"2 North Sathorn Road, Bangkok 10500",8.9,736,341,Expedia
Bangkok,Sofitel Bangkok Sukhumvit,"189 Sukhumvit Road Soi 13-15, Klongtoey Nua, Wattana, Bangkok 10110",8.9,530,239,Expedia
Bangkok,Somerset Ekamai Bangkok,Watthana,8.6,"1,176",168,Expedia
Bangkok,Hansar Bangkok Hotel - Sha Plus,"3 Soi Mahadlekluang 2, Rajdamri Road, Bangkok 10330",8.7,276,230,Hotels.com
Bangkok,Grande Centre Point Hotel Terminal 21 - Sha Extra Plus,"2, Sukhumvit Soi 19 (Wattana), Bangkok 10110",8.8,"1,028",230,Expedia
Bangkok,"Marriott Executive Apartments Bangkok, Sukhumvit Thonglor",Watthana,9.1,175,351,Hotels.com
Bangkok,Shangri-La Bangkok,"89 Soi Wat Suan Plu, New Road, Bangkok 10500",8.9,"1,747",370,Expedia
Bangkok,The Continent Hotel Bangkok By Compass Hospitality,"413 Sukhumvit Road Klongtoey Nua, Bangkok 10110",8.2,"1,277",170,The Continent Hotel Bangkok By Compass Hospitality
Bangkok,Teak Villa,Bang Na,9.4,222,60,Booking.com
Bangkok,"The Athenee Hotel, a Luxury Collection Hotel, Bangkok","61 Wireless Road (Witthayu), Bangkok 10330",9.0,463,380,Expedia
