City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Barcelona,Onix Liceo,"Nou de la Rambla, 36, 08001 Barcelona",8.1,"1,458",218,Onix Liceo
Barcelona,Eurostars Grand Marina,"Moll De Barcelona S/n, 08039 Barcelona",8.3,"3,711",512,Eurostars Grand Marina
Barcelona,Abba Sants Hotel,"Numancia 32, 08029 Barcelona",8.3,"2,131",234,Abba Sants Hotel
Barcelona,Sweet Inn - Calabria,Eixample,9.1,75,544,Booking.com
Barcelona,H10 Art Gallery,"Enric Granados 62-64, 08008 Barcelona",8.7,"1,397",326,H10 Art Gallery
Barcelona,Hotel Pulitzer Barcelona,"Bergara 8, 08002 Barcelona",8.9,"1,346",364,Hotel Pulitzer Barcelona
Barcelona,Sweet Inn - Rosemarine,Eixample,8.5,58,491,Booking.com
Barcelona,Hotel Exe Laietana Palace,"Via Laietana 17, 08003 Barcelona",8.0,"1,208",281,Hotel Exe Laietana Palace
Barcelona,H10 Madison,"C/ Dr. Joaquim Pou, 2-4-6, 08002 Barcelona",9.4,"1,502",384,H10 Madison
Barcelona,Sweet Inn Plaza Espana Fira,Sants-Montjuïc,9.0,30,528,Booking.com
Barcelona,The Barcelona EDITION,"Avinguda de Francesc Cambo 14, Barcelona",8.9,126,864,EDITION
Barcelona,H10 Itaca,"Avenida Roma 22, 08015 Barcelona",8.6,735,233,H10 Itaca
Barcelona,Ripoll Apartments,Ciutat Vella,8.7,46,502,Sembo
Barcelona,AC Hotel Irla by Marriott,"Carrer De Calvet, 40-42, 08021 Barcelona",8.0,57,362,AC Hotels
Barcelona,Exe Plaza Catalunya,"Ronda de la Universitat 18, 08007 Barcelona",8.7,"2,401",319,Exe Plaza Catalunya
Barcelona,My Space Barcelona Pool City Center,Eixample,6.1,40,369,Booking.com
Barcelona,Exe Cristal Palace,"Diputacio 257, 08007 Barcelona",8.0,"2,132",271,Exe Cristal Palace
Barcelona,Arenas Atiram Hotel,"Carrer Del Capita Arenas, 20, 08034 Barcelona",8.0,"1,242",252,Arenas Atiram Hotel
Barcelona,Private Pool Garden Apartments,Sarria-Sant Gervasi,8.0,9,595,Booking.com
Barcelona,Hotel Arts Barcelona,"Marina 19-21, 08005 Barcelona",8.4,"1,549",882,Ritz-Carlton Hotels
