City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Belfast,The Fitzwilliam Hotel Belfast,"1-3 Great Victoria Street, Belfast, BT3 7HR",9.1,"3,321",684,Preferred Hotels & Resorts
Belfast,The Flint,"48 Howard Street, Belfast, BT2 7GE",9.3,"4,188",475,Expedia
Belfast,Holiday Inn Belfast City Centre,"40 Hope Street, Belfast",8.6,"4,369",362,Expedia
Belfast,Central Belfast Apartments: Salisbury,Belfast City Centre,8.7,123,395,Expedia
Belfast,Clayton Hotel Belfast,"22-26 Ormeau Avenue, Belfast, BT2 8HS",8.1,"3,357",439,Expedia
Belfast,Maldron Hotel Belfast City,"20 Brunswick Street, Belfast, BT2 7GE",8.7,"4,738",432,Expedia
Belfast,Central Belfast Apartments: Alfred Street,Belfast City Centre,9.1,47,434,Hotels.com
Belfast,Lwr Ormeau Guest House,"144 Ormeau Road, Belfast, BT7 1LU",8.0,494,239,Booking.com
Belfast,Malmaison Belfast,"34-38 Victoria Street, Belfast, BT1 3GH",8.1,"1,730",512,Expedia
Belfast,Central Belfast Apartments: Eden,Belfast City Centre,8.8,93,436,Expedia
Belfast,Wellesley Guest Accommodation,"108 Wellesley Avenue, Belfast, BT9 6ND",8.6,260,152,Expedia
Belfast,Hilton Belfast,"4 Lanyon Place, Belfast, BT1 3LP",8.5,"4,139",576,Expedia
Belfast,Ebor Cosy Homli Parking Wifi Smart,Blackstaff,8.8,5,412,Expedia
Belfast,Crowne Plaza Belfast,"117 Milltown Road, Belfast, BT8 7XP",8.4,"3,387",463,Expedia
Belfast,Jurys Inn Belfast,"bt27ap Fisherwick Place,Great Victoria Street Belfast, Belfast, BT2 7AP",8.2,"9,838",329,FINDHOTEL
Belfast,Central Belfast Apartments: Victoria,Belfast City Centre,8.9,77,457,Expedia
Belfast,AC Hotel by Marriott Belfast,"Donegall Quay, Belfast Harbour, Belfast, BT1 3FE",8.6,"2,621",499,Expedia
Belfast,Europa Hotel,"Great Victoria Street, Belfast, BT2 7AP",8.6,"2,742",511,Booking.com
Belfast,Central Belfast Apartments Sandford,Ballymacarrett,9.4,46,457,Hotels.com
Belfast,Citi North,"41 Cliftonville Road, Belfast, BT14 6JN",8.9,823,340,Booking.com
