City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Dublin,"Radisson Blu St. Helen's Hotel, Dublin","Stillorgan Road, Dublin 4",8.1,"2,656",494,Expedia
Dublin,Marlin Hotel Stephens Green,"11 Bow Lane East, Dublin D02 YP63",8.9,"4,576",411,Expedia
Dublin,Dylan Hotel,"Eastmoreland Place, Dublin 4, Ireland, Dublin 0",8.4,285,647,Preferred Hotels & Resorts
Dublin,Sweet Inn - Spacious Grand Canal,Ballsbridge,8.2,79,567,Booking.com
Dublin,Conrad Dublin,"Earlsfort Terrace, Dublin",8.8,805,728,Expedia
Dublin,Maldron Hotel Kevin Street,"Kevin Street Upper, Dublin 8, Dublin",8.5,"5,038",417,Expedia
Dublin,St Stephen's Green District Apartments 2,Temple Bar - St. Stephen's Green,8.3,6,510,Expedia
Dublin,The Marker Hotel - A Leading Hotel Of The World,"Grand Canal Square, Docklands,2, Dublin D02 CK38",9.2,"1,803",957,Expedia
Dublin,The Westin Dublin,"at College Green, Westmoreland Street, Dublin D02 HR67",8.8,322,"1,052",Expedia
Dublin,"Premier Suites Dublin, Sandyford",Carrickmines - Sandyford,8.8,198,704,Expedia
Dublin,Butlers Townhouse,"44 Lansdowne Road, Dublin",8.1,637,344,Expedia
Dublin,Clayton Hotel Burlington Road,"Burlington Road, Upper Leeson Street, Dublin 4, Dublin",8.5,"4,667",385,Expedia
Dublin,"Premier Suites Plus Dublin, Leeson Street",Temple Bar - St. Stephen's Green,9.0,269,553,Expedia
Dublin,"Keavan's Port Hotel , Dublin","Dublin 1-5 Camden Street Upper and 49-51 Camden Street Lower, Dublin",8.2,579,553,Booking.com
Dublin,"Intercontinental Dublin, An Ihg Hotel","Simmonscourt Road, Dublin",8.8,461,839,Expedia
Dublin,"Premier Suites Plus Dublin, Ballsbridge",Ballsbridge,8.9,413,493,Expedia
Dublin,Clayton Hotel Dublin Airport,"Stockhole Lane, Dublin",8.5,"10,875",242,Booking.com
Dublin,The Croke Park Hotel,"Jones Road Dublin 3, Dublin Dublin 3",9.0,"1,716",365,Expedia
Dublin,Staycity Hotel Apartments Christchurch,"The Liberties, Inchicore and Phoenix Park",8.3,"1,181",427,Expedia
Dublin,Mespil Hotel,"50-60 Mespil Road, Dublin 4",9.0,"2,432",484,Expedia
