City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
London,Montcalm Royal London House-City of London,"22-25 Finsbury Square, London, EC2A 1DX",8.6,"7,991",810,Montcalm Royal London House-City of London
London,The Montcalm at the Brewery London City,"52 Chiswell Street, London, EC1Y 4SB",8.0,"2,814",642,The Montcalm at the Brewery London City
London,"Radisson Blu Edwardian Hampshire Hotel, London","31-36 Leicester Square, London, WC2H 7LH",8.8,"2,493","1,044","Radisson Blu Edwardian Hampshire Hotel, London"
London,The Z Hotel Trafalgar,"53-59 Chandos Place, London, WC2N 4HS",8.8,"4,338",380,Z Hotels
London,The Z Hotel Gloucester Place,"51 Gloucester Place, London, W1U 8JF",8.4,"3,682",360,The Z Hotel Gloucester Place
London,Studios 2 Let Serviced Apartments - Cartwright Gardens,Camden,7.9,"6,457",292,Studios 2 Let Serviced Apartments - Cartwright Gardens
London,Park Grand London Lancaster Gate,"14-16 Craven Hill, Lancaster Gate, London, W2 3DU",7.7,"1,167",461,Park Grand London Lancaster Gate
London,The Barbican Rooms,"42-46 Chiswell Street, London, EC1Y 4SD",8.2,"1,734",566,The Barbican Rooms
London,So Sienna,Hammersmith and Fulham,6.6,865,233,Expedia
London,Royal Lancaster London,"Lancaster Terrace, London, W2 2TY",9.1,"2,402",877,Royal Lancaster London
London,The Lodge Hotel - Putney,"52-54 Upper Richmond Road, London",8.8,"1,556",399,The Lodge Hotel - Putney
London,The Knaresborough by Aura Collection,Kensington and Chelsea,7.9,225,375,Expedia
London,The Z Hotel City,"24 Fleet Street, London, EC4Y 1AA",8.3,"5,303",310,The Z Hotel City
London,Dorsett City London,"9 Aldgate High Street, London, EC3N 1AH",8.3,"5,334",638,Dorsett City London
London,Park Lane Apartments - Clarges St,Mayfair,7.8,513,800,Expedia
London,Millennium & Copthorne Hotels At Chelsea Football Club,"Stamford Bridge, London, SW6 1HS",8.0,"3,400",405,Millennium & Copthorne Hotels At Chelsea Football Club
London,Dolphin House Serviced Apartments,"Dolphin Square, London, SW1V 3LX",8.4,"2,253",430,Dolphin House Serviced Apartments
London,Citadines Barbican London,"7-21 Goswell Road, London, EC1M 7AH",8.4,"1,377",389,Citadines Barbican London
