City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
New York,The Knickerbocker Hotel,"6 Times Square, New York, NY 10036",8.5,"1,145","1,083",The Knickerbocker Hotel
New York,MOXY NYC Times Square,"485 7th Avenue, New York, NY 10018",8.2,"11,224",479,Expedia
New York,Moxy NYC East Village,"112 East 11th Street, New York, NY 10003",8.4,"1,229",703,Moxy
New York,Sanctuary NYC Retreats,Lower East Side,9.0,557,598,Expedia
New York,Hotel Beacon,"2130 Broadway at 75th Street, New York, NY 10023",8.8,"1,559",619,Hotel Beacon
New York,West 57th Street by Hilton Club,"102 West 57th Street, New York, NY 10019",8.5,57,"1,145",Hilton Grand Vacations
New York,Harlem Lodge,Harlem,8.2,316,380,Booking.com
New York,11 Howard,"11 Howard Street, New York, NY 10013",8.0,483,"1,056",Expedia
New York,"The Langham, New York, Fifth Avenue","400 Fifth Avenue, New York, NY 10018",9.1,621,"2,051","The Langham, New York, Fifth Avenue"
New York,Great Cozy Apt,Harlem,9.7,3,615,Booking.com
New York,The Times Square EDITION,"20 Times Square, 701 7th Avenue, New York, NY 10036",8.9,920,942,Expedia
New York,Mandarin Oriental New York,"80 Columbus Circle At 60th Street, New York, NY 10023",8.6,209,"2,037",Mandarin Oriental
New York,The Harlem Cascades,Harlem,8.1,228,304,Booking.com
New York,citizenM New York Times Square,"218 West 50th Street, New York, NY 10019",9.0,"3,984",518,Expedia
New York,Holiday Inn Manhattan-Financial District,"99 Washington Street, New York, NY 10006",8.0,"7,411",368,Expedia
New York,NYC Empire State Studios,Midtown,6.7,59,494,Booking.com
New York,The Manhattan At Times Square Hotel,"790 7th Avenue, New York, NY 10019",5.9,"3,761",546,The Manhattan At Times Square Hotel
New York,Kimpton Hotel Eventi,"851 Avenue of The Americas, New York, NY 10001",8.5,763,926,Expedia
New York,Cozy Fully Furnished Apartment Near Prospect Park & Public Transport,Prospect Heights,8.5,58,583,Booking.com
New York,Hotel Boutique at Grand Central,"128 East 45th Street, New York, NY 10017",8.2,"1,466",424,Expedia
