City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Paris,"Kimpton St Honore Paris, an IHG hotel","27-29 Boulevard Des Capucines, 75009 Paris",8.8,156,"1,228",Kimpton
Paris,Mercure Paris Pigalle Sacre Coeur,"21 Boulevard De Clichy, 75009 Paris",8.2,637,477,Expedia
Paris,Hotel Panache,"1, rue Geoffroy Marie, 75009 Paris",8.5,463,519,Hotel Panache
Paris,Pepper & Paper Apartments,5th arrondissement,9.0,326,454,Expedia
Paris,Hotel Chaplain,"11 bis, rue Jules Chaplain, 75006 Paris",8.3,"1,183",562,Hotel Chaplain
Paris,Hotel Le Mareuil,"51 rue de Malte, 75011 Paris",9.0,997,598,Hotel Le Mareuil
Paris,Yays Paris Issy,,8.8,416,365,Hotels.com
Paris,West End Hotel,"7 Rue Clement Marot, 75008 Paris",8.8,227,756,West End Hotel
Paris,Hotel Chavanel,"22 Rue Tronchet, 75008 Paris",8.5,119,828,Hotel Chavanel
Paris,Apartments Ws Saint-Lazare - Opera,8th arrondissement,7.5,516,355,Booking.com
Paris,Maison Fl,"6 Rue De La Tour, 75116 Paris",8.8,592,538,Maison Fl
Paris,Le Relais Montmartre,"6, rue Constance, 75018 Paris",9.1,526,534,Expedia
Paris,Les Patios du Marais 1,3rd arrondissement,7.4,"1,985",372,Booking.com
Paris,CitizenM Paris Gare de Lyon,"8 Rue Van Gogh, 75012 Paris",8.6,"10,453",351,Expedia
Paris,Hotel Du Ministere,"31 Rue De Surene, 75008 Paris",9.0,740,696,Hotel Du Ministere
Paris,Le Vintage,Quartier Latin,8.5,63,718,Booking.com
Paris,La Maison Champs Elysées,"8 Rue Jean Goujon, 75008 Paris",8.2,168,870,Expedia
Paris,Grand Hotel Chicago,"99, Bis Rue De Rome, 75017 Paris",8.4,279,420,Hotels.com
Paris,Le Studio Flore,18th arrondissement,9.0,17,427,Booking.com
Paris,Le Placide Saint Germain des Pres,"6 Rue Saint Placide, 75006 Paris",8.7,101,518,Le Placide Saint Germain des Pres
