City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Toronto,One King West Hotel & Residence,"1 King Street West, Toronto, ON M5H 1A1",8.8,5378,449,Expedia
Toronto,"The Westin Harbour Castle, Toronto","1 Harbour Square, Toronto, ON M5J 1A6",8.3,2929,542,Expedia
Toronto,Radisson Blu Toronto Downtown,"249 Queens Quay West, Toronto, ON M5J 2N5",8.6,1253,449,Booking.com
Toronto,Unique Above Garage Loft,West End,9.1,11,442,Booking.com
Toronto,DoubleTree by Hilton Toronto Downtown,"108 Chestnut Street, Toronto, ON M5G 1R3",7.8,3143,379,Expedia
Toronto,Sheraton Toronto Airport Hotel & Conference Centre,"801 Dixon Road, Toronto, ON M9W 1J5",8.4,273,344,Expedia
Toronto,Life Suites Loft - Cn Tower,Downtown,7.5,390,446,Booking.com
Toronto,"Chelsea Hotel, Toronto","33 Gerrard Street West, Toronto, ON M5G 1Z4",7.7,5492,345,Expedia
Toronto,Sheraton Centre Toronto Hotel,"123 Queen Street West, Toronto, ON M5H 2M9",8.7,1821,545,Booking.com
Toronto,Simply Comfort - Dundurn Lofts,Downtown,8.2,264,559,Booking.com
Dubai,Five Jumeirah Village Dubai,"District 14, Street 1 Jumeirah Village Circle, Dubai",8.9,24394,603,Booking.com
Dubai,Five Palm Jumeirah Dubai,"No. 1 The Palm, Dubai",8.9,15756,"1,447",Booking.com
Dubai,Park Regis Kris Kin Hotel Dubai,"8264 Sheikh Khalifah Bin Zayed ST. Opp Burjuman Centre Dubai City, Dubai 8264",8.2,3490,353,Expedia
Dubai,Elite Residence Dubai Marina,,9.0,6,590,Booking.com
Dubai,Hilton Dubai Al Habtoor City,"Al Habtoor City, Sheikh Zayed Road, Dubai",8.1,1679,574,Booking.com
Dubai,Taj Dubai,"Downtown Burj Khalifa Street, Dubai",9.0,5308,"1,059",Booking.com
Dubai,Maison Privee - Burj Residence,Downtown Dubai,7.8,26,"1,157",Expedia
Dubai,Atlantis The Palm,"1 Crescent Road, Dubai 211222",8.8,16339,"1,625",Booking.com
Dubai,Dusit Thani Dubai,"133 Sheikh Zayed Road, Dubai",8.3,5921,824,Expedia
Dubai,Luton Vacation Homes Grandeur Residence,,9.0,3,"1,313",Expedia
Malta,Be.Hotel,"St. George's Bay, St. Julian's STJ 3315",8.5,7300,137,Expedia
Malta,Ax The Palace,"High Street, Sliema SLM 1542",8.5,1256,262,Expedia
Malta,"19, Luqa Townhouse",,,,686,Booking.com
Malta,Golden Tulip Vivaldi Hotel,"Dragonara Road, St Julians, Stj 06, St. Julian's",8.2,3980,159,Expedia
Malta,The Village Boutique & Spa,"Giuseppe Stivala Alley 1, Naxxar NXR 1412",9.3,119,223,Expedia
Malta,Hyatt Regency Malta,"St George's Bay, St. Julian's STJ 3310",9.1,636,339,Booking.com
Malta,Maritim Antonine Hotel & Spa Malta,"George Borg Olivier Street, Mellieha MLH 1021",8.3,3376,98,travelup
Malta,"Radisson Blu Resort, Malta St Julian's","St. George's Bay, St. Julian's STJ 3391",8.3,954,325,travelup
Malta,Holm Boutique & Spa,"Fabri Lane, St. Julian's STJ 1330",8.9,519,304,Expedia
Malta,"The Westin Dragonara Resort, Malta","Stj02 Dragonara Road, St. Julians, St. Julian's STJ 3143",8.7,1132,359,Westin
Alicante,Eurostars Centrum Alicante,"Calle Del Pintor Lorenzo Casanova,33-35, Alicante, Valencia",8.5,4062,245,Booking.com
Alicante,Hotel Spa Porta Maris by Melia,"Plaza Puerta Del Mar, 3, 03002 Alicante, Valencia",8.6,4477,395,Booking.com
Alicante,B&B Hotel Alicante,"Avenida De Elche 112, 03008 Alicante, Valencia",8.0,5368,140,Booking.com
Alicante,Myflats Luxury Downtown,Centro,9.4,679,252,Booking.com
Alicante,Hotel Hospes Amerigo,"Rafael Altamira 7, 03002 Alicante, Valencia",8.9,1370,467,Booking.com
Alicante,Hotel Maya,"Canónigo Manuel Penalva, 2, 03002 Alicante, Valencia",8.3,4975,158,Booking.com
Alicante,"New apartment in San Juan Playa, Alicante",Playa de San Juan,9.3,80,240,Booking.com
Alicante,NH Alicante,"Calle Mexico, 18, 03008 Alicante, Valencia",8.3,1089,260,NH Hotels
Alicante,Hotel Boutique Alicante Palacete S.XVII Adults Only,"C/ Miguel Soler, 22, 03002 Alicante, Valencia",9.2,1052,290,Booking.com
Alicante,"Villamar - Relax, Sol y Playa",Cabo de las Huertas,9.8,40,232,Booking.com
Florida,DoubleTree by Hilton at the Entrance to Universal Orlando,"5780 Major Boulevard, Orlando, FL 32819",8.2,5191,275,Booking.com
Florida,Hilton Grand Vacations at Tuscany Village,"8122 Arrezzo Way, Orlando, FL 32821",9.0,2061,494,Expedia
Florida,Hilton Grand Vacations at SeaWorld,"6924 Grand Vacations Way, Orlando, FL 32821",8.9,2839,442,Expedia
Florida,DoubleTree by Hilton Orlando at SeaWorld,"10100 International Drive, Orlando, FL 32821",7.0,6118,241,Expedia
Florida,Embassy Suites Lake Buena Vista Resort,"8100 Lake Street, Orlando, FL 32836",8.0,1328,424,Expedia
Florida,Best Western Orlando Gateway Hotel,"7299 Universal Boulevard, Orlando, FL 32819-8353",8.0,6639,302,Booking.com
Florida,Parc Soleil by Hilton Grand Vacations,"11272 Desforges Avenue, Orlando, FL 32836",9.0,244,460,Expedia
Florida,Comfy Apartment Next To Oaks Mall Gainesville,,9.3,14,318,Booking.com
Florida,Universal's Cabana Bay Beach Resort,"6550 Adventure Way, Orlando, FL 32819",8.6,6468,440,Expedia
