City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Alicante,Eurostars Centrum Alicante,"Calle Del Pintor Lorenzo Casanova,33-35, Alicante, Valencia",8.5,"3,913",261,Eurostars Centrum Alicante
Alicante,Meliá Alicante,"Plaza Del Puerto, 3, 03001 Alicante, Valencia",8.2,"4,849",457,Expedia
Alicante,Hospes Amerigo,"Rafael Altamira 7, 03002 Alicante, Valencia",8.9,"1,401",538,Expedia
Alicante,Myflats Luxury Downtown,Centro,9.3,735,258,Booking.com
Alicante,AC Hotel Alicante by Marriott,"Avenida Elche, 3, 03008 Alicante, Valencia",8.1,"2,156",275,AC Hotels
Alicante,"Casa Alberola Alicante, Curio Collection by Hilton","Calle Canalejas 1, 03001 Alicante, Valencia",9.0,592,322,Expedia
Alicante,Alicante Hills,El Palmeral-Urbanova-Tabarca,7.0,"4,758",144,Booking.com
Alicante,El Plantio Golf Resort,"Ctra Antigua Alicante, Elche Km3 (a-79), 03114 Alicante, Valencia",8.3,"2,995",246,Expedia
Alicante,NH Alicante,"Calle Mexico, 18, 03008 Alicante, Valencia",8.3,"1,146",199,Booking.com
Alicante,"New apartment in San Juan Playa, Alicante",Playa de San Juan,9.3,79,268,Booking.com
Alicante,Hotel Almirante,"Avenida Niza, 38, 03540 Alicante, Valencia",8.5,"2,635",220,Expedia
Alicante,ibis budget Alicante,"Calle Belgica 3, 03008 Alicante, Valencia",7.3,"4,180",118,Expedia
Alicante,loft apartamento Sevilla 16,Carolinas Bajas,9.4,56,227,Booking.com
Alicante,S30 Reina Victoria,"Calle San Vicente 30, 03004 Alicante, Valencia",9.1,"1,057",377,Expedia
Alicante,Occidental Alicante,"Carrer De Tomas Lopez Torregrosa, 11, Alicante, Valencia",8.4,"1,636",207,Booking.com
Alicante,Pinzon Studios & Penthouse,Centro,9.5,411,309,Booking.com
Alicante,Eurostars Lucentum,"Alfonso X El Sabio, 11, 03002 Alicante, Valencia",8.5,"3,540",226,travelup
Alicante,Hotel Spa Porta Maris by Melia,"Plaza Puerta Del Mar, 3, 03002 Alicante, Valencia",8.5,"4,457",363,travelup
Alicante,Alicante Skylights Apartments,Ensanche Diputación,8.4,112,287,Booking.com
Alicante,Old Town Alicante,"15 Calle Pintor Cabrera, 03003 Alicante, Valencia",8.1,639,118,Expedia
