City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Amsterdam,NH Collection Amsterdam Grand Hotel Krasnapolsky,"Dam 9, 1012 JS Amsterdam, North Holland",8.8,"6,148",725,Expedia
Amsterdam,Pestana Amsterdam Riverside,"Amsteldijk 67, 1074 HZ Amsterdam, North Holland",8.6,"3,320",633,Expedia
Amsterdam,The Student Hotel Amsterdam City,"Wibautstraat 129, 1091 GL Amsterdam, North Holland",8.7,"4,533",380,Expedia
Amsterdam,Yays Amsterdam Salthouse Canal,Westerpark,8.6,827,525,Expedia
Amsterdam,Apollofirst Boutique Hotel,"Apollolaan, 123-127, 1077 AP Amsterdam, North Holland",8.7,776,309,Expedia
Amsterdam,NH Collection Amsterdam Doelen,"Nieuwe Doelenstraat 26, 1012 CP Amsterdam, North Holland",8.8,"1,290",618,Expedia
Amsterdam,Amsterdam Oosterpark By Yays,Amsterdam-Oost,7.6,185,412,Expedia
Amsterdam,NH Collection Amsterdam Barbizon Palace,"Prins Hendrikkade 59-72, 1012 AD Amsterdam, North Holland",8.5,"4,197",624,Expedia
Amsterdam,citizenM Hotel Amsterdam South,"Prinses Irenestraat 30, 1077 Amsterdam, North Holland",8.8,"3,377",305,Expedia
Amsterdam,"Very Nice Cottage In Durgerdam, With Private Garden, Free Parking, Pets Allowed",Amsterdam-Noord,9.4,36,585,Booking.com
Amsterdam,Courtyard Amsterdam Arena Atlas,"Hoogoorddreef 1, 1101 BA Amsterdam, North Holland",8.3,"1,330",249,Expedia
Amsterdam,Conscious Hotel Westerpark,"Haarlemmerweg 10, 1014 BE Amsterdam, North Holland",8.7,"3,549",339,Expedia
Amsterdam,Short Stay Group Amsterdam Harbour Serviced Apartments,Amsterdam-Centrum,7.6,641,466,Expedia
Amsterdam,Hilton Amsterdam,"Apollolaan 138, 1077 BG Amsterdam, North Holland",8.3,745,645,Expedia
Amsterdam,NH Collection Amsterdam Flower Market,"Vijzelstraat 4, 1017 HK Amsterdam, North Holland",8.6,"4,387",563,Expedia
Amsterdam,Willem de Zwijgerlaan Luxury Ark,Bos en Lommer,9.9,21,697,Booking.com
Amsterdam,Hotel Breeze Amsterdam,"1074 Bert Haanstrakade, 1087 HM Amsterdam, North Holland",8.3,"2,080",304,Expedia
Amsterdam,Hotel Okura Amsterdam,"Ferdinand Bolstraat 333, 1072 LH Amsterdam, North Holland",8.8,"1,252",690,Expedia
Amsterdam,Central & Quiet Canal Apartment,Amsterdam-Centrum,9.6,35,670,Booking.com
Amsterdam,Xo Hotels Couture,"Delflandlaan 15, 1062 EA Amsterdam, North Holland",8.7,"5,706",248,Booking.com
