City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Bali,Alila Ubud,"Desa Melinggih Kelod, Denpasar 80572",8.9,255,268,Expedia
Bali,Hyatt Regency Bali,"Jl Danau Tamblingan 89, Denpasar 80228",9.1,555,255,Expedia
Bali,Plataran Ubud Hotel & Spa,"Jl. Hanoman, Pengosekan, Ubud, Bali, 80571 Indonesia, Denpasar 80361",9.2,404,356,Expedia
Bali,Villa Seminyak Estate & Spa - By Astadala,Seminyak,8.8,3,114,Hotels.com
Bali,Hotel Indigo Bali Seminyak Beach,"Jl. Camplung Tanduk No. 10, Denpasar",9.3,"1,052",292,Expedia
Bali,Sagara Villas And Suites,"Jl. Cemara No. 33, Denpasar 80227",8.4,126,80,Expedia
Bali,"The Ritz-Carlton, Bali","Jalan Raya Nusa Dua Selaton Lot III, Sawangan, Nusa Dua, Denpasar 80363",8.9,347,573,Ritz-Carlton Hotels
Bali,Potato Head Studios at Desa Potato Head,"Jl. Petitenget No.51b, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Denpasar 80361",9.6,84,452,Hotels.com
Bali,Kubu Gajah Villas,South Denpasar,10.0,1,418,Hotels.com
Bali,Hilton Garden Inn Bali Ngurah Rai Airport,"Jalan Airport Ngurah Rai No. 7 Kuta, Denpasar",8.2,"1,499",74,Expedia
Bali,Klumpu Bali Resort,"Jl. Kesari, No. 16B, Denpasar 80228",9.6,192,122,Hotels.com
Bali,Sanur Art Villas,South Denpasar,7.7,212,58,Expedia
Bali,Manzelejepun Luxury Villa & Pavilion,"Jl. Sekar Sari, Br. Kesambi, Desa Kertalangu, Denpasar 80237",9.1,109,59,Hotels.com
Bali,Palm Garden Hotel,"Jl. Kesumasari 3 Sanur, Denpasar 80228",8.0,209,43,Hotels.com
Bali,Anna Villa,South Denpasar,9.0,26,178,Booking.com
Bali,Artotel Sanur Bali,"Jl. Kusuma Sari No.1, Denpasar 80227",9.2,32,110,Expedia
Bali,Natah Bale Villas,"Jl. Cemara 32, Sanur, Denpasar 80228",8.4,1,245,Hotels.com
Bali,Villa Sayang Taman,South Denpasar,8.7,9,100,Booking.com
Bali,Villa Sanur harmony,"Jalan Kutat Lestari No. 24A, Denpasar 80227",8.3,31,56,Booking.com
