City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Dalaman,Otantik Tas Ev,"Güzelyurt Mahallesi Kemalsahin Bulvari, no 353, Dalaman 48600",,,108,Expedia
Dalaman,Alibaba Airport Hotel,"Karacali Mahallesi Kanalbasi Sokak, No:25/1, Dalaman 48770",8.5,12,118,Expedia
Dalaman,Dalaman Airport Lykia Thermal & Spa Hotel,"Havaalani Yolu 3. km Kenan Evren, Dalaman 48770",7.2,411,118,lastminute.com
Dalaman,Dalaman Villa Karya,,9.0,3,579,Booking.com
Dalaman,Thermemaris Thermal & Spa Resort,"Incebel Mevkii, Dalaman 48770",,,200,lastminute.com
Dalaman,Hotel Sevgi 2,"Sarigerme, No. 248, Sarigerme 48100",,,121,Expedia
Dalaman,AliBaba Villa Near Airport and Beach,,7.5,15,139,Booking.com
Dalaman,Dalyan Live Spa Hotel,"Dalyan Mah., Maras Cd. No:26, Ortaca 48600",8.9,83,218,Expedia
Dalaman,Hotel Dalyance,"Gülpinar Cd., Ortaca 48600",9.4,2,204,Expedia
Dalaman,Dalaman Airport Daltur Aparts,,9.0,16,128,Booking.com
Dalaman,Vespera hotel,"Tufan Caddesi No:4, Ortaca 48600",,,181,Booking.com
Dalaman,Zigo's Hotel - Special Class,"Guzelyurt Mahallesi, 1753 Sokak No:14, Ortaca 48600",9.4,30,407,Booking.com
Dalaman,Dalaman Airport Guesthouse,,9.6,267,111,Expedia
Dalaman,Ozalp Han Hotel,"Terzialiler, Ataturk Blv. No:151, Ortaca 48600",,,97,Expedia
Dalaman,Dalaman Airport Alibaba Place,,8.5,45,150,Booking.com
Dalaman,Isil Suite,"Mah. 207 Sk., B-14, Zemin No. 3, Ortaca 48840",8.9,38,97,Booking.com
Dalaman,Hotel Caktug,"Merkez Mah. Ataturk Cad. No 37, Dalaman 48770",,,151,Expedia
Dalaman,"Villa Kiara 6km to Airport,5 minutes to the center by walk",,,,104,Booking.com
Dalaman,Sirman Suite Boutique Hotel,"Psilis Mevkii No:364, Sarigerme 88600",,,154,Expedia
