City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Edinburgh,The Bonham Hotel,"35 Drumsheugh Gardens, Edinburgh, EH3 7RN",9.1,"1,087",658,Expedia
Edinburgh,Radisson Collection Hotel Royal Mile Edinburgh,"1 George IV Bridge, Edinburgh, EH1 1AD",8.5,"1,714",667,Expedia
Edinburgh,The Glasshouse Autograph Collection,"2 Greenside Place, Edinburgh, EH1 3AA",8.7,656,594,Autograph Collection
Edinburgh,Braid Apartments by Mansley,New Town,9.3,617,486,Expedia
Edinburgh,Courtyard by Marriott Edinburgh,"1-3 Baxters Place, Edinburgh, EH1 3AF",8.5,"4,496",368,Expedia
Edinburgh,Intercontinental Edinburgh The George,"19-21 George Street, Edinburgh, EH2 2PB",8.8,"2,163",721,Expedia
Edinburgh,A Stay On The Brae,South,9.7,24,346,Expedia
Edinburgh,Leonardo Royal Edinburgh Haymarket,"1 Morrison Link, Edinburgh, EH3 8DN",7.9,"12,083",391,Expedia
Edinburgh,Kew House,"1 Kew Terrace, Edinburgh, EH12 5JE",9.7,1,500,Expedia
Edinburgh,Stylish Apartment,Leith,9.0,121,580,Expedia
Edinburgh,Antler Guest House,"58 Pilrig Street, Edinburgh, EH6 4BS",9.4,239,279,Expedia
Edinburgh,Bruntsfield Hotel,"69-74 Bruntsfield Place, Edinburgh, EH10 4HH",8.4,"1,589",343,Expedia
Edinburgh,Amazing Apartments - Annandale Street,,8.9,67,538,Expedia
Edinburgh,Novotel Edinburgh Centre,"80 Lauriston Place, Edinburgh, EH3 9DE",8.0,"4,835",337,Expedia
Edinburgh,"Sheraton Grand Hotel & Spa, Edinburgh","1 Festival Square, Edinburgh, EH3 9SR",8.7,"2,427","1,156",Expedia
Edinburgh,City Padzzz,Leith,8.3,3,506,Expedia
Edinburgh,Hotel Indigo Edinburgh - Princes Street,"20 Princes Street, Edinburgh, EH2 2AN",8.3,"2,045",583,Expedia
Edinburgh,Cheval The Edinburgh Grand,"42 St Andrew Square, Edinburgh, EH2 2AD",9.3,"1,100",833,Expedia
Edinburgh,Cosy Home with Views of Arthur's Seat,East,9.3,5,528,Expedia
Edinburgh,Eden Locke,"127 George Street, Edinburgh, EH2 4JN",9.2,"1,624",529,Expedia
