City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Ibiza,Hotel Thb Los Molinos - Adults Only,"C/ Ramon Muntaner, 60, Ibiza, Ibiza Island",8.4,"1,955",357,Expedia
Ibiza,El Puerto Ibiza Hotel & Spa,"Carrer De Carlos Iii, 24, 07800 Ibiza, Ibiza Island",8.4,"1,091",326,Booking.com
Ibiza,Lux Isla,"Josep Pla, 1, 07800 Ibiza, Ibiza Island",9.1,"1,424",279,Expedia
Ibiza,Hostal Juanita,"Juan de Austria, 17, 07800 Ibiza, Ibiza Island",8.3,"1,337",147,Expedia
Ibiza,Hotel Royal Plaza,"Pere Francès 27-29, 07800 Ibiza, Ibiza Island",8.1,"1,244",264,travelup
Ibiza,105 Cbbc Suites Port Vell,,8.9,481,405,Booking.com
Ibiza,Hotel Playasol Maritimo,"C/ Ramon Muntaner 48, Ibiza, Ibiza Island",7.3,"1,651",233,Expedia
Ibiza,Eurostars Ibiza,"Calle Ramon Muntaner 25, 07800 Ibiza, Ibiza Island",8.6,629,393,travelup
Ibiza,La Ventana,"Sa Carrosa, 13, 07800 Ibiza, Ibiza Island",8.5,423,247,Booking.com
Ibiza,Ocean Drive Ibiza,"Playa de Talamanca, Apt. 223, Ibiza, Spain, Ibiza, Ibiza Island",7.9,424,307,lastminute.com
Ibiza,Apartamentos Mariano,,8.3,303,373,Booking.com
Ibiza,Hotel Can Sastre,"Camino Viejo de San Mateo s/n, 07816 Santa Gertrudis de Fruitera, Ibiza Island",8.9,51,899,Expedia
Ibiza,Casa Lui,,9.6,10,"2,039",Booking.com
Ibiza,Hostal Parque,"Plaza de Parque, 4, 07800 Ibiza, Ibiza Island",8.2,492,326,Booking.com
Ibiza,Hostal Talamanca,"Playa Talamanca, Apartado 103, 07800 Ibiza, Ibiza Island",8.1,618,258,Booking.com
Ibiza,Apartamentos de Las Heras,,6.7,125,439,Booking.com
Ibiza,Cas Gasi,"Camino Viejo De Sant Mateu, Santa Gertrudis de Fruitera, Ibiza Island",9.3,64,"1,228",Expedia
