City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Lisbon,Casa Do Mercado Lisboa By LX Talc,"Rua Da Boavista 10, 1200-379 Lisbon, Lisbon District",8.9,315,216,Booking.com
Lisbon,Maxime Hotel,"Praça da Alegria, 58, 1250-004 Lisbon, Lisbon District",9.0,"2,378",295,Expedia
Lisbon,Iberostar Selection Lisboa,"Rua Castilho 64, 1250-071 Lisbon, Lisbon District",8.6,946,461,Expedia
Lisbon,Lis Apartments,Arroios,8.8,141,275,Hotels.com
Lisbon,Hotel Alif Avenidas,"Avenida Duque D'Avila, 189, 1050-082 Lisbon, Lisbon District",8.3,"2,498",197,Expedia
Lisbon,Ramada by Wyndham Lisbon,"Avenida Engenheiro Arantes E Oliveira 9, 1900-221 Lisbon, Lisbon District",8.3,"2,341",201,Hotels.com
Lisbon,Villa Baixa - Lisbon Luxury Apartments,Baixa,9.5,972,384,Expedia
Lisbon,Jupiter Lisboa Hotel,"Avenida da Republica, 46, 1050-195 Lisbon, Lisbon District",8.9,"3,421",263,Expedia
Lisbon,Lutecia Smart Design Hotel,"Avenida Frei Miguel Contreiras, 52, 1749-086 Lisbon, Lisbon District",8.4,"5,153",203,Expedia
Lisbon,LX Factory Apartment,Alcântara,8.8,28,215,Expedia
Lisbon,Lisbon Wine Hotel,"Rua Portas de Santo Antão 88, 1150-266 Lisbon, Lisbon District",9.3,898,260,Expedia
Lisbon,Corinthia Lisbon,"Avenida Columbano Bordalo Pinheiro, 105, 1099-031 Lisbon, Lisbon District",8.9,"2,365",481,Expedia
Lisbon,Graca Heartwarming Flat,São Vicente,9.6,5,307,Hotels.com
Lisbon,Esqina Urban Lodge,"Rua dos Sapateiros 92, 1100-054 Lisbon, Lisbon District",8.7,354,256,Expedia
Lisbon,Quinta Colina by Shiadu,"Calçada Santana, 200, 1150 Lisbon, Lisbon District",9.0,"1,061",271,Expedia
Lisbon,Morgan-Jupiter Apartments,Santo António,8.3,58,292,Expedia
Lisbon,Hotel da Estrela - Small Luxury Hotels of the World - member of Unlock Hotels,"Rua Saraiva De Carvalho 35, 1250-242 Lisbon, Lisbon District",8.6,377,249,Expedia
Lisbon,Lux Lisboa Park,"Rua Padre Antonio Vieira, 32, 1070-197 Lisbon, Lisbon District",8.9,"6,385",451,Lux Lisboa Park
Lisbon,Stay in the heart of Lisbon - Altis Suites,Santo António,8.5,41,265,Booking.com
Lisbon,Rossio Boutique Hotel,"Rua Barros Queirós, 31, 1100-076 Lisbon, Lisbon District",8.4,"2,552",232,Expedia
