City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Los Angeles,The Westin Los Angeles Airport,"5400 West Century Boulevard, Los Angeles, CA 90045",8.1,"2,219","1,739",Westin
Los Angeles,citizenM Los Angeles Downtown,"361 South Spring Street, Los Angeles, CA 90013",8.8,354,"1,791",Expedia
Los Angeles,Kimpton Everly Hotel,"1800 Argyle Avenue, Los Angeles, CA 90028",8.6,"1,130","2,036",Expedia
Los Angeles,Prime location three bedroom beautiful villa,Beverly Grove,9.3,25,"1,414",Booking.com
Los Angeles,Mama Shelter Los Angeles,"6500 Selma Avenue, Los Angeles, CA 90028",8.5,359,"2,083",Expedia
Los Angeles,The Garland,"4222 Vineland Avenue, Los Angeles, CA 91602",8.8,"1,134","1,962",Expedia
Los Angeles,"10min To Dtla + Hollywood, Silverlake + Echo Park",Central Los Angeles,8.6,5,"1,562",Booking.com
Los Angeles,Renaissance Los Angeles Airport Hotel,"9620 Airport Boulevard, Los Angeles, CA 90045",8.2,"1,626","1,566",Renaissance
Los Angeles,The Godfrey Hotel Hollywood,"1400 Cahuenga Boulevard, Los Angeles, CA 90028",8.4,109,"1,890",Expedia
Los Angeles,Ginosi Metropolitan Apartel,Hollywood,6.7,15,517,Ginosi Metropolitan Apartel
Los Angeles,Silver Lake Pool & Inn,"4141 Santa Monica Boulevard, Los Angeles, CA 90026",8.9,142,"2,937",Expedia
Los Angeles,4 Hight Loft Marina de Lux,,10.0,3,"1,826",Booking.com
Los Angeles,Loews Hollywood Hotel,"1755 North Highland Avenue, Los Angeles, CA 90028",8.6,"1,986","2,620",Booking.com
Los Angeles,Friendship Motor Inn,"1148 Crenshaw Boulevard, Los Angeles, CA 90019",8.4,"1,470",578,Hotels.com
Los Angeles,Oceana Los Angeles,Mid-City,7.3,95,410,Booking.com
Los Angeles,Modern Pool House at the Heart of LA,,9.5,2,"1,354",Booking.com
Los Angeles,The Shay,"8801 Washington Blvd, Los Angeles, CA 90232",9.5,8,"3,465",Hotels.com
