City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Murcia,Hotel Nelva,"Avenida Primero De Mayo, 5, 30006 Murcia",8.8,"4,110",218,Expedia
Murcia,Occidental Murcia Siete Coronas,"Paseo de Garay, 5, Murcia",8.9,"3,769",205,Expedia
Murcia,NH Amistad Murcia,"Condestable, 1, 30009 Murcia",8.4,"1,899",182,Expedia
Murcia,Piso Centro Luxury,,,,227,Booking.com
Murcia,Agalia Hotel,"Avda. Arquitecto Miguel Ángel Beloqui 7, 30006 Murcia",8.3,"2,871",209,Expedia
Murcia,Hotel Murcia Rincón de Pepe Affiliated by Meliá,"Calle Apostoles, 34, 30001 Murcia",8.8,"1,899",229,Expedia
Murcia,Apartamento Florencia,,,,255,Booking.com
Murcia,Hotel Azarbe,"Avenida Del Rocio 2, 30007 Murcia",8.6,"1,734",190,Expedia
Murcia,Catalonia Conde de Floridablanca,"Calle Princesa, 18, 30002 Murcia",8.7,"1,738",224,Expedia
Murcia,Apartamento Floridablanca,,8.4,151,252,Booking.com
Murcia,Hesperia Murcia Centro,"Calle de Madre de Dios, 4, 30004 Murcia",8.8,"3,371",187,Expedia
Murcia,AC Hotel Murcia by Marriott,"Avenida Juan Carlos I, 39, 30009 Murcia",8.4,"1,039",213,Expedia
Murcia,Apartamento Céntrico La Catedral,,8.8,113,280,Booking.com
Murcia,Hotel Cetina Murcia,"Calle Radio Murcia 3, 30001 Murcia",8.9,"2,960",182,Expedia
Murcia,Hotel El Churra,"Avenida Marques De Los Velez, 12, 30008 Murcia",8.5,"1,951",198,Expedia
Murcia,Beautiful Villa in Murcia with pool just 10m away,,9.4,8,210,Booking.com
Murcia,ibis budget Huerta De Murcia,"Jose Manuel Sanchez Pedreno 6, 30009 Murcia",8.5,"2,360",141,Expedia
Murcia,Hotal Azahar,"C/ Del Arquitecto Juan José Belmonte 4, 30007 Murcia",8.2,418,176,Expedia
Murcia,Casa Adriatico - A Murcia Holiday Rentals Property,,8.0,1,282,Booking.com
Murcia,Zenit Murcia,"Plaza De San Pedro 5-6, 30004 Murcia",8.4,873,213,Expedia
