City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Prague,Hotel Kings Court,"U Obecniho Domu 3, 110 00 Prague, Prague Region",9.1,"4,981",419,Expedia
Prague,Alcron Hotel Prague,"Stepanska 40, 110 00 Prague, Prague Region",9.3,"4,303",287,Expedia
Prague,Hilton Prague,"Pobrezni 311/1, 186 00 Prague, Prague Region",8.0,"3,357",328,Expedia
Prague,Prague Castle Apartments Pawlansky,Prague 1,9.2,155,470,Expedia
Prague,Occidental Praha Wilson,"Václavské Námestí, 59, 110 00 Prague, Prague Region",8.5,780,221,Expedia
Prague,Cosmopolitan Hotel Prague,"Zlatnicka 3, 11000 Prague, Prague Region",9.2,"2,834",330,Expedia
Prague,Angel City Apartments,Prague 5,9.1,"1,044",237,Booking.com
Prague,Art Deco Imperial Hotel,"Na Porici 15, 110 00 Prague, Prague Region",9.1,"3,464",404,Expedia
Prague,Le Palais Art Hotel Prague,"U Zvonarky 1, 120 00 Prague, Prague Region",8.5,472,234,Expedia
Prague,Old Town Apartment,Prague 1,9.2,39,390,Booking.com
Prague,Grand Hotel Bohemia,"Kralodvorska 4, Prague, Prague Region",9.1,"2,774",344,Expedia
Prague,Hotel Taurus,"Vinohradska 105, Prague, Prague Region",8.2,"5,860",140,Expedia
Prague,Modern Apartment Riegrovy sady,Prague 2,9.6,35,252,Booking.com
Prague,"Radisson Blu Hotel, Prague, Prague, Cz","Zitna 561/8, 120 00 Prague, Prague Region",8.6,"1,905",294,Expedia
Prague,Iron Gate Hotel and Suites,"Michalska 19, 110 00 Prague, Prague Region",8.9,"1,317",357,Expedia
Prague,Royal Route Residence,Prague 1,9.4,232,216,Booking.com
Prague,Panorama Hotel Prague,"Milevska 7, 140 63 Prague, Prague Region",8.3,"5,535",211,Expedia
Prague,The Emblem Hotel,"Platnerska 111/19, 110 00 Prague, Prague Region",8.8,460,513,Expedia
Prague,High Heaven Residence,Prague 1,9.4,534,192,Booking.com
Prague,Esplanade Hotel Prague,"Washingtonova 1600/19, Praha 1, Prague, Prague Region",8.2,373,242,Expedia
