City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Rome,Unicum Roma Suites,"via Vittorio Spinazzola 3, 00164 Rome",9.3,121,317,Expedia
Rome,Hotel Alpi,"84, Via Castelfidardo, 00185 Rome",8.9,"1,096",364,Expedia
Rome,Nice Rome Holiday,"7 Via Belisario, 00187 Rome",8.6,223,253,Expedia
Rome,Hisuiterome,Historical Center,9.1,231,536,Expedia
Rome,Hotel Diocleziano,"Via Gaeta 71, 00185 Rome",8.9,558,324,Expedia
Rome,Mercure Roma Corso Trieste,"Via Gradisca 29, 00198 Rome",,,288,Expedia
Rome,Vico Rooms And Terrace,Flaminio,9.1,298,265,Expedia
Rome,Gasometer Urban Suites,"Via Del Porto Fluviale, 35/37, 00146 Rome",9.3,542,261,Expedia
Rome,Palazzo Cardinal Cesi,"Via Conciliazione 51, 00193 Rome",8.8,167,573,Expedia
Rome,Bed And Best,Historical Center,9.3,133,254,Expedia
Rome,Guest Roma House,"Via Emilio Faà Di Bruno 15, 00195 Rome",9.5,199,275,Expedia
Rome,Rome Winners Home,"Via Appia Nuova 465, 00181 Rome",9.0,51,334,Expedia
Rome,Il Gattopardo Relais,Historical Center,8.2,150,185,Expedia
Rome,Radisson Blu Ghr Hotel,"Via Domenico Chelini 41, 00197 Rome",8.2,"1,108",473,Expedia
Rome,Tommy Guest House Roma,"Vicolo Del Casale Galvani 11, 00187 Rome",9.3,20,300,Hotels.com
Rome,Residenza B,Historical Center,9.9,121,510,Expedia
Rome,NH Collection Roma Fori Imperiali,"Via di Santa Eufemia, 19, Rome",9.1,690,797,Expedia
Rome,B&B Birba,"Via Rodolfo Valentino, 19, 00139 Rome",8.9,100,181,Expedia
Rome,Lovin' Rome - Piazza di Spagna,Historical Center,8.5,148,276,Expedia
Rome,Gioberti Hotel,"Via Gioberti, 20, 00185 Rome",8.3,539,358,Hotels.com
