City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Tenerife,Hotel Aeropuerto Sur,"Calle Benchijigua, 4, San Isidro, 38611 Granadilla, Tenerife",5.5,11,163,Expedia
Tenerife,Grand Muthu Golf Plaza Hotel & Spa,"Urbanizacion Golf Del Sur, 38620 San Miguel De Abona, Tenerife",7.3,832,284,Expedia
Tenerife,Bahia Principe Fantasia Tenerife,"Avenida JM Galván Bello, 38639 San Miguel De Abona, Tenerife",8.9,"1,306",807,Expedia
Tenerife,Apartamento Lucia,,8.8,16,299,Booking.com
Tenerife,Santa Barbara Golf and Ocean Club by Diamond Resorts,"Avd. Del Atlantico, 38620 Los Abrigos, Tenerife",8.5,"4,369",294,FINDHOTEL
Tenerife,Muthu Royal Park Albatros,"Avenida Galvan Bello, 38620 San Miguel De Abona, Tenerife",7.7,"2,212",223,Booking.com
Tenerife,Marody House Vacacional,,9.4,50,206,Booking.com
Tenerife,Vincci Tenerife Golf,"Urbanizacion Golf Del Sur. Carretera de Los Abrigos, 38639 Los Abrigos, Tenerife",7.8,"1,318",288,loveholidays
Tenerife,Select Sunningdale,"Golf Del Sur, 38639 San Miguel De Abona, Tenerife",8.9,343,330,Expedia
Tenerife,Apartament Sotavento,,9.3,59,285,Booking.com
Tenerife,Hotel Médano,"Calle Picacho 2, 38612 El Médano, Tenerife",7.7,741,347,Expedia
Tenerife,Riva Guest House Los Abrigos,"Calle el Cabo Nr 2, 38618 Los Abrigos, Tenerife",7.1,347,123,Expedia
Tenerife,Apartment Sunny Tejita,,,,344,Booking.com
Tenerife,Hotel Playa Sur Tenerife,"Gaviota,36, 38612 El Médano, Tenerife",7.6,851,376,Booking.com
Tenerife,Casa Giuliana,"calle los muros 14,charco del pino,granadilla, 38595 Charco del Pino, Tenerife",8.8,342,201,Booking.com
Tenerife,Eco Holidays Cave House Justine,,9.2,4,277,Booking.com
Tenerife,Wyndham Residences Tenerife Golf del Sur,"Golf Del Sur, 38639 San Miguel De Abona, Tenerife",,,330,Hotels.com
Tenerife,Hotel Rural 4 Esquinas,"La Iglesia, 11, 38620 San Miguel De Abona, Tenerife",8.3,243,335,Expedia
Tenerife,Divino en playa acepto animales. Movilidad reduci,,,,396,Booking.com
Tenerife,Terrazas del Sur,"Calle La Moncloa 16, 38618 Los Abrigos, Tenerife",6.9,469,168,Booking.com
