City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Alicante,Eurostars Centrum Alicante,"Calle Del Pintor Lorenzo Casanova,33-35, Alicante, Valencia",8.5,"(4,061)",£245total,Booking.com
Alicante,Hotel Spa Porta Maris by Melia,"Plaza Puerta Del Mar, 3, 03002 Alicante, Valencia",8.6,"(4,473)",£395total,Booking.com
Alicante,B&B Hotel Alicante,"Avenida De Elche 112, 03008 Alicante, Valencia",8.0,"(5,373)",£140total,Booking.com
Alicante,Myflats Luxury Downtown,Centro,9.3,(678),£252total,Booking.com
Alicante,Hotel Hospes Amerigo,"Rafael Altamira 7, 03002 Alicante, Valencia",8.9,"(1,374)",£467total,Booking.com
Alicante,Hotel Maya,"Canónigo Manuel Penalva, 2, 03002 Alicante, Valencia",8.3,"(4,977)",£158total,Booking.com
Alicante,"New apartment in San Juan Playa, Alicante",Playa de San Juan,9.3,(80),£240total,Booking.com
Alicante,NH Alicante,"Calle Mexico, 18, 03008 Alicante, Valencia",8.3,"(1,089)",£261total,NH Hotels
Alicante,Hotel Boutique Alicante Palacete S.XVII Adults Only,"C/ Miguel Soler, 22, 03002 Alicante, Valencia",9.2,"(1,054)",£290total,Booking.com
Alicante,"Villamar - Relax, Sol y Playa",Cabo de las Huertas,9.8,(40),£232total,Booking.com
Amsterdam,Park Inn by Radisson Amsterdam City West,"La Guardiaweg 59, 1043 DE Amsterdam, North Holland",8.2,"(12,918)",£342total,Booking.com
Amsterdam,Xo Hotels Couture,"Delflandlaan 15, 1062 EA Amsterdam, North Holland",8.7,"(6,300)",£242total,Booking.com
Amsterdam,Pestana Amsterdam Riverside,"Amsteldijk 67, 1074 HZ Amsterdam, North Holland",8.6,"(3,376)",£557total,Booking.com
Amsterdam,Yays Amsterdam Salthouse Canal,Westerpark,8.6,(896),£543total,Booking.com
Amsterdam,Postillion Hotel Amsterdam,"Paul Van Vlissingenstraat 9-11, 1096 BK Amsterdam, North Holland",8.7,"(8,725)",£359total,Booking.com
Amsterdam,NH Collection Amsterdam Grand Hotel Krasnapolsky,"Dam 9, 1012 JS Amsterdam, North Holland",8.8,"(6,698)",£744total,Booking.com
Amsterdam,Sailor Suite Coaster Mado,Amsterdam-Oost,9.7,(74),£463total,Booking.com
Amsterdam,The Student Hotel Amsterdam City,"Wibautstraat 129, 1091 GL Amsterdam, North Holland",8.7,"(4,950)",£389total,Booking.com
Amsterdam,NH Collection Amsterdam Doelen,"Nieuwe Doelenstraat 26, 1012 CP Amsterdam, North Holland",8.9,"(1,340)",£644total,NH Collection Hotels
Amsterdam,Amsterdam Oosterpark By Yays,Amsterdam-Oost,7.6,(211),£403total,Booking.com
Bali,Alila Ubud,"Desa Melinggih Kelod, Denpasar 80572",8.9,(294),£414total,Booking.com
Bali,Villa Sanur harmony,"Jalan Kutat Lestari No. 24A, Denpasar 80227",8.2,(37),£57total,Booking.com
Bali,Jambuluwuk Oceano Seminyak Hotel,"Jl. Petitenget 108, Denpasar 80361",8.0,(875),£103total,Booking.com
Bali,Desa di Bali Villas,Kerobokan Kaja,8.6,(99),£134total,Booking.com
Bali,Hotel Indigo Bali Seminyak Beach,"Jl. Camplung Tanduk No. 10, Denpasar",9.4,"(1,069)",,
Bali,Conrad Bali,"Jalan Pratama 168, Tanjung Benoa, Denpasar 80363",8.9,(480),,
Bali,Paisa Villa Seminyak,Kerobokan Kelod,6.6,(79),,
Bali,"The Ritz-Carlton, Bali","Jalan Raya Nusa Dua Selaton Lot III, Sawangan, Nusa Dua, Denpasar 80363",8.9,(375),£814total,Ritz-Carlton Hotels
Bali,Klumpu Bali Resort,"Jl. Kesari, No. 16B, Denpasar 80228",9.6,(196),,
Bali,The Kings Villas And Spa Sanur,South Denpasar,7.9,(48),,
Bangkok,Mövenpick Hotel Sukhumvit 15 Bangkok,"47 Sukhumvit 15, Klongtoey Nua, Bangkok 10110",8.4,"(4,342)",£221total,Booking.com
Bangkok,Royal Orchid Sheraton Hotel & Towers,"2 Charoen Krung Soi 30, Siphya, Bangkok 10500",8.6,"(2,287)",£249total,Booking.com
Bangkok,Millennium Hilton Bangkok,"123 Charoennakorn Road, Bangkok 10600",8.5,"(3,238)",£189total,Booking.com
Bangkok,"Sathorn Vista, Bangkok - Marriott Executive Apartments",Sathon,8.9,(195),£282total,Booking.com
Bangkok,Renaissance Bangkok Ratchaprasong Hotel,"518/8 Ploenchit Road, Bangkok 10330",8.9,(655),£258total,Booking.com
Bangkok,Pullman Bangkok King Power,"8-2 Rangnam Road, Bangkok 10400",8.9,(640),£183total,Booking.com
Bangkok,Mövenpick Residences Ekkamai Bangkok,Watthana,8.2,(126),£165total,Booking.com
Bangkok,Le Méridien Bangkok,"40/5 Surawong Road, Bangkok 10500",8.8,(551),£435total,Booking.com
