City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Alicante,Eurostars Centrum Alicante,"Calle Del Pintor Lorenzo Casanova,33-35, Alicante, Valencia",8.5,"(4,062)",£245total,Booking.com
Alicante,Hotel Spa Porta Maris by Melia,"Plaza Puerta Del Mar, 3, 03002 Alicante, Valencia",8.6,"(4,477)",£395total,Booking.com
Alicante,B&B Hotel Alicante,"Avenida De Elche 112, 03008 Alicante, Valencia",8.0,"(5,368)",£140total,Booking.com
Alicante,Myflats Luxury Downtown,Centro,9.4,(679),£252total,Booking.com
Alicante,Hotel Hospes Amerigo,"Rafael Altamira 7, 03002 Alicante, Valencia",8.9,"(1,370)",£467total,Booking.com
Alicante,Hotel Maya,"Canónigo Manuel Penalva, 2, 03002 Alicante, Valencia",8.3,"(4,975)",£158total,Booking.com
Alicante,"New apartment in San Juan Playa, Alicante",Playa de San Juan,9.3,(80),£240total,Booking.com
Alicante,NH Alicante,"Calle Mexico, 18, 03008 Alicante, Valencia",8.3,"(1,089)",£260total,NH Hotels
Alicante,Hotel Boutique Alicante Palacete S.XVII Adults Only,"C/ Miguel Soler, 22, 03002 Alicante, Valencia",9.2,"(1,052)",£290total,Booking.com
Alicante,"Villamar - Relax, Sol y Playa",Cabo de las Huertas,9.8,(40),£232total,Booking.com
