City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Amsterdam,Park Inn by Radisson Amsterdam City West,"La Guardiaweg 59, 1043 DE Amsterdam, North Holland",8.2,"(12,922)",£342total,Booking.com
Amsterdam,Xo Hotels Couture,"Delflandlaan 15, 1062 EA Amsterdam, North Holland",8.7,"(6,298)",£242total,Booking.com
Amsterdam,Pestana Amsterdam Riverside,"Amsteldijk 67, 1074 HZ Amsterdam, North Holland",8.6,"(3,377)",£557total,Booking.com
Amsterdam,Yays Amsterdam Salthouse Canal,Westerpark,8.6,(898),£543total,Booking.com
Amsterdam,Postillion Hotel Amsterdam,"Paul Van Vlissingenstraat 9-11, 1096 BK Amsterdam, North Holland",8.7,"(8,732)",£359total,Booking.com
Amsterdam,NH Collection Amsterdam Grand Hotel Krasnapolsky,"Dam 9, 1012 JS Amsterdam, North Holland",8.8,"(6,696)",£744total,Booking.com
Amsterdam,Sailor Suite Coaster Mado,Amsterdam-Oost,9.7,(74),£463total,Booking.com
Amsterdam,The Student Hotel Amsterdam City,"Wibautstraat 129, 1091 GL Amsterdam, North Holland",8.7,"(4,947)",£389total,Booking.com
Amsterdam,NH Collection Amsterdam Doelen,"Nieuwe Doelenstraat 26, 1012 CP Amsterdam, North Holland",8.9,"(1,344)",£643total,NH Collection Hotels
Amsterdam,Amsterdam Oosterpark By Yays,Amsterdam-Oost,7.6,(211),£403total,Booking.com
