City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Bali,Alila Ubud,"Desa Melinggih Kelod, Denpasar 80572",8.9,(294),£414total,Booking.com
Bali,Villa Sanur harmony,"Jalan Kutat Lestari No. 24A, Denpasar 80227",8.2,(37),£57total,Booking.com
Bali,Jambuluwuk Oceano Seminyak Hotel,"Jl. Petitenget 108, Denpasar 80361",8.0,(874),£103total,Booking.com
Bali,Desa di Bali Villas,Kerobokan Kaja,8.6,(99),£134total,Booking.com
Bali,Hotel Indigo Bali Seminyak Beach,"Jl. Camplung Tanduk No. 10, Denpasar",9.4,"(1,069)",£461total,Booking.com
Bali,Conrad Bali,"Jalan Pratama 168, Tanjung Benoa, Denpasar 80363",8.9,(480),£299total,Booking.com
Bali,Paisa Villa Seminyak,Kerobokan Kelod,6.6,(79),£85total,Booking.com
Bali,"The Ritz-Carlton, Bali","Jalan Raya Nusa Dua Selaton Lot III, Sawangan, Nusa Dua, Denpasar 80363",8.9,(374),£818total,Ritz-Carlton Hotels
Bali,Klumpu Bali Resort,"Jl. Kesari, No. 16B, Denpasar 80228",9.6,(196),£167total,Booking.com
Bali,The Kings Villas And Spa Sanur,South Denpasar,7.9,(48),£315total,Booking.com
