City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Bali,Alila Ubud,"Desa Melinggih Kelod, Denpasar 80572",8.9,(290),£416total,Expedia
Bali,Jambuluwuk Oceano Seminyak Hotel,"Jl. Petitenget 108, Denpasar 80361",8.0,(870),£103total,Booking.com
Bali,Hyatt Regency Bali,"Jl Danau Tamblingan 89, Denpasar 80228",9.2,(545),£293total,Expedia
Bali,Villa Seminyak Estate & Spa,Seminyak,8.6,(278),£135total,Expedia
Bali,Villa Sanur harmony,"Jalan Kutat Lestari No. 24A, Denpasar 80227",8.2,(35),£147total,Booking.com
Bali,Sagara Villas And Suites,"Jl. Cemara No. 33, Denpasar 80227",8.5,(127),£104total,Expedia
Bali,Paisa Villa Seminyak,Kerobokan Kelod,6.5,(78),£84total,Expedia
Bali,Hotel Indigo Bali Seminyak Beach,"Jl. Camplung Tanduk No. 10, Denpasar",9.4,"(1,064)",£371total,Expedia
Bali,"Sudamala Resort, Sanur","Jl. Sudamala No. 20, Denpasar 80227",9.0,(336),£126total,Booking.com
Bali,Desa di Bali Villas,Kerobokan Kaja,8.6,(99),£163total,Booking.com
