City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Bangkok,Mövenpick Hotel Sukhumvit 15 Bangkok,"47 Sukhumvit 15, Klongtoey Nua, Bangkok 10110",8.4,"(4,336)",£221total,Booking.com
Bangkok,Royal Orchid Sheraton Hotel & Towers,"2 Charoen Krung Soi 30, Siphya, Bangkok 10500",8.6,"(2,285)",£249total,Booking.com
Bangkok,Millennium Hilton Bangkok,"123 Charoennakorn Road, Bangkok 10600",8.5,"(3,239)",£189total,Booking.com
Bangkok,Renaissance Bangkok Ratchaprasong Hotel,"518/8 Ploenchit Road, Bangkok 10330",8.9,(655),£258total,Booking.com
Bangkok,Pullman Bangkok King Power,"8-2 Rangnam Road, Bangkok 10400",8.9,(640),£183total,Booking.com
Bangkok,Le Méridien Bangkok,"40/5 Surawong Road, Bangkok 10500",8.8,(549),£435total,Booking.com
Bangkok,Bangkok Marriott Hotel Sukhumvit,"2 Sukhumvit Soi 57, Bangkok 10110",8.9,"(1,819)",£250total,Booking.com
Bangkok,Avani Sukhumvit Bangkok Hotel,"2089 Sukhumvit Road, Bangkok 10260",8.8,(259),£159total,Booking.com
Bangkok,W Bangkok,"106 North Sathorn Road, Silom, Bangrak, Bangkok 10500",9.1,(694),£357total,Booking.com
Bangkok,Hansar Bangkok,"3 Soi Mahadlekluang 2, Rajdamri Road, Bangkok 10330",8.7,(283),£239total,Booking.com
