City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Barcelona,Room Mate Gerard,"Calle Ausias March 34, Barcelona",9.0,"(2,455)",£347total,Booking.com
Barcelona,Ayre Hotel Gran Via,"Gran Via de Les Corts Catalanes 322-324, 08004 Barcelona",8.8,"(7,136)",£266total,Booking.com
Barcelona,Onix Liceo,"Nou de la Rambla, 36, 08001 Barcelona",8.1,"(1,484)",£229total,Booking.com
Barcelona,Kiwidestiny Apartments & Suites,Sarria-Sant Gervasi,8.3,"(1,018)",£238total,Booking.com
Barcelona,NH Collection Barcelona Gran Hotel Calderón,"Rambla de Catalunya, 26, 08007 Barcelona",8.5,"(2,648)",£454total,NH Collection Hotels
Barcelona,Well And Come Boutique Hotel,"Carrer Girona 158, 08037 Barcelona",9.0,"(1,145)",£310total,Booking.com
Barcelona,Barcelona Apartment Republica,Sant Marti,8.1,(901),£263total,Hotels.com
Barcelona,Catalonia Atenas,"Av. Meridiana, 151, 08026 Barcelona",8.1,"(7,350)",£225total,Booking.com
Barcelona,Ayre Hotel Caspe,"Carrer De Casp 103-109, Barcelona",8.5,"(4,930)",£266total,Booking.com
Barcelona,Apartment Vila Olimpica-Pamplona,Sant Marti,9.4,(11),£529total,Booking.com
