City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Belfast,The Fitzwilliam Hotel Belfast,"1-3 Great Victoria Street, Belfast, BT3 7HR",9.1,"(3,357)",£432total,Preferred Hotels & Resorts
Belfast,The Flint,"48 Howard Street, Belfast, BT2 7GE",9.3,"(4,366)",£256total,Booking.com
Belfast,Lwr Ormeau Guest House,"144 Ormeau Road, Belfast, BT7 1LU",8.0,(508),£160total,Booking.com
Belfast,Ultra Urban Belfast Corporate Apartments,Belfast City Centre,9.1,(358),£352total,Booking.com
Belfast,Maldron Hotel Belfast City,"20 Brunswick Street, Belfast, BT2 7GE",8.8,"(4,893)",£277total,Booking.com
Belfast,Clayton Hotel Belfast,"22-26 Ormeau Avenue, Belfast, BT2 8HS",8.2,"(3,493)",£303total,Booking.com
Belfast,Central Belfast Apartments: Salisbury,Belfast City Centre,8.7,(104),£285total,Booking.com
Belfast,Holiday Inn Belfast City Centre,"40 Hope Street, Belfast",8.7,"(4,251)",£249total,Booking.com
Belfast,Europa Hotel,"Great Victoria Street, Belfast, BT2 7AP",8.6,"(2,520)",£324total,Booking.com
Belfast,Perfect City Center Location / Free Parking / 4 Beds,Belfast City Centre,9.2,(25),£347total,Booking.com
