City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Benidorm,Hotel Cimbel,"Avenida Europa, 1, 03500 Benidorm, Valencia",8.7,"(2,316)",£203total,Booking.com
Benidorm,Port Benidorm,"Estocolmo, 4, 03503 Benidorm, Valencia",8.2,"(5,051)",£313total,Hotels.com
Benidorm,Hotel Madeira Centro,"Calle Esperanto, 1, 03501 Benidorm, Valencia",8.1,"(1,847)",£204total,Booking.com
Benidorm,Apartamentos Nicaragua,,9.0,(130),£280total,Booking.com
Benidorm,Hotel Benidorm Plaza,"Calle de Emilio Ortuno, 18, 03501 Benidorm, Valencia",8.1,"(1,578)",£194total,Booking.com
Benidorm,Hotel La Estacion,"Passeig Dels Tolls, 03502 Benidorm, Valencia",7.9,"(4,438)",£183total,Booking.com
Benidorm,My Pretty Payma,Levante,8.7,(422),£168total,Booking.com
Benidorm,Helios Benidorm,"Avenida Filipinas, 12, 03503 Benidorm, Valencia",9.1,"(4,275)",£176total,Hotels.com
Benidorm,Gastrohotel RH Canfali,"Plaza San Jaime, 5, 03501 Benidorm, Valencia",9.1,"(1,572)",£276total,Booking.com
Benidorm,Centralmar Centro,Poniente,9.8,(97),£184total,Booking.com
