City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Berlin,Aparthotel Adagio Berlin Kurfürstendamm,"Lietzenburger Straße 89 a, 10719 Berlin",8.4,"(1,871)",£178total,Booking.com
Berlin,Leonardo Royal Hotel Berlin Alexanderplatz,"Otto-Braun-Strasse 90, 10249 Berlin",8.5,"(8,655)",£289total,Booking.com
Berlin,Mercure Hotel Berlin Wittenbergplatz,"Wittenbergplatz 3, 10789 Berlin",8.9,"(2,899)",£237total,Booking.com
Berlin,Apartments Berlin Leberstraße 58,Schöneberg,7.6,(127),£196total,Booking.com
Berlin,NH Berlin Potsdamer Platz,"Stresemannstr. 47, 10963 Berlin",8.3,"(1,605)",£223total,NH Hotels
Berlin,Crowne Plaza Berlin - Potsdamer Platz,"Hallesche Str 10, 10963 Berlin",8.7,"(2,433)",£289total,Booking.com
Berlin,limehome Berlin Neue Straße,Tempelhof,8.0,(141),£281total,Booking.com
Berlin,Two Hotel Berlin By Axel - Adults Only,"Bundesallee 31a, 10717 Berlin",8.3,"(2,193)",£192total,Booking.com
Berlin,Steigenberger Hotel Am Kanzleramt,"Ella-Trebe-Straße 5, 10557 Berlin",8.8,"(5,154)",£422total,Booking.com
Berlin,Nena Apartments Metropolpark Berlin - Mitte,Mitte,8.2,"(1,491)",£302total,Booking.com
