City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Budapest,Barcelo Budapest,"Király Street 16, Budapest 1036",9.2,"(2,281)",£263total,Booking.com
Budapest,Anantara New York Palace Budapest,"Erzsebet Korut 9-11, Budapest 1073",9.1,"(2,966)",£484total,Anantara
Budapest,Ensana Thermal Margaret Island,"Margitsziget 3 Budapest HU, Budapest 1138",8.9,"(5,327)",£254total,Booking.com
Budapest,Citypark Villa Flat,District XIV - Zugló,9.9,(46),£215total,Booking.com
Budapest,Kempinski Hotel Corvinus Budapest,"Erzsébet Tér 7-8., Budapest 1051",9.1,"(2,308)",£658total,Booking.com
Budapest,Danubius Hotel Arena,"Ifjusag Utja 1-3, Budapest 1148",8.0,"(4,400)",£175total,Booking.com
Budapest,Elisabeth Apartment on Váci Street,District V - Belváros-Lipótváros,9.1,(71),£166total,Booking.com
Budapest,Danubius Hotel Helia,"Karpat U. 62-64, Budapest 1133",8.3,"(4,545)",£210total,Booking.com
Budapest,Hilton Budapest,"Hess A Ter 1-3, Budapest 1014",8.9,"(1,489)",£539total,Booking.com
Budapest,Helena apartment with view on St. Stephan's Basilica,District VI - Terézváros,9.3,(56),£202total,Booking.com
