City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Dubai,Five Jumeirah Village Dubai,"District 14, Street 1 Jumeirah Village Circle, Dubai",8.9,"(24,394)",£603total,Booking.com
Dubai,Five Palm Jumeirah Dubai,"No. 1 The Palm, Dubai",8.9,"(15,756)","£1,447total",Booking.com
Dubai,Park Regis Kris Kin Hotel Dubai,"8264 Sheikh Khalifah Bin Zayed ST. Opp Burjuman Centre Dubai City, Dubai 8264",8.2,"(3,490)",£353total,Expedia
Dubai,Elite Residence Dubai Marina,,9.0,(6),£590total,Booking.com
Dubai,Hilton Dubai Al Habtoor City,"Al Habtoor City, Sheikh Zayed Road, Dubai",8.1,"(1,679)",£574total,Booking.com
Dubai,Taj Dubai,"Downtown Burj Khalifa Street, Dubai",9.0,"(5,308)","£1,059total",Booking.com
Dubai,Maison Privee - Burj Residence,Downtown Dubai,7.8,(26),"£1,157total",Expedia
Dubai,Atlantis The Palm,"1 Crescent Road, Dubai 211222",8.8,"(16,339)","£1,625total",Booking.com
Dubai,Dusit Thani Dubai,"133 Sheikh Zayed Road, Dubai",8.3,"(5,921)",£824total,Expedia
Dubai,Luton Vacation Homes Grandeur Residence,,9.0,(3),"£1,313total",Expedia
