City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Dublin,Hotel Riu Plaza The Gresham Dublin,"23 Upper O Connell Street, Dublin 1",8.4,"(14,377)",£360total,Booking.com
Dublin,Jurys Inn Dublin Parnell Street,"Moore Street Plaza, Parnell St, Dublin,1, Dublin 0",8.0,"(9,530)",£269total,Booking.com
Dublin,Clayton Hotel Dublin Airport,"Stockhole Lane, Dublin",8.5,"(10,383)",£248total,Booking.com
Dublin,Temple Bar District Apartments,Temple Bar - St. Stephen's Green,8.1,(228),£433total,Booking.com
Dublin,The Merchant House,"8 Eustace Street, Temple Bar, Dublin D2",8.9,(288),£682total,Booking.com
Dublin,"Keavan's Port Hotel , Dublin","Dublin 1-5 Camden Street Upper and 49-51 Camden Street Lower, Dublin",8.2,(356),£515total,Booking.com
Dublin,Sweet Inn - Spacious Grand Canal,Ballsbridge,8.2,(87),£716total,Booking.com
Dublin,"Radisson Blu St. Helen's Hotel, Dublin","Stillorgan Road, Dublin 4",8.2,"(2,683)",£449total,Booking.com
Dublin,The Gibson Hotel,"The Point Square Dublin1, Dublin",8.6,"(6,388)",£368total,Booking.com
Dublin,"Premier Suites Plus Dublin, Leeson Street",Temple Bar - St. Stephen's Green,9.0,(286),£480total,Booking.com
