City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Edinburgh,Royal Mile Balconies by the Castle,"493 Lawnmarket,The Royal Mile, Edinburgh",8.3,(977),£327total,Booking.com
Edinburgh,Leonardo Royal Edinburgh Haymarket,"1 Morrison Link, Edinburgh, EH3 8DN",8.0,"(12,408)",£185total,Hotels.com
Edinburgh,The Glasshouse Autograph Collection,"2 Greenside Place, Edinburgh, EH1 3AA",8.9,(714),£457total,Autograph Collection
Edinburgh,Braid Apartments by Mansley,New Town,9.3,(585),£307total,Booking.com
Edinburgh,"Sheraton Grand Hotel & Spa, Edinburgh","1 Festival Square, Edinburgh, EH3 9SR",8.8,"(2,294)",£613total,Sheraton
Edinburgh,Royal Mile Suites by the Castle,"493 Lawnmarket, Old Town, Edinburgh, United Kingdom, Edinburgh, EH1 2PB",8.2,"(1,160)",£352total,Booking.com
Edinburgh,Destiny Scotland - St Andrew Square Apartments,New Town,8.8,(848),£255total,Booking.com
Edinburgh,"Kimpton Charlotte Square Hotel, An Ihg Hotel","38 Charlotte Square, Edinburgh, EH2 4HQ",9.1,"(2,829)",£640total,Booking.com
Edinburgh,Georgian House,"4c Merchiston Crescent Midlothian, Edinburgh, EH10 5AN",9.4,(86),£460total,Booking.com
Edinburgh,Quartermile Luxury Apartments,,9.3,(171),£390total,Booking.com
