City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Faro,Ap Eva Senses,"Avenida da Republica, 1, 8000-078 Faro, Faro",8.5,"(4,268)",£299total,Booking.com
Faro,Hotel 3K Faro Aeroporto,"Estrada do Aeroporto EN 125-10 KM 262+2 Esq, Montenegro, 8000-124 Faro, Faro",8.3,"(4,557)",£176total,Booking.com
Faro,3hb Faro,"Rua Vasco da Gama nr 33, 8000-442 Faro, Faro",9.5,(471),£542total,Booking.com
Faro,My Place @ Faro Ria Views,,9.7,(106),£254total,Booking.com
Faro,Real Marina Hotel & Spa,"Av. 5 de Outubro, 1, 8700-307 Olhão, Faro",8.7,"(2,534)",£284total,Expedia
Faro,Best Western Hotel Dom Bernardo,"Rua General Teofilo da Trindade 20, 8000-356 Faro, Faro",8.2,"(2,313)",£165total,Expedia
Faro,The Sunny Cottage,,9.8,(36),£271total,Booking.com
Faro,Hotel Monaco,"Rua Batista Severino - Urb. Monte da Ria, 1153, 8005-237 Faro, Faro",7.9,"(1,895)",£243total,Expedia
Faro,Crowne Plaza Vilamoura - Algarve,"Rua Do Oceano Atlantico, 8125-478 Vilamoura, Faro",8.9,"(1,568)",£430total,Expedia
Faro,Apartamento Gulbenkian,,8.9,(33),£222total,Expedia
