City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Hong Kong,The Royal Garden,"69 Mody Road Tsimshatsui East, Hong Kong",8.4,"(4,281)",£225total,Booking.com
Hong Kong,The Mira Hong Kong,"Mira Place, 118-130 Nathan Road, Hong Kong",8.3,"(1,024)",£302total,Booking.com
Hong Kong,"Cordis, Hong Kong","555 Shanghai Street, Hong Kong",9.0,"(3,209)",£443total,Booking.com
Hong Kong,Apartment Kapok,Wan Chai District,7.6,(54),£385total,Hotels.com
Hong Kong,Sheraton Hong Kong Hotel & Towers,"20 Nathan Road, Hong Kong",8.3,"(1,152)",£320total,Booking.com
Hong Kong,Harbour Grand Kowloon,"20 Tak Fung Street, Hong Kong",8.3,"(1,534)",£338total,Booking.com
Hong Kong,Sea View Holiday House,Islands District,6.8,(419),£156total,Booking.com
Hong Kong,"Kowloon Shangri-La, Hong Kong","64 Mody Road, Hong Kong",8.9,"(2,057)",£439total,Booking.com
Hong Kong,Kew Green Hotel Wanchai Hong Kong,"41-49 Hennessy Road, Hong Kong",8.3,"(2,401)",£130total,Kew Green Hotel Wanchai Hong Kong
Hong Kong,The Jervois,Central and Western District,8.9,(321),£744total,Hotels.com
