City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Ibiza,Eurostars Ibiza,"Calle Ramon Muntaner 25, 07800 Ibiza, Ibiza Island",8.7,(639),£370total,Expedia
Ibiza,Gran Hotel Montesol Ibiza,"Passeig de Vara de Rey 2, 07800 Ibiza, Ibiza Island",8.6,(336),£525total,Booking.com
Ibiza,Lux Isla,"Josep Pla, 1, 07800 Ibiza, Ibiza Island",9.1,"(1,414)",£269total,Booking.com
Ibiza,5 Star 3 Bedroom Apartment White Angel,,8.8,(5),£846total,Booking.com
Ibiza,THB Los Molinos Adults Only,"C/ Ramon Muntaner, 60, Ibiza, Ibiza Island",8.5,"(1,932)",£349total,travelup
Ibiza,Hotel Royal Plaza,"Pere Francès 27-29, 07800 Ibiza, Ibiza Island",8.1,"(1,250)",£355total,lastminute.com
Ibiza,105 Suites @ Marina Magna,,8.9,(458),£400total,Booking.com
Ibiza,Hotel Simbad,"Ses Figueres 22, Talamanca, 07800 Ibiza, Ibiza Island",8.2,(859),£304total,lastminute.com
Ibiza,Ocean Drive Ibiza,"Playa de Talamanca, Apt. 223, Ibiza, Spain, Ibiza, Ibiza Island",8.1,(423),£288total,Snaptravel
Ibiza,Apartamentos Mariano,,8.4,(299),£376total,Booking.com
