City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Lanzarote,Hotel Lancelot,"Mancomunidad Av 9, 35500 Arrecife, Lanzarote",8.6,"(1,763)",£249total,Expedia
Lanzarote,Hotel Diamar & Business Center,"Avenida Fred Olsen, 8, 35500 Arrecife, Lanzarote",8.2,(934),£202total,Expedia
Lanzarote,Arrecife Gran Hotel & Spa,"Parque Islas Canarias, 35500 Arrecife, Lanzarote",8.7,(638),£476total,loveholidays
Lanzarote,Vacation Apartment Lanzarote 'A',,8.0,(35),£148total,Booking.com
Lanzarote,El Charco Suites,"Jacinto Borges Diaz, 56 (Lanzarote), 35500 Arrecife, Lanzarote",8.5,(484),£252total,Expedia
Lanzarote,Barceló Teguise Beach - Adults only,"Plaza Janubio s/n, 35508 Costa, Lanzarote - Costa Teguise, 35509 Costa Teguise, Lanzarote",8.9,"(3,020)",£503total,Expedia
Lanzarote,Casa Daniela,,9.8,(38),£251total,Booking.com
Lanzarote,Dreams Lanzarote Playa Dorada Resort & Spa,"Urbanización Costa Del Papagayo, 35580 Arrecife, Lanzarote",8.7,"(1,560)",£692total,Expedia
Lanzarote,Oasis Lanz Beach Mate,"Avda Jablillo 5, 35508 Costa Teguise, Lanzarote",8.9,"(1,413)",£271total,Expedia
Lanzarote,Loft Life 2,,8.7,(7),£262total,Booking.com
