City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Malta,Be.Hotel,"St. George's Bay, St. Julian's STJ 3315",8.5,"(7,300)",£137total,Expedia
Malta,Ax The Palace,"High Street, Sliema SLM 1542",8.5,"(1,256)",£262total,Expedia
Malta,"19, Luqa Townhouse",,,,£686total,Booking.com
Malta,Golden Tulip Vivaldi Hotel,"Dragonara Road, St Julians, Stj 06, St. Julian's",8.2,"(3,980)",£159total,Expedia
Malta,The Village Boutique & Spa,"Giuseppe Stivala Alley 1, Naxxar NXR 1412",9.3,(119),£223total,Expedia
Malta,Hyatt Regency Malta,"St George's Bay, St. Julian's STJ 3310",9.1,(636),£339total,Booking.com
Malta,Maritim Antonine Hotel & Spa Malta,"George Borg Olivier Street, Mellieha MLH 1021",8.3,"(3,376)",£98total,travelup
Malta,"Radisson Blu Resort, Malta St Julian's","St. George's Bay, St. Julian's STJ 3391",8.3,(954),£325total,travelup
Malta,Holm Boutique & Spa,"Fabri Lane, St. Julian's STJ 1330",8.9,(519),£304total,Expedia
Malta,"The Westin Dragonara Resort, Malta","Stj02 Dragonara Road, St. Julians, St. Julian's STJ 3143",8.7,"(1,132)",£359total,Westin
