City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Murcia,Hotel Nelva,"Avenida Primero De Mayo, 5, 30006 Murcia",8.8,"(3,980)",£223total,Booking.com
Murcia,Occidental Murcia Siete Coronas,"Paseo de Garay, 5, Murcia",8.9,"(3,683)",£232total,Booking.com
Murcia,NH Amistad Murcia,"Condestable, 1, 30009 Murcia",8.4,"(1,943)",£212total,NH Hotels
Murcia,Beautiful Villa in Murcia with pool just 10m away,,9.4,(7),£215total,Booking.com
Murcia,Tryp Murcia Rincón De Pepe,"Calle Apostoles, 34, 30001 Murcia",8.8,"(1,875)",£234total,Booking.com
Murcia,Catalonia Conde de Floridablanca,"Calle Princesa, 18, 30002 Murcia",8.7,"(1,731)",£196total,Booking.com
Murcia,Apartamento Floridablanca,,8.5,(147),£211total,Booking.com
Murcia,Agalia Hotel,"Avda. Arquitecto Miguel Ángel Beloqui 7, 30006 Murcia",8.3,"(2,843)",£211total,Hotels.com
Murcia,AC Hotel Murcia by Marriott,"Avenida Juan Carlos I, 39, 30009 Murcia",8.4,(998),£227total,Booking.com
Murcia,Apartamento Florencia,,8.6,(7),£261total,Booking.com
