City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
New York,Pestana Park Avenue,"23 East 39th Street, New York, NY 10016",8.6,(348),£514total,Booking.com
New York,Royalton Park Avenue,"420 Park Avenue South, New York, NY 10016",8.3,(314),£676total,Booking.com
New York,The Times Square EDITION,"20 Times Square, 701 7th Avenue, New York, NY 10036",9.0,(853),£976total,Booking.com
New York,"Perfectly Located Near Restaurants, Shops & Sites",Hell's Kitchen,8.5,(19),£661total,Booking.com
New York,Kimpton Hotel Eventi,"851 Avenue of The Americas, New York, NY 10001",8.5,(721),£827total,Booking.com
New York,The Quin Central Park by Hilton Club,"101 West 57th Street at Sixth Avenue, New York, NY 10019",8.2,(509),£707total,Hotels.com
New York,Sanctuary NYC Retreats,Lower East Side,9.0,(525),£488total,Hotels.com
New York,MOXY NYC Times Square,"485 7th Avenue, New York, NY 10018",8.2,"(11,291)",£415total,Booking.com
New York,11 Howard,"11 Howard Street, New York, NY 10013",8.2,(527),£869total,Hotels.com
New York,Great Cozy Apt,Harlem,9.7,(3),£623total,Booking.com
