City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Paris,Mercure Paris Pigalle Sacre Coeur,"21 Boulevard De Clichy, 75009 Paris",8.2,(658),£376total,Booking.com
Paris,La Maison Champs Elysees,"8 Rue Jean Goujon, 75008 Paris",8.1,(171),£743total,Hotels.com
Paris,Le Belleval,"16 Rue De La Pépinière, 75008 Paris",8.9,"(1,047)",£574total,Booking.com
Paris,Le Vintage,Quartier Latin,8.6,(60),£626total,Booking.com
Paris,Le 123 Elysees - Astotel,"123 Rue du Faubourg St. Honoré, 75008 Paris",8.9,(492),£728total,Booking.com
Paris,Hotel Opéra Opal,"19 Rue Tronchet, 75008 Paris",8.6,(737),£471total,Booking.com
Paris,Pepper & Paper Apartments,5th arrondissement,8.9,(249),£890total,Booking.com
Paris,Hotel Aulivia Opera,"4 Rue des Petites Ecuries, 75010 Paris",8.1,(703),£359total,Booking.com
Paris,CitizenM Paris Gare de Lyon,"8 Rue Van Gogh, 75012 Paris",8.6,"(11,198)",£394total,Hotels.com
Paris,Yays Paris Issy,,8.8,(357),£486total,Booking.com
